mot,poids_tfidf,langue,serie
c,0.41047036481345794,fr,thenine
bien,0.30759813938874514,fr,thenine
egan,0.26633094986434547,fr,thenine
j,0.25259714757751256,fr,thenine
savoir,0.21287420904717794,fr,thenine
vouloir,0.20574445084942558,fr,thenine
non,0.19352200822470722,fr,thenine
n,0.1751883442876297,fr,thenine
taire,0.15685468035055217,fr,thenine
faire,0.1548176065797658,fr,thenine
franny,0.1533763737126574,fr,thenine
randall,0.13561250260840643,fr,thenine
aller,0.1222244262471835,fr,thenine
oui,0.11305759427864474,fr,thenine
devoir,0.10796490985167877,fr,thenine
heure,0.1008351516539264,fr,thenine
nick,0.09814734685918428,fr,thenine
voir,0.0977795409977468,fr,thenine
euh,0.09549140253383157,fr,thenine
ouai,0.09286988844429675,fr,thenine
bon,0.09268685657078082,fr,thenine
ricky,0.09123113716760793,fr,thenine
tre,0.09064978279999443,fr,thenine
ici,0.08453856148763526,fr,thenine
vraiment,0.08148295083145567,fr,thenine
chose,0.07842734017527608,fr,thenine
venir,0.07639026640448969,fr,thenine
banque,0.07596699050943863,fr,thenine
felicia,0.07418957562279414,fr,thenine
accord,0.0733346557483101,fr,thenine
malcolm,0.06685224108364535,fr,thenine
t,0.06620489755055774,fr,thenine
foote,0.06322651323981418,fr,thenine
besoin,0.06314928689437814,fr,thenine
passer,0.06314928689437814,fr,thenine
pass,0.06213075000898495,fr,thenine
lizzi,0.062083751526327606,fr,thenine
lizzie,0.0583234960511228,fr,thenine
prendre,0.05805660246741216,fr,thenine
croire,0.05805660246741216,fr,thenine
trs,0.05601952869662578,fr,thenine
salut,0.05601952869662578,fr,thenine
sortir,0.053982454925839383,fr,thenine
s,0.053982454925839383,fr,thenine
hal,0.053717048077571175,fr,thenine
luca,0.053644033285965224,fr,thenine
monde,0.0478712336134802,fr,thenine
jamais,0.04583415984269382,fr,thenine
vie,0.04583415984269382,fr,thenine
jeremy,0.04506098796021079,fr,thenine
ever,0.04447729127809706,fr,thenine
mettre,0.04176001230112103,fr,thenine
rees,0.04101832417622897,fr,thenine
cavanaugh,0.03978811113843163,fr,thenine
rio,0.039411939698690134,fr,thenine
okay,0.03928417865990342,fr,thenine
penser,0.03870440164494145,fr,thenine
jour,0.03870440164494145,fr,thenine
avoir,0.03768586475954825,fr,thenine
mme,0.03768586475954825,fr,thenine
pouvoir,0.03666732787415505,fr,thenine
quelqu,0.03666732787415505,fr,thenine
sr,0.03666732787415505,fr,thenine
dalton,0.03581065452032127,fr,thenine
dsol,0.03564879098876186,fr,thenine
sai,0.03564879098876186,fr,thenine
reese,0.035642136475686155,fr,thenine
plat,0.034910662551252664,fr,thenine
flic,0.034766864328245266,fr,thenine
veux,0.03463025410336866,fr,thenine
mr,0.03361171721797546,fr,thenine
soir,0.03285709416588486,fr,thenine
partir,0.03259318033258227,fr,thenine
problme,0.03259318033258227,fr,thenine
attendre,0.03259318033258227,fr,thenine
oh,0.03233164952079664,fr,thenine
temps,0.03157464344718907,fr,thenine
entendre,0.03157464344718907,fr,thenine
fois,0.030556106561795877,fr,thenine
mourir,0.030556106561795877,fr,thenine
rios,0.030022297055649027,fr,thenine
corcoran,0.030022297055649027,fr,thenine
minute,0.029776741587833156,fr,thenine
apr,0.02953756967640268,fr,thenine
dire,0.02953756967640268,fr,thenine
beaucoup,0.02953756967640268,fr,thenine
an,0.02953756967640268,fr,thenine
fille,0.028519032791009483,fr,thenine
appeler,0.02750049590561629,fr,thenine
moment,0.02750049590561629,fr,thenine
l,0.02750049590561629,fr,thenine
argent,0.02750049590561629,fr,thenine
braquage,0.026928468337100702,fr,thenine
ensuite,0.026912569467597063,fr,thenine
m,0.025463422134829897,fr,thenine
grand,0.025463422134829897,fr,thenine
ben,0.024744021283905345,fr,thenine
truc,0.02464282062441365,fr,thenine
trop,0.0244448852494367,fr,thenine
arriver,0.0244448852494367,fr,thenine
semaine,0.0244448852494367,fr,thenine
femme,0.0244448852494367,fr,thenine
nin,0.02433951330266663,fr,thenine
dsole,0.023616036431729746,fr,thenine
all,0.023616036431729746,fr,thenine
bonjour,0.023426348364043507,fr,thenine
nuit,0.023426348364043507,fr,thenine
porte,0.023426348364043507,fr,thenine
ecoute,0.022643537854417105,fr,thenine
aider,0.02240781147865031,fr,thenine
souvenir,0.02240781147865031,fr,thenine
oeil,0.02240781147865031,fr,thenine
chance,0.02240781147865031,fr,thenine
boulot,0.021737075339213013,fr,thenine
otage,0.021701276004051084,fr,thenine
tai,0.02156246804636194,fr,thenine
ami,0.021389274593257113,fr,thenine
petit,0.021389274593257113,fr,thenine
peur,0.021389274593257113,fr,thenine
appel,0.021389274593257113,fr,thenine
tr,0.021389274593257113,fr,thenine
prend,0.021389274593257113,fr,thenine
tagne,0.020914960051726005,fr,thenine
dolton,0.020888701950144747,fr,thenine
amein,0.020888701950144747,fr,thenine
carlos,0.020504027156581534,fr,thenine
question,0.020370737707863917,fr,thenine
aujourd,0.020370737707863917,fr,thenine
mieux,0.020370737707863917,fr,thenine
main,0.020370737707863917,fr,thenine
parl,0.020370737707863917,fr,thenine
tard,0.019508899660994134,fr,thenine
hier,0.019508899660994134,fr,thenine
procureur,0.019386933675926688,fr,thenine
demander,0.019352200822470723,fr,thenine
laisser,0.019352200822470723,fr,thenine
raison,0.019352200822470723,fr,thenine
dieu,0.019352200822470723,fr,thenine
avocat,0.01924295758823379,fr,thenine
enceint,0.01907750733532373,fr,thenine
ca,0.018671725320203583,fr,thenine
attend,0.018482115468310235,fr,thenine
personne,0.018482115468310235,fr,thenine
hro,0.018469896674380298,fr,thenine
vigile,0.01845534653523699,fr,thenine
chrie,0.018333663937077527,fr,thenine
essayer,0.018333663937077527,fr,thenine
maison,0.018333663937077527,fr,thenine
nouveau,0.018333663937077527,fr,thenine
aide,0.018333663937077527,fr,thenine
dernire,0.018333663937077527,fr,thenine
pre,0.018333663937077527,fr,thenine
travailler,0.018333663937077527,fr,thenine
mal,0.018333663937077527,fr,thenine
mois,0.018333663937077527,fr,thenine
trouver,0.018333663937077527,fr,thenine
prison,0.018173904388887472,fr,thenine
mehdi,0.018064718068518337,fr,thenine
intrieur,0.017739192174753313,fr,thenine
gars,0.017596680036505774,fr,thenine
mre,0.017596680036505774,fr,thenine
rester,0.017455331275626332,fr,thenine
appeller,0.01741094796083412,fr,thenine
regarder,0.01731512705168433,fr,thenine
aimer,0.01731512705168433,fr,thenine
homme,0.01731512705168433,fr,thenine
finir,0.01731512705168433,fr,thenine
connaître,0.01731512705168433,fr,thenine
trouv,0.01731512705168433,fr,thenine
soeur,0.01724354641109154,fr,thenine
ok,0.01724354641109154,fr,thenine
moot,0.01715559831751373,fr,thenine
team,0.016768438340003026,fr,thenine
jone,0.016455369333525552,fr,thenine
terre,0.01642854708294243,fr,thenine
coup,0.01642854708294243,fr,thenine
eva,0.016412793395125917,fr,thenine
essaye,0.01629696765386497,fr,thenine
affaire,0.016296590166291133,fr,thenine
arrte,0.016296590166291133,fr,thenine
propos,0.016296590166291133,fr,thenine
tier,0.016296590166291133,fr,thenine
lucer,0.016147238447809655,fr,thenine
voiture,0.016035797990194826,fr,thenine
ket,0.01566652646260856,fr,thenine
melekh,0.01566652646260856,fr,thenine
olam,0.01566652646260856,fr,thenine
barukh,0.01566652646260856,fr,thenine
ssaye,0.01566652646260856,fr,thenine
journe,0.015401762890258528,fr,thenine
allez,0.015278053280897938,fr,thenine
pense,0.015278053280897938,fr,thenine
important,0.015278053280897938,fr,thenine
hein,0.015278053280897938,fr,thenine
vien,0.015278053280897938,fr,thenine
braqueur,0.015205189527934655,fr,thenine
toilette,0.014707436055428123,fr,thenine
poker,0.01464915697752025,fr,thenine
kate,0.014583172957238398,fr,thenine
atah,0.014427582957564243,fr,thenine
adoner,0.014427582957564243,fr,thenine
donner,0.014374978697574627,fr,thenine
instant,0.014374978697574627,fr,thenine
oublier,0.014374978697574627,fr,thenine
tte,0.014259516395504742,fr,thenine
enfant,0.014259516395504742,fr,thenine
papa,0.014259516395504742,fr,thenine
cas,0.014259516395504742,fr,thenine
gros,0.014259516395504742,fr,thenine
laisse,0.014259516395504742,fr,thenine
carte,0.014259516395504742,fr,thenine
compte,0.014259516395504742,fr,thenine
tlphone,0.01412403863334964,fr,thenine
neuf,0.014010381459011878,fr,thenine
mary,0.013563297502531926,fr,thenine
responsable,0.013456284733798531,fr,thenine
miller,0.013411232397106239,fr,thenine
prochain,0.013348194504890724,fr,thenine
demain,0.013348194504890724,fr,thenine
train,0.013348194504890724,fr,thenine
bloc,0.013282819325927984,fr,thenine
second,0.013240979510111547,fr,thenine
