mot,poids_tfidf,langue,serie
c,0.5702364544478127,fr,flashforward
j,0.28754382699147246,fr,flashforward
savoir,0.1997812172195353,fr,flashforward
taire,0.1944889995448456,fr,flashforward
benford,0.18315390068805254,fr,flashforward
vouloir,0.1755252195438743,fr,flashforward
n,0.1719970744274145,fr,flashforward
out,0.15813339640934346,fr,flashforward
black,0.14364086902628548,fr,flashforward
bien,0.14288987721662127,fr,flashforward
demetri,0.140793752717545,fr,flashforward
faire,0.11378268000582806,fr,flashforward
tre,0.1031982446564487,fr,flashforward
devoir,0.10055213581910386,fr,flashforward
aller,0.09878806326087397,fr,flashforward
voir,0.09614195442352913,fr,flashforward
flash,0.0947065363847124,fr,flashforward
chose,0.08952668233016703,fr,flashforward
mosaque,0.08705591468540703,fr,flashforward
gibbon,0.08531572872581698,fr,flashforward
simcoe,0.0836628929068882,fr,flashforward
noh,0.07914057437138072,fr,flashforward
frost,0.07807311412604594,fr,flashforward
ici,0.07673715628300032,fr,flashforward
croire,0.07100392046875316,fr,flashforward
mme,0.0687988297709658,fr,flashforward
non,0.06703475721273591,fr,flashforward
wedeck,0.06557361876485832,fr,flashforward
bon,0.06306559395671865,fr,flashforward
venir,0.06086050325893128,fr,flashforward
jericho,0.060717686394126585,fr,flashforward
falloir,0.05600930372379908,fr,flashforward
trouver,0.05556828558424161,fr,flashforward
vision,0.05497044608896104,fr,flashforward
monde,0.05468624930512666,fr,flashforward
arriver,0.05380421302601172,fr,flashforward
t,0.05292217674689677,fr,flashforward
avoir,0.049835049769994456,fr,flashforward
passer,0.049835049769994456,fr,flashforward
vie,0.04895301349087951,fr,flashforward
heure,0.04895301349087951,fr,flashforward
somali,0.0487419969825523,fr,flashforward
homme,0.048511995351322036,fr,flashforward
jour,0.048511995351322036,fr,flashforward
agent,0.04828813226726376,fr,flashforward
dire,0.046747922793092145,fr,flashforward
oui,0.046747922793092145,fr,flashforward
mourir,0.045424868374419725,fr,flashforward
prendre,0.045424868374419725,fr,flashforward
lloyd,0.04525316128183607,fr,flashforward
hellinger,0.045223185355074705,fr,flashforward
futur,0.04457936916953556,fr,flashforward
pouvoir,0.04366079581618983,fr,flashforward
temps,0.04366079581618983,fr,flashforward
dylan,0.04268033670115134,fr,flashforward
vraiment,0.04189672325795994,fr,flashforward
mort,0.04145570511840247,fr,flashforward
besoin,0.04057366883928752,fr,flashforward
jamais,0.04057366883928752,fr,flashforward
fbi,0.04042830951460064,fr,flashforward
apr,0.04013265069973005,fr,flashforward
campo,0.03994584631192538,fr,flashforward
tuer,0.0392506144206151,fr,flashforward
appeler,0.03660450558327027,fr,flashforward
perdre,0.03616348744371279,fr,flashforward
m,0.03572246930415532,fr,flashforward
dyson,0.03568146293921205,fr,flashforward
tai,0.034677954179689746,fr,flashforward
arme,0.03395839674592543,fr,flashforward
keiko,0.033917389016306025,fr,flashforward
nlap,0.033917389016306025,fr,flashforward
jani,0.033756375082096605,fr,flashforward
zoey,0.033756375082096605,fr,flashforward
partir,0.03307636046681048,fr,flashforward
mark,0.032845889355559564,fr,flashforward
aimer,0.03263534232725301,fr,flashforward
mettre,0.03175330604813806,fr,flashforward
geyer,0.03165622974855229,fr,flashforward
penser,0.03131228790858059,fr,flashforward
moment,0.03131228790858059,fr,flashforward
aider,0.03131228790858059,fr,flashforward
janis,0.031235127001806043,fr,flashforward
fois,0.030871269769023116,fr,flashforward
avenir,0.030861274512051447,fr,flashforward
sr,0.03043025162946564,fr,flashforward
peur,0.03043025162946564,fr,flashforward
mal,0.03043025162946564,fr,flashforward
ami,0.03043025162946564,fr,flashforward
minute,0.029787473462041195,fr,flashforward
attendre,0.029548215350350696,fr,flashforward
simco,0.029395070480798556,fr,flashforward
dsol,0.02910719721079322,fr,flashforward
appel,0.027784142792120804,fr,flashforward
petit,0.027784142792120804,fr,flashforward
l,0.02734312465256333,fr,flashforward
main,0.02734312465256333,fr,flashforward
alda,0.02733868918530257,fr,flashforward
bureau,0.027091006170863546,fr,flashforward
raynaud,0.027070443401565236,fr,flashforward
tracy,0.02694381601000442,fr,flashforward
mois,0.02690210651300586,fr,flashforward
an,0.02690210651300586,fr,flashforward
enqute,0.026820515842100896,fr,flashforward
corbeau,0.02667150015588494,fr,flashforward
sortir,0.026461088373448384,fr,flashforward
octobre,0.025888896289697438,fr,flashforward
souvenir,0.02557905209433344,fr,flashforward
vreede,0.024872751945291087,fr,flashforward
avril,0.024708960842251028,fr,flashforward
question,0.024697015815218493,fr,flashforward
nom,0.024697015815218493,fr,flashforward
regarder,0.024697015815218493,fr,flashforward
connaître,0.024697015815218493,fr,flashforward
accord,0.023814979536103547,fr,flashforward
mieux,0.023373961396546072,fr,flashforward
raison,0.023373961396546072,fr,flashforward
arriv,0.023373961396546072,fr,flashforward
mcdow,0.022611592677537352,fr,flashforward
finir,0.022491925117431127,fr,flashforward
trs,0.022491925117431127,fr,flashforward
quelqu,0.022491925117431127,fr,flashforward
charlie,0.022060049991044883,fr,flashforward
parler,0.022050906977873652,fr,flashforward
soir,0.021784868651343558,fr,flashforward
fille,0.02160988883831618,fr,flashforward
être,0.02160988883831618,fr,flashforward
femme,0.02160988883831618,fr,flashforward
tr,0.02160988883831618,fr,flashforward
marci,0.02156107870123212,fr,flashforward
dsole,0.021340279495193692,fr,flashforward
important,0.020727852559201235,fr,flashforward
mars,0.020473138983579425,fr,flashforward
qed,0.020350433409783614,fr,flashforward
trop,0.02028683441964376,fr,flashforward
problme,0.02028683441964376,fr,flashforward
veux,0.02028683441964376,fr,flashforward
comprend,0.02028683441964376,fr,flashforward
entendre,0.02028683441964376,fr,flashforward
angele,0.019920987366996577,fr,flashforward
truc,0.019561922870594217,fr,flashforward
aujourd,0.019404798140528815,fr,flashforward
papa,0.019404798140528815,fr,flashforward
maison,0.01896378000097134,fr,flashforward
cause,0.01896378000097134,fr,flashforward
grand,0.01896378000097134,fr,flashforward
suspect,0.018876975037939246,fr,flashforward
clemente,0.018741076201083624,fr,flashforward
bleu,0.0186657863516077,fr,flashforward
connaissance,0.0186657863516077,fr,flashforward
pass,0.01852276186141387,fr,flashforward
aide,0.01852276186141387,fr,flashforward
photo,0.01851565161066002,fr,flashforward
nicole,0.018369392928559367,fr,flashforward
coup,0.018228155402144612,fr,flashforward
hpital,0.01819914169281751,fr,flashforward
gough,0.01808927414202988,fr,flashforward
fait,0.018081743721856395,fr,flashforward
voil,0.018081743721856395,fr,flashforward
tachyon,0.017766513201103475,fr,flashforward
partie,0.017640725582298924,fr,flashforward
livy,0.017599219089693124,fr,flashforward
seconde,0.017308203756180935,fr,flashforward
trouv,0.01719970744274145,fr,flashforward
cas,0.01719970744274145,fr,flashforward
message,0.01719970744274145,fr,flashforward
simon,0.01707465596041619,fr,flashforward
afghanistan,0.016919765889456147,fr,flashforward
exprience,0.016852724709965648,fr,flashforward
vien,0.016758689303183978,fr,flashforward
bryce,0.016487883712706916,fr,flashforward
tlphone,0.016465058591219286,fr,flashforward
changer,0.016449798777545138,fr,flashforward
dr,0.016387522877612835,fr,flashforward
famille,0.016317671163626504,fr,flashforward
pre,0.016317671163626504,fr,flashforward
quantique,0.01622716808225277,fr,flashforward
donner,0.01600520962139527,fr,flashforward
dem,0.015978338524770153,fr,flashforward
travailler,0.01587665302406903,fr,flashforward
affaire,0.01587665302406903,fr,flashforward
comprendre,0.01587665302406903,fr,flashforward
ganwar,0.015828114874276145,fr,flashforward
cia,0.015675815989758278,fr,flashforward
entier,0.015650204070156097,fr,flashforward
aaron,0.015613983989275462,fr,flashforward
tard,0.015560620465245402,fr,flashforward
rentrer,0.015435634884511558,fr,flashforward
s,0.015435634884511558,fr,flashforward
nuit,0.015435634884511558,fr,flashforward
porte,0.015435634884511558,fr,flashforward
piste,0.015423550943635608,fr,flashforward
boulot,0.015238437023499758,fr,flashforward
date,0.015175955461969553,fr,flashforward
mckinnon,0.014576392600842817,fr,flashforward
chance,0.01455359860539661,fr,flashforward
revenir,0.01455359860539661,fr,flashforward
essayer,0.01455359860539661,fr,flashforward
vrai,0.01455359860539661,fr,flashforward
travail,0.01455359860539661,fr,flashforward
ide,0.01455359860539661,fr,flashforward
air,0.014112580465839138,fr,flashforward
tour,0.014112580465839138,fr,flashforward
nouveau,0.014112580465839138,fr,flashforward
demande,0.014112580465839138,fr,flashforward
vivre,0.014112580465839138,fr,flashforward
scurit,0.013893869050838012,fr,flashforward
matin,0.013782263840645926,fr,flashforward
