mot,poids_tfidf,langue,serie
sloane,0.2724124456371113,fr,alias
vaughn,0.2009751978436209,fr,alias
rambaldi,0.1780389680672834,fr,alias
taire,0.169838047220523,fr,alias
sark,0.1442060177492015,fr,alias
covenant,0.1307587814915435,fr,alias
cia,0.1042025459828615,fr,alias
tre,0.1013619428316115,fr,alias
sydney,0.0916654654853618,fr,alias
dixon,0.0890627102145622,fr,alias
arvin,0.0848990903778765,fr,alias
nadia,0.0733008855148822,fr,alias
derevko,0.0726576474044054,fr,alias
agent,0.0718883293417442,fr,alias
syd,0.0681156224410677,fr,alias
marshall,0.067556687598728,fr,alias
ici,0.0662043852859618,fr,alias
heure,0.05874016537627,fr,alias
mme,0.0574420401745845,fr,alias
pre,0.0552784981717753,fr,alias
besoin,0.0455425591591338,fr,alias
khasinau,0.0454803594439789,fr,alias
travailler,0.0404582354525322,fr,alias
apr,0.0392682873509871,fr,alias
jack,0.0361396192820872,fr,alias
appeler,0.0347248491450878,fr,alias
attendre,0.0344003178446664,fr,alias
minute,0.0316253795301693,fr,alias
ouai,0.0314747168167009,fr,alias
donne,0.0313713590407335,fr,alias
mission,0.0311983607164395,fr,alias
contact,0.0311891673987187,fr,alias
code,0.0311339401173251,fr,alias
tuer,0.0310468277403121,fr,alias
aimer,0.0302895880393289,fr,alias
fille,0.0301814109391884,fr,alias
scurit,0.0296827513564886,fr,alias
aider,0.0294241712382052,fr,alias
trouv,0.0289914628376434,fr,alias
trs,0.028666931537222,fr,alias
quelqu,0.0284505773369411,fr,alias
nsc,0.0282865650200356,fr,alias
nom,0.0282342231366602,fr,alias
directorat,0.027731926490231,fr,alias
sortir,0.0269360979349746,fr,alias
mourir,0.0267197437346937,fr,alias
arme,0.0266115666345532,fr,alias
problme,0.0265033895344128,fr,alias
francie,0.0264199776216039,fr,alias
mort,0.0261788582339914,fr,alias
quipe,0.0255470295169698,fr,alias
accord,0.0255297956331486,fr,alias
mal,0.0247725559321654,fr,alias
question,0.0243398475316036,fr,alias
pass,0.0241234933313226,fr,alias
tai,0.0241007202626463,fr,alias
petit,0.0240153162311822,fr,alias
raison,0.0240153162311822,fr,alias
regarder,0.0237989620309013,fr,alias
fait,0.0235826078306203,fr,alias
alliance,0.0228468569207749,fr,alias
opration,0.0227154439476067,fr,alias
dsol,0.0225008368292157,fr,alias
echelon,0.0222132680296001,fr,alias
confiance,0.0220681284286539,fr,alias
travail,0.0219599513285134,fr,alias
weis,0.0218334486927899,fr,alias
appel,0.0217435971282325,fr,alias
bristow,0.0215845145028499,fr,alias
hassan,0.0213099154005575,fr,alias
russe,0.0212778443866935,fr,alias
retrouver,0.0212653414082173,fr,alias
perdre,0.020445471926547,fr,alias
apprendre,0.0201209406261256,fr,alias
papa,0.0201209406261256,fr,alias
prophte,0.0200762144631749,fr,alias
dean,0.0200270733744712,fr,alias
soir,0.0197385989481401,fr,alias
voil,0.0196882322255638,fr,alias
outrigger,0.0194095066276509,fr,alias
anner,0.0192255619894578,fr,alias
information,0.0192165637910622,fr,alias
kgb,0.0191903133467519,fr,alias
secret,0.0189513259706192,fr,alias
chance,0.0189309925245805,fr,alias
vadik,0.0188577100133571,fr,alias
systme,0.0186125094013588,fr,alias
emily,0.018475450526482,fr,alias
finir,0.0182819299237378,fr,alias
ami,0.0181737528235973,fr,alias
envoyer,0.0180655757234569,fr,alias
essayer,0.0180655757234569,fr,alias
comprend,0.0179573986233164,fr,alias
vrit,0.0179538877616392,fr,alias
elener,0.0178436246908395,fr,alias
rseau,0.0178094780809571,fr,alias
briault,0.0177484329537478,fr,alias
veux,0.0177410444230355,fr,alias
compte,0.0177410444230355,fr,alias
signal,0.0175648427467829,fr,alias
rapport,0.0172303791922991,fr,alias
mieux,0.0172001589223332,fr,alias
attend,0.0167941670608485,fr,alias
souvenir,0.0166592734216309,fr,alias
mois,0.0166592734216309,fr,alias
taipei,0.0166391558941386,fr,alias
bureau,0.0165565307773163,fr,alias
dernire,0.01644291922135,fr,alias
guilamu,0.016345612323668,fr,alias
place,0.0163347421212095,fr,alias
lauren,0.0162921185053522,fr,alias
parl,0.016226565021069,fr,alias
nouveau,0.016226565021069,fr,alias
chercher,0.0161183879209286,fr,alias
all,0.0159217427979473,fr,alias
demande,0.0159020337206476,fr,alias
dieu,0.0157938566205072,fr,alias
avion,0.0157043048073965,fr,alias
donn,0.0156856795203667,fr,alias
accs,0.0156422198219616,fr,alias
message,0.0155775024202263,fr,alias
tippin,0.0155298788345294,fr,alias
plan,0.01539105625892,fr,alias
aide,0.0153611482199453,fr,alias
service,0.0152674246007714,fr,alias
double,0.0150923477834039,fr,alias
change,0.015036616919524,fr,alias
bombe,0.0150213469705746,fr,alias
dossier,0.0149875906499556,fr,alias
agence,0.0149449553422165,fr,alias
utiliser,0.014820262719243,fr,alias
air,0.0147120856191026,fr,alias
prt,0.0146131064035954,fr,alias
semaine,0.0146039085189621,fr,alias
vrai,0.0144957314188217,fr,alias
arrter,0.0144957314188217,fr,alias
serveur,0.0144323311342209,fr,alias
flinkman,0.0144206017749201,fr,alias
crf,0.0144206017749201,fr,alias
dsole,0.0143950003378701,fr,alias
sai,0.0143875543186812,fr,alias
partie,0.0143875543186812,fr,alias
point,0.0142793772185407,fr,alias
vite,0.0142793772185407,fr,alias
will,0.0142196906292024,fr,alias
dispositif,0.013950909509721,fr,alias
russek,0.0138659632451155,fr,alias
tamazaki,0.0138659632451155,fr,alias
recherche,0.0138497351735569,fr,alias
arriv,0.0138466688179789,fr,alias
salut,0.0138466688179789,fr,alias
iriner,0.0138309027354114,fr,alias
vol,0.0137420145168928,fr,alias
main,0.0137384917178384,fr,alias
artefact,0.0137197696469188,fr,alias
michael,0.013713102762989,fr,alias
carte,0.013630314617698,fr,alias
agir,0.013630314617698,fr,alias
affaire,0.0135221375175575,fr,alias
grand,0.0134139604174171,fr,alias
bonjour,0.0134139604174171,fr,alias
doi,0.0134135230421063,fr,alias
test,0.0131709129954155,fr,alias
laisse,0.0130894291169957,fr,alias
coup,0.0130863639435183,fr,alias
suite,0.0130863639435183,fr,alias
coffre,0.01308277942519,fr,alias
passager,0.0129136585583406,fr,alias
garde,0.0128730749167148,fr,alias
demain,0.012868257877793,fr,alias
entrer,0.0127648978165743,fr,alias
rene,0.0127498083301355,fr,alias
info,0.0127053946802319,fr,alias
organisation,0.0126767093820844,fr,alias
risque,0.0126501518120677,fr,alias
plat,0.0126501518120677,fr,alias
supposer,0.0126426533555414,fr,alias
enfant,0.0125485436162934,fr,alias
porte,0.0124403665161529,fr,alias
base,0.0124125643784172,fr,alias
tte,0.0123321894160125,fr,alias
fichier,0.0123252780756812,fr,alias
lindsey,0.0122906269753647,fr,alias
