mot,poids_tfidf,langue,serie
s,0.5872312681923048,en,jake
know,0.2589189962677633,en,jake
jake,0.2144801467668907,en,jake
go,0.19847969166347276,en,jake
t,0.19325654188285504,en,jake
m,0.1783332567953759,en,jake
right,0.1716177785060103,en,jake
get,0.1656484644710186,en,jake
want,0.13505573004168636,en,jake
think,0.13132490876981656,en,jake
come,0.12983258026106864,en,jake
agent,0.1266024876491892,en,jake
nanite,0.1234892327327831,en,jake
foley,0.11575399814022766,en,jake
good,0.10520915986672803,en,jake
tell,0.0955090245598666,en,jake
let,0.09327053179674472,en,jake
look,0.09252436754237076,en,jake
kyle,0.09250920931285697,en,jake
man,0.09028587477924889,en,jake
carano,0.08812858767264811,en,jake
guy,0.08800243613219572,en,jake
diane,0.08749206595169515,en,jake
thank,0.07983957521801348,en,jake
need,0.07834724670926556,en,jake
dumont,0.07555138401981833,en,jake
work,0.07387026118302181,en,jake
thing,0.07387026118302181,en,jake
time,0.0634239616217864,en,jake
vasily,0.0599952806321365,en,jake
mean,0.059693140349916615,en,jake
sorry,0.05745464758679474,en,jake
find,0.05596231907804683,en,jake
talk,0.05596231907804683,en,jake
little,0.053723826314924956,en,jake
duarte,0.052937012322473394,en,jake
way,0.051485333551803084,en,jake
baako,0.049811810423670666,en,jake
gant,0.047553665252028275,en,jake
kembu,0.04598013269877293,en,jake
people,0.043277526753689545,en,jake
happen,0.043277526753689545,en,jake
sure,0.043277526753689545,en,jake
dankova,0.042148454973875184,en,jake
varcon,0.042148454973875184,en,jake
life,0.04178519824494163,en,jake
try,0.04178519824494163,en,jake
day,0.04103903399056767,en,jake
kind,0.0388005412274458,en,jake
kill,0.038054376973071846,en,jake
okay,0.03738922430732751,en,jake
guess,0.037308212718697886,en,jake
year,0.036562048464323926,en,jake
d,0.03506971995557601,en,jake
wait,0.03506971995557601,en,jake
hand,0.03506971995557601,en,jake
leave,0.03432355570120205,en,jake
say,0.0335773914468281,en,jake
hade,0.033275523264844016,en,jake
mission,0.0330291371438565,en,jake
help,0.03283122719245414,en,jake
nsa,0.03192101888410366,en,jake
order,0.03184437574983766,en,jake
computer,0.0317809982192934,en,jake
hear,0.03133889868370623,en,jake
believe,0.030592734429332268,en,jake
maybe,0.029846570174958308,en,jake
malik,0.029803278291725972,en,jake
listen,0.02910040592058435,en,jake
interface,0.028976439452561068,en,jake
minute,0.028581987803619115,en,jake
ask,0.028354241666210395,en,jake
nice,0.027608077411836435,en,jake
run,0.027608077411836435,en,jake
weapon,0.027514461355613088,en,jake
caleb,0.027093889356114523,en,jake
feel,0.026861913157462478,en,jake
dead,0.026861913157462478,en,jake
friend,0.026861913157462478,en,jake
prince,0.026629031727442732,en,jake
clemen,0.02651580860595057,en,jake
like,0.026115748903088522,en,jake
hour,0.026115748903088522,en,jake
great,0.026115748903088522,en,jake
take,0.026115748903088522,en,jake
security,0.02583465245635025,en,jake
lot,0.025369584648714562,en,jake
pack,0.0248519733592711,en,jake
trust,0.024821199934721868,en,jake
meet,0.024623420394340605,en,jake
job,0.024623420394340605,en,jake
understand,0.024623420394340605,en,jake
kid,0.02445729898276719,en,jake
car,0.02445729898276719,en,jake
field,0.024015021277634635,en,jake
open,0.02387725613996665,en,jake
real,0.02387725613996665,en,jake
watch,0.02387725613996665,en,jake
country,0.02348604768759114,en,jake
pretty,0.023316884787162966,en,jake
bring,0.02313109188559269,en,jake
start,0.02313109188559269,en,jake
see,0.02313109188559269,en,jake
problem,0.02313109188559269,en,jake
fine,0.022564727213383515,en,jake
alonzo,0.02237819541271919,en,jake
wolf,0.02196117961720774,en,jake
give,0.021638763376844772,en,jake
enhance,0.02152489329826118,en,jake
tech,0.02144741218446618,en,jake
sir,0.021400136609921287,en,jake
jerry,0.021176381145178218,en,jake
phone,0.02080166123149555,en,jake
intelligence,0.02050418701332472,en,jake
big,0.020308254492045163,en,jake
team,0.020192228354407767,en,jake
word,0.02014643486809686,en,jake
girl,0.02014643486809686,en,jake
ling,0.019729685578117766,en,jake
control,0.019713184987994736,en,jake
send,0.019556096918265712,en,jake
director,0.0194976474404238,en,jake
world,0.0194002706137229,en,jake
win,0.0194002706137229,en,jake
night,0.0194002706137229,en,jake
technology,0.019314989079270126,en,jake
freewald,0.01915838862448872,en,jake
banatech,0.01915838862448872,en,jake
lafortunata,0.01915838862448872,en,jake
human,0.019107264830286866,en,jake
sandstorm,0.019037673035593353,en,jake
whoa,0.0189679936813019,en,jake
place,0.018654106359348943,en,jake
actually,0.018654106359348943,en,jake
stand,0.018654106359348943,en,jake
general,0.018514076827636283,en,jake
op,0.018345851538237905,en,jake
son,0.01805178177070681,en,jake
hold,0.01805178177070681,en,jake
stop,0.017907942104974987,en,jake
long,0.017907942104974987,en,jake
room,0.017907942104974987,en,jake
vial,0.017523930698590425,en,jake
aubrey,0.01738146467161855,en,jake
deal,0.01729962419692736,en,jake
worry,0.01729962419692736,en,jake
make,0.017161777850601027,en,jake
bad,0.017161777850601027,en,jake
new,0.017161777850601027,en,jake
woman,0.017161777850601027,en,jake
head,0.017161777850601027,en,jake
away,0.017161777850601027,en,jake
well,0.017161777850601027,en,jake
shoot,0.017161777850601027,en,jake
turn,0.017161777850601027,en,jake
darin,0.016572380378719106,en,jake
figure,0.016547466623147912,en,jake
break,0.016547466623147912,en,jake
exactly,0.01641561359622707,en,jake
line,0.01641561359622707,en,jake
change,0.01641561359622707,en,jake
home,0.01641561359622707,en,jake
sound,0.01641561359622707,en,jake
excuse,0.01641561359622707,en,jake
government,0.016249567943586486,en,jake
tvsubtitle,0.016143669973695884,en,jake
plane,0.016118902310486922,en,jake
research,0.015861129375818458,en,jake
copy,0.015733979457760623,en,jake
