mot,poids_tfidf,langue,serie
c,0.5957018918163209,fr,community
j,0.3187070296479003,fr,community
abed,0.2985039498006847,fr,community
greendal,0.16617745659007185,fr,community
vouloir,0.15837588589864987,fr,community
taire,0.13621629692517623,fr,community
t,0.13165402860710812,fr,community
pierce,0.12857593755614116,fr,community
bien,0.12709176028904,fr,community
jeff,0.11584491773578953,fr,community
winger,0.11110579521582163,fr,community
savoir,0.11014619225050135,fr,community
n,0.11014619225050135,fr,community
tre,0.10884268701676761,fr,community
faire,0.10297691346496575,fr,community
troy,0.09542817946782702,fr,community
voir,0.09059361374449519,fr,community
annie,0.08581616320751893,fr,community
bon,0.08472784019269335,fr,community
non,0.08146907710835899,fr,community
devoir,0.0788620666408915,fr,community
vaughn,0.06842125028133955,fr,community
aller,0.06387175645295344,fr,community
mme,0.06191649860235283,fr,community
feygnasse,0.06154720614447106,fr,community
prendre,0.060612993368619084,fr,community
cours,0.05978972952910255,fr,community
truc,0.05716160954980134,fr,community
voil,0.05605072505055098,fr,community
jamais,0.05474721981681724,fr,community
ami,0.05474721981681724,fr,community
espagnol,0.05435628346489747,fr,community
aimer,0.053443714583083494,fr,community
croire,0.053443714583083494,fr,community
groupe,0.053417176259761404,fr,community
venir,0.05214020934934975,fr,community
petit,0.05214020934934975,fr,community
oui,0.051488456732482875,fr,community
ici,0.04757794103128165,fr,community
falloir,0.046926188414414774,fr,community
vie,0.046926188414414774,fr,community
slater,0.046323943222598044,fr,community
trop,0.04562268318068103,fr,community
m,0.04562268318068103,fr,community
cool,0.04521945654676263,fr,community
vraiment,0.04497093056381416,fr,community
passer,0.04497093056381416,fr,community
dire,0.044319177946947286,fr,community
regarder,0.04366742533008042,fr,community
schmitty,0.041166425552571245,fr,community
appeler,0.04106041486261293,fr,community
dsol,0.04106041486261293,fr,community
monde,0.04040866224574605,fr,community
heure,0.039756909628879185,fr,community
fille,0.039756909628879185,fr,community
mec,0.03867891740422357,fr,community
shirley,0.037991273783167905,fr,community
pouvoir,0.0371498991614117,fr,community
finir,0.0371498991614117,fr,community
super,0.03672430867858596,fr,community
mal,0.03649814654454483,fr,community
trouver,0.03584639392767795,fr,community
homme,0.03584639392767795,fr,community
film,0.03545616363066033,fr,community
avoir,0.03389113607707734,fr,community
kickpuncher,0.033416232524812586,fr,community
jour,0.033239383460210464,fr,community
chose,0.033239383460210464,fr,community
arriver,0.032587630843343596,fr,community
fac,0.03192642197956124,fr,community
temps,0.03128412560960985,fr,community
doyen,0.030207175435510627,fr,community
vrai,0.029980620375876108,fr,community
fois,0.029328867759009235,fr,community
partir,0.029328867759009235,fr,community
chang,0.02890931977231332,fr,community
quelqu,0.028677115142142363,fr,community
tudier,0.028510272772202132,fr,community
examen,0.028276807222001366,fr,community
besoin,0.02802536252527549,fr,community
apr,0.02802536252527549,fr,community
veux,0.02737360990840862,fr,community
mettre,0.02737360990840862,fr,community
an,0.02737360990840862,fr,community
raison,0.026721857291541747,fr,community
poterie,0.026247257713234995,fr,community
famille,0.026070104674674875,fr,community
aide,0.025418352057808003,fr,community
femme,0.025418352057808003,fr,community
prof,0.025134939752890103,fr,community
trs,0.02476659944094113,fr,community
l,0.02476659944094113,fr,community
seor,0.024479295221271933,fr,community
fte,0.024428789939509622,fr,community
tudiant,0.02435411668907727,fr,community
accord,0.02411484682407426,fr,community
nom,0.02411484682407426,fr,community
gnial,0.023071634942870203,fr,community
attendre,0.022811341590340515,fr,community
sortir,0.022811341590340515,fr,community
entendre,0.022159588973473643,fr,community
semestre,0.022007975449593088,fr,community
hawthorn,0.02154152215056487,fr,community
grand,0.02150783635660677,fr,community
mieux,0.02150783635660677,fr,community
air,0.02150783635660677,fr,community
sr,0.02150783635660677,fr,community
aider,0.0208560837397399,fr,community
meilleur,0.0208560837397399,fr,community
apprendre,0.0208560837397399,fr,community
nugget,0.02073371220646653,fr,community
brownie,0.020360216798776642,fr,community
penser,0.020204331122873027,fr,community
chance,0.020204331122873027,fr,community
mr,0.020204331122873027,fr,community
problme,0.020204331122873027,fr,community
fait,0.020204331122873027,fr,community
question,0.020204331122873027,fr,community
baggel,0.02004973951488755,fr,community
voiture,0.019838249038248445,fr,community
tai,0.019710899844759083,fr,community
salut,0.019552578506006155,fr,community
mot,0.019552578506006155,fr,community
mourir,0.019552578506006155,fr,community
gros,0.019552578506006155,fr,community
vieux,0.019552578506006155,fr,community
pierc,0.01909576384358171,fr,community
pre,0.018900825889139283,fr,community
badine,0.018464161843341317,fr,community
billard,0.018272254617312925,fr,community
devenir,0.018249073272272414,fr,community
tr,0.018249073272272414,fr,community
nouveau,0.018249073272272414,fr,community
bonjour,0.018249073272272414,fr,community
changer,0.017739809860283173,fr,community
minute,0.017739809860283173,fr,community
plutt,0.017739809860283173,fr,community
raciste,0.017723907767285652,fr,community
professeur,0.017658851577825478,fr,community
laisse,0.017597320655405542,fr,community
rester,0.01708277986545787,fr,community
sexy,0.017061226614334138,fr,community
donne,0.01694556803853867,fr,community
