mot,poids_tfidf,langue,serie
talk,0.1220703475362093,en,intreatment
fuck,0.1062988200253371,en,intreatment
happen,0.0716146038879094,en,intreatment
father,0.0666268061635991,en,intreatment
week,0.0653367003003329,en,intreatment
patient,0.0621720009874365,en,intreatment
laura,0.059250940393988,en,intreatment
love,0.0517345758605839,en,intreatment
life,0.0484793665929517,en,intreatment
sophie,0.0478776369332371,en,intreatment
kate,0.0475745027402961,en,intreatment
therapy,0.045793485313934,en,intreatment
mother,0.0446428699560994,en,intreatment
little,0.0438290676391913,en,intreatment
dad,0.0437090749654816,en,intreatment
fucking,0.0428892741249565,en,intreatment
therapist,0.0428298088035046,en,intreatment
sure,0.0419689480576872,en,intreatment
session,0.0402821059041454,en,intreatment
home,0.040225085950027,en,intreatment
work,0.039527541106963,en,intreatment
remember,0.039295026159275,en,intreatment
kid,0.0379870562118706,en,intreatment
start,0.0373186491039268,en,intreatment
stop,0.0372023916300828,en,intreatment
help,0.0370861341562388,en,intreatment
amy,0.0364128470112656,en,intreatment
actually,0.0356910444701107,en,intreatment
hear,0.0345284697316706,en,intreatment
away,0.0335984099409185,en,intreatment
shit,0.0329685878599931,en,intreatment
understand,0.0324358352024784,en,intreatment
like,0.0322033202547904,en,intreatment
night,0.0299944282517542,en,intreatment
long,0.0294131408825342,en,intreatment
sit,0.0294131408825342,en,intreatment
sleep,0.0291806259348462,en,intreatment
old,0.0284830810917821,en,intreatment
fine,0.0278915231727333,en,intreatment
oliver,0.0271413139516509,en,intreatment
bad,0.027087991405654,en,intreatment
live,0.026274189088746,en,intreatment
school,0.0258407247585452,en,intreatment
meet,0.0253441292979939,en,intreatment
place,0.0248790994026179,en,intreatment
mom,0.0244426738324499,en,intreatment
problem,0.0244140695072418,en,intreatment
bullshit,0.0243760736674994,en,intreatment
course,0.0243757849576829,en,intreatment
child,0.0242585936838479,en,intreatment
angry,0.023996680715985,en,intreatment
stay,0.0236002671903338,en,intreatment
sex,0.0235421175287155,en,intreatment
win,0.0233677522426457,en,intreatment
die,0.0233677522426457,en,intreatment
friend,0.0230189798211137,en,intreatment
run,0.0225539499257377,en,intreatment
care,0.0224376924518937,en,intreatment
turn,0.0219726625565176,en,intreatment
room,0.0218564050826736,en,intreatment
suppose,0.0216238901349856,en,intreatment
hard,0.0213913751872976,en,intreatment
bess,0.0211731360090853,en,intreatment
believe,0.0211588602396096,en,intreatment
pretty,0.0210944292903025,en,intreatment
big,0.0208600467426325,en,intreatment
feeling,0.0207202124792021,en,intreatment
great,0.0203450579227015,en,intreatment
house,0.0201125429750135,en,intreatment
guess,0.0201125429750135,en,intreatment
kill,0.0199962855011695,en,intreatment
wife,0.0195312556057934,en,intreatment
rosie,0.0194181926518782,en,intreatment
girl,0.0190662257104174,en,intreatment
lose,0.0187174532888854,en,intreatment
jake,0.0187137820496236,en,intreatment
couple,0.0182818387182622,en,intreatment
fall,0.0182524233935093,en,intreatment
