mot,poids_tfidf,langue,serie
s,0.5526957370200384,en,community
britta,0.32404470582355,en,community
t,0.22249267366259418,en,community
go,0.19801303964103736,en,community
know,0.193117112836726,en,community
m,0.19148513723528887,en,community
abe,0.1633355356065169,en,community
greendale,0.1569480664471404,en,community
get,0.15666965773796362,en,community
think,0.14578982039504948,en,community
want,0.1398059098564467,en,community
right,0.12131018637349267,en,community
good,0.11695825143632702,en,community
look,0.10227047102339293,en,community
troy,0.10056821798561129,en,community
guy,0.09760831197396752,en,community
abed,0.08233341190669662,en,community
come,0.08214277193900177,en,community
let,0.08105478820471035,en,community
tell,0.0772468451346904,en,community
class,0.07539627963436436,en,community
need,0.07507087766610757,en,community
pierce,0.0742402407321453,en,community
time,0.07398289393181616,en,community
say,0.07289491019752474,en,community
thing,0.07180692646323333,en,community
vaughn,0.0691138780382736,en,community
man,0.06691099965892197,en,community
people,0.06582301592463055,en,community
talk,0.06038309725317348,en,community
winger,0.060019946717448126,en,community
friend,0.05766313791744495,en,community
thank,0.05766313791744495,en,community
sorry,0.0543991867145707,en,community
day,0.05331120298027929,en,community
spanish,0.052914273027684554,en,community
way,0.04950325991025934,en,community
help,0.04895926804311363,en,community
try,0.04895926804311363,en,community
annie,0.04888106371458139,en,community
group,0.04755765330782983,en,community
study,0.04479065960513366,en,community
mean,0.04460733310594798,en,community
little,0.04460733310594798,en,community
life,0.042975357504510855,en,community
cool,0.04234772396940971,en,community
slater,0.04223991953967343,en,community
maybe,0.04188737377021944,en,community
bad,0.04079939003592803,en,community
school,0.040676103286406695,en,community
love,0.04025539816878232,en,community
start,0.039711406301636616,en,community
win,0.03807943070019949,en,community
girl,0.03807943070019949,en,community
like,0.03807943070019949,en,community
shirley,0.037858995670047205,en,community
stop,0.03753543883305378,en,community
find,0.03753543883305378,en,community
make,0.03699144696590808,en,community
dean,0.03678734003587421,en,community
student,0.03671053053139366,en,community
feygnasse,0.036020867709179775,en,community
feel,0.03590346323161667,en,community
leave,0.03590346323161667,en,community
hear,0.03590346323161667,en,community
real,0.03590346323161667,en,community
nice,0.03535947136447096,en,community
take,0.03535947136447096,en,community
call,0.034815479497325254,en,community
work,0.034271487630179544,en,community
see,0.03318350389588813,en,community
wait,0.03318350389588813,en,community
d,0.03209552016159672,en,community
great,0.03155152829445101,en,community
ask,0.03155152829445101,en,community
believe,0.0310075364273053,en,community
pottery,0.030308230077855453,en,community
sure,0.02937556082586818,en,community
play,0.028831568958722475,en,community
happen,0.028831568958722475,en,community
sound,0.027743585224431058,en,community
cause,0.027743585224431058,en,community
old,0.027743585224431058,en,community
face,0.027418065161226836,en,community
movie,0.027328684416961208,en,community
professor,0.027234006701591575,en,community
word,0.02719959335728535,en,community
well,0.02719959335728535,en,community
pretty,0.0268697038580023,en,community
actually,0.026655601490139645,en,community
college,0.02638188380866671,en,community
woman,0.02611160962299394,en,community
new,0.02611160962299394,en,community
fun,0.025980007627669586,en,community
bring,0.025567617755848232,en,community
year,0.025567617755848232,en,community
wrong,0.025567617755848232,en,community
fabrique,0.024853411550329173,en,community
family,0.024479634021556815,en,community
guess,0.024479634021556815,en,community
watch,0.024479634021556815,en,community
dude,0.023503006778522163,en,community
turn,0.023391650287265402,en,community
stuff,0.02303117473543054,en,community
person,0.022847658420119696,en,community
night,0.022847658420119696,en,community
semester,0.02278376804279921,en,community
big,0.022482813432206004,en,community
long,0.02230366655297399,en,community
lot,0.02230366655297399,en,community
boy,0.02230366655297399,en,community
care,0.02230366655297399,en,community
fine,0.021934452128981468,en,community
hawthorne,0.021825435169981137,en,community
kind,0.021759674685828283,en,community
happy,0.021759674685828283,en,community
kid,0.02173106887903919,en,community
high,0.021557878669768382,en,community
hard,0.021215682818682576,en,community
meet,0.021215682818682576,en,community
listen,0.021215682818682576,en,community
stay,0.021215682818682576,en,community
hand,0.021215682818682576,en,community
wear,0.021173861984704855,en,community
dance,0.020462430399620406,en,community
team,0.020383153205954133,en,community
song,0.02024656199269771,en,community
write,0.020220631881377484,en,community
job,0.02012769908439116,en,community
change,0.019583707217245453,en,community
schmitty,0.019331379314775028,en,community
okay,0.019139055599492492,en,community
run,0.019039715350099747,en,community
chicken,0.01885723169264467,en,community
hate,0.018644284309634246,en,community
funny,0.018644284309634246,en,community
ass,0.018535579224596026,en,community
live,0.01849572348295404,en,community
car,0.01838782751303316,en,community
crazy,0.018241281951342475,en,community
wanna,0.018241281951342475,en,community
date,0.018241281951342475,en,community
question,0.017951731615808333,en,community
morning,0.017951731615808333,en,community
campus,0.017503547945832094,en,community
stand,0.017407739748662627,en,community
racist,0.017217700634003713,en,community
stupid,0.01699920039996064,en,community
mom,0.016985961004961775,en,community
mind,0.016863747881516917,en,community
point,0.016863747881516917,en,community
lose,0.016863747881516917,en,community
check,0.016863747881516917,en,community
baggel,0.016760933059838796,en,community
hot,0.016716206830030146,en,community
teacher,0.01669950481631838,en,community
learn,0.01631975601437121,en,community
fight,0.01631975601437121,en,community
use,0.01631975601437121,en,community
party,0.01615899993569581,en,community
stepdaughter,0.015982165429428985,en,community
minute,0.015902477793511564,en,community
break,0.015902477793511564,en,community
brownie,0.01580155022551936,en,community
give,0.015775764147225504,en,community
