mot,poids_tfidf,langue,serie
fuck,0.5264895750633469,en,skins
fucking,0.1998054678906555,en,skins
sid,0.1463935563042462,en,skins
effy,0.1329160601934436,en,skins
shit,0.1008564316141854,en,skins
jal,0.0928360811511601,en,skins
love,0.0912393214523335,en,skins
mum,0.0901302231188819,en,skins
tony,0.077713218140919,en,skins
anwar,0.0632509563887025,en,skins
maxxie,0.0542740579123228,en,skins
cassie,0.0522393308362845,en,skins
girl,0.0446490296468866,en,skins
dad,0.0390131206763143,en,skins
tit,0.0376933530850157,en,skins
nice,0.0373153726034366,en,skins
cass,0.0367547004602974,en,skins
bit,0.0362368936264587,en,skins
talk,0.0362368936264587,en,skins
friend,0.0351584146494807,en,skins
chelle,0.0344924964902979,en,skins
mate,0.0335356260537757,en,skins
stop,0.0332171524909205,en,skins
naomi,0.0329681019682007,en,skins
freddie,0.0323446388028476,en,skins
like,0.0319229777185469,en,skins
cook,0.0303549671969428,en,skins
little,0.0299817155599866,en,skins
boy,0.0295503239691955,en,skins
fine,0.0289179640407915,en,skins
happen,0.0278247576060308,en,skins
spliff,0.02778562217274,en,skins
emily,0.0264194808116881,en,skins
michelle,0.0260000305416622,en,skins
work,0.0256677996520749,en,skins
pandora,0.0253401831207137,en,skins
sure,0.0252364080612837,en,skins
win,0.0250207122658881,en,skins
party,0.0249657258556972,en,skins
help,0.0245893206750969,en,skins
panda,0.0240231878282151,en,skins
wanker,0.0237278533548277,en,skins
coursework,0.0236598381947242,en,skins
great,0.023510841698119,en,skins
away,0.0228637543119322,en,skins
twat,0.0227131092708242,en,skins
katie,0.0220894835494617,en,skins
bad,0.0217852753349543,en,skins
hear,0.0215695795395587,en,skins
dunno,0.02011843151221,en,skins
big,0.0200034036973896,en,skins
cool,0.0196632708066995,en,skins
cock,0.0196387540254286,en,skins
shag,0.0196249543054447,en,skins
lovely,0.0193163034241814,en,skins
life,0.0189812299948117,en,skins
night,0.0187655341994161,en,skins
mind,0.0183341426086249,en,skins
home,0.0183341426086249,en,skins
osama,0.0182043731476572,en,skins
play,0.0181184468132293,en,skins
pussy,0.0180756158076464,en,skins
remember,0.0179027510178337,en,skins
stupid,0.0178291206868038,en,skins
sake,0.0177938399126925,en,skins
stuff,0.0176116923857452,en,skins
start,0.0174713594270426,en,skins
bollock,0.0174171104737664,en,skins
arse,0.0174131102787615,en,skins
kid,0.0172329789092423,en,skins
angie,0.0172288084844622,en,skins
stay,0.0170399678362514,en,skins
wrong,0.0170399678362514,en,skins
fucker,0.0168256931321131,en,skins
meet,0.0166085762454602,en,skins
ring,0.0162578965102504,en,skins
long,0.016177184654669,en,skins
fitch,0.0159701817299446,en,skins
baby,0.0157805881387339,en,skins
today,0.0155300972684823,en,skins
tosser,0.0153637034313526,en,skins
suppose,0.0150987056776911,en,skins
tonight,0.0149038887976931,en,skins
speak,0.0148830098822955,en,skins
piss,0.0147218940449947,en,skins
actually,0.0146673140868999,en,skins
run,0.0146673140868999,en,skins
fred,0.014536807158765,en,skins
gay,0.0143276370705903,en,skins
totally,0.0141438214690633,en,skins
problem,0.0140202267007131,en,skins
place,0.0140202267007131,en,skins
lad,0.0137838852572779,en,skins
sex,0.0137550635662381,en,skins
funny,0.0136979829666907,en,skins
change,0.013588835109922,en,skins
drink,0.0134805546656321,en,skins
shut,0.0134805546656321,en,skins
miss,0.0133731393145264,en,skins
turn,0.0133731393145264,en,skins
cheer,0.0132724297568964,en,skins
course,0.0132631263645735,en,skins
hang,0.0132631263645735,en,skins
tone,0.013194752117524,en,skins
sit,0.0129417477237352,en,skins
lose,0.0129417477237352,en,skins
hand,0.0129417477237352,en,skins
pill,0.0128728588899695,en,skins
later,0.0128282697624563,en,skins
care,0.0127260519283396,en,skins
college,0.0126499836393586,en,skins
new,0.012510356132944,en,skins
head,0.012510356132944,en,skins
ball,0.012446825833311,en,skins
nip,0.0122097268677689,en,skins
girlfriend,0.0121107196757758,en,skins
hell,0.0120789645421529,en,skins
house,0.0120789645421529,en,skins
eat,0.0120789645421529,en,skins
sister,0.0119305238602446,en,skins
happy,0.0118632687467573,en,skins
old,0.0118632687467573,en,skins
innit,0.0118388294278541,en,skins
world,0.0116475729513617,en,skins
music,0.0115906675063549,en,skins
money,0.0114318771559661,en,skins
probably,0.0114318771559661,en,skins
watch,0.0114318771559661,en,skins
phone,0.0113582564660654,en,skins
forget,0.0113062716550463,en,skins
bring,0.0112161813605705,en,skins
live,0.0112161813605705,en,skins
manfre,0.0110763383494536,en,skins
beautiful,0.0110467813520784,en,skins
cunt,0.0110065471612245,en,skins
grandad,0.0109199253206419,en,skins
babe,0.0109057841911542,en,skins
hate,0.0108714150529291,en,skins
ready,0.0107847897697793,en,skins
understand,0.0107847897697793,en,skins
lady,0.0106539867518705,en,skins
kiss,0.0105782461443891,en,skins
open,0.0105690939743837,en,skins
hard,0.0105690939743837,en,skins
lara,0.0105120076109254,en,skins
pretty,0.0104365584508119,en,skins
sleep,0.0103533981789882,en,skins
round,0.0103270426867703,en,skins
fun,0.010301217257229,en,skins
karen,0.0101409064104343,en,skins
brother,0.0101377023835926,en,skins
buy,0.0101377023835926,en,skins
anthea,0.0099687045145082,en,skins
arsehole,0.0099687045145082,en,skins
matter,0.009922006588197,en,skins
drug,0.0098883605262768,en,skins
worry,0.0097842735476362,en,skins
door,0.0097063107928014,en,skins
lie,0.0097063107928014,en,skins
mdma,0.0095812490250827,en,skins
sodding,0.009577345618607,en,skins
bed,0.0095668452465776,en,skins
morning,0.0094906149974058,en,skins
easy,0.0094906149974058,en,skins
believe,0.0094906149974058,en,skins
stand,0.0094906149974058,en,skins
bitch,0.0093531722617999,en,skins
blow,0.009349416945519,en,skins
hope,0.0092749192020102,en,skins
late,0.0092749192020102,en,skins
face,0.0091319886444604,en,skins
wank,0.0091258181313969,en,skins
boyfriend,0.0090965312100803,en,skins
malcolm,0.0090067811786697,en,skins
shanky,0.0088610706795629,en,skins
birthday,0.008857148809815,en,skins
mother,0.008843527611219,en,skins
car,0.0088374250816627,en,skins
doug,0.0087715633455404,en,skins
akbar,0.0087066778350972,en,skins
break,0.0086971320423433,en,skins
eye,0.0086278318158235,en,skins
real,0.0086278318158235,en,skins
allahu,0.0086231241225744,en,skins
dress,0.0085996251211967,en,skins
