mot,poids_tfidf,langue,serie
c,0.4281656098149521,fr,traveler
fog,0.3799847554066711,fr,traveler
drexler,0.3352747008796608,fr,traveler
traveler,0.28178644782966616,fr,traveler
burchell,0.2010512796072117,fr,traveler
j,0.15897237988178914,fr,traveler
savoir,0.151553668820639,fr,traveler
tyler,0.15054353327944248,fr,traveler
will,0.14775402952451416,fr,traveler
n,0.13989569429597445,fr,traveler
marlow,0.13662373228105026,fr,traveler
taire,0.12611808803955274,fr,traveler
vouloir,0.11763956111252397,fr,traveler
bien,0.1112806659172524,fr,traveler
oui,0.10704140245373803,fr,traveler
ici,0.09856287552670927,fr,traveler
doherty,0.09392881594322205,fr,traveler
faire,0.08690490100204473,fr,traveler
freed,0.08212240595131844,fr,traveler
taft,0.0811203410418736,fr,traveler
pre,0.08054600580677317,fr,traveler
tre,0.0763067423432588,fr,traveler
non,0.0752469264773802,fr,traveler
attentat,0.07436399384676552,fr,traveler
jay,0.07388317674906818,fr,traveler
aller,0.073127294745623,fr,traveler
venir,0.07206747887974442,fr,traveler
croire,0.06888803128210863,fr,traveler
t,0.06888803128210863,fr,traveler
appeler,0.06040950435507988,fr,traveler
voir,0.06040950435507988,fr,traveler
borje,0.05977200204538726,fr,traveler
bon,0.057230056757444095,fr,traveler
fbi,0.05574395202743147,fr,traveler
agent,0.05514856740244107,fr,traveler
ami,0.05511042502568691,fr,traveler
holloway,0.05337956386835698,fr,traveler
devoir,0.052990793293929715,fr,traveler
avoir,0.051930977428051125,fr,traveler
falloir,0.05087116156217253,fr,traveler
haven,0.05057267877329215,fr,traveler
homme,0.04981134569629393,fr,traveler
ellington,0.04908990803601213,fr,traveler
chose,0.04875152983041534,fr,traveler
trouver,0.04875152983041534,fr,traveler
aider,0.047691713964536746,fr,traveler
dire,0.047691713964536746,fr,traveler
passer,0.04557208223277956,fr,traveler
partir,0.04557208223277956,fr,traveler
prendre,0.04133281876926518,fr,traveler
type,0.040498980492792686,fr,traveler
heure,0.04027300290338658,fr,traveler
Monsieur,0.039850813883780416,fr,traveler
temps,0.03921318703750799,fr,traveler
chamber,0.038759918756677725,fr,traveler
shear,0.03803672857433735,fr,traveler
suspect,0.038007240173924095,fr,traveler
mayer,0.037098202225792166,fr,traveler
sortir,0.0370935553057508,fr,traveler
voiture,0.03559614371190873,fr,traveler
insurance,0.03502870009190486,fr,traveler
pouvoir,0.034973923573993614,fr,traveler
nom,0.03391410770811502,fr,traveler
harbor,0.03352649960964653,fr,traveler
ville,0.03338851974046467,fr,traveler
arriver,0.03285429184223643,fr,traveler
jamais,0.03285429184223643,fr,traveler
choix,0.03205192253257436,fr,traveler
dsol,0.03179447597635783,fr,traveler
muse,0.031312031393337096,fr,traveler
tuer,0.030734660110479237,fr,traveler
attend,0.02991512769706941,fr,traveler
deer,0.029824884264146357,fr,traveler
trouv,0.02967484424460064,fr,traveler
l,0.028615028378722047,fr,traveler
question,0.028615028378722047,fr,traveler
preuve,0.027778332861564448,fr,traveler
mourir,0.027555212512843454,fr,traveler
explosion,0.02704220893060931,fr,traveler
police,0.026913582118482392,fr,traveler
hahn,0.026776313474188438,fr,traveler
mme,0.026495396646964858,fr,traveler
s,0.026495396646964858,fr,traveler
accord,0.026495396646964858,fr,traveler
attendre,0.026495396646964858,fr,traveler
sr,0.026495396646964858,fr,traveler
pays,0.02600141818185938,fr,traveler
affaire,0.025435580781086264,fr,traveler
fils,0.025435580781086264,fr,traveler
chercher,0.025435580781086264,fr,traveler
revenir,0.025435580781086264,fr,traveler
fait,0.02437576491520767,fr,traveler
an,0.023315949049329075,fr,traveler
fois,0.023315949049329075,fr,traveler
raison,0.023315949049329075,fr,traveler
vraiment,0.02225613318345048,fr,traveler
petit,0.02225613318345048,fr,traveler
travailler,0.02225613318345048,fr,traveler
photo,0.022247589819942955,fr,traveler
murden,0.021735273471049914,fr,traveler
investing,0.021735273471049914,fr,traveler
sellar,0.021735273471049914,fr,traveler
daniel,0.02165545308517881,fr,traveler
fuir,0.021479432411101226,fr,traveler
coup,0.021367948355049574,fr,traveler
vie,0.021196317317571888,fr,traveler
cas,0.021196317317571888,fr,traveler
toile,0.02017531232925212,fr,traveler
quelqu,0.02013650145169329,fr,traveler
finir,0.02013650145169329,fr,traveler
confiance,0.02013650145169329,fr,traveler
entendre,0.02013650145169329,fr,traveler
penser,0.02013650145169329,fr,traveler
chance,0.02013650145169329,fr,traveler
arrte,0.02013650145169329,fr,traveler
avocat,0.02002283083794866,fr,traveler
ordre,0.01986184519409151,fr,traveler
plan,0.019386882429947228,fr,traveler
vido,0.019299676583632998,fr,traveler
truc,0.01923115351954462,fr,traveler
minute,0.01923115351954462,fr,traveler
cubs,0.019198866395748044,fr,traveler
jour,0.0190766855858147,fr,traveler
arme,0.0190766855858147,fr,traveler
mort,0.0190766855858147,fr,traveler
mettre,0.0190766855858147,fr,traveler
ok,0.01906378733392503,fr,traveler
terroriste,0.018291424739747528,fr,traveler
nell,0.01813549646140965,fr,traveler
papa,0.018016869719936105,fr,traveler
connaître,0.018016869719936105,fr,traveler
meilleur,0.018016869719936105,fr,traveler
essayer,0.018016869719936105,fr,traveler
bureau,0.01765497350585912,fr,traveler
mentir,0.01737234939927898,fr,traveler
problme,0.01695705385405751,fr,traveler
appel,0.01695705385405751,fr,traveler
pass,0.01695705385405751,fr,traveler
coute,0.01695705385405751,fr,traveler
fille,0.01695705385405751,fr,traveler
trs,0.01695705385405751,fr,traveler
parler,0.01695705385405751,fr,traveler
bateau,0.016750465608331464,fr,traveler
queen,0.01670383386273747,fr,traveler
joseph,0.016525331965947892,fr,traveler
vrit,0.016286577561824046,fr,traveler
vendre,0.016155735358289357,fr,traveler
suite,0.01602596126628718,fr,traveler
hier,0.01602596126628718,fr,traveler
ide,0.015897237988178915,fr,traveler
mieux,0.015897237988178915,fr,traveler
aimer,0.015897237988178915,fr,traveler
main,0.015897237988178915,fr,traveler
air,0.015897237988178915,fr,traveler
nouveau,0.015897237988178915,fr,traveler
dernire,0.015897237988178915,fr,traveler
semaine,0.015897237988178915,fr,traveler
lyse,0.015858406436278352,fr,traveler
flic,0.015826950197653532,fr,traveler
nsa,0.015598279208294565,fr,traveler
enregistrement,0.015524285769378152,fr,traveler
ouai,0.015200805724369108,fr,traveler
scurit,0.0150786863344034,fr,traveler
tolman,0.015012300039387798,fr,traveler
ensembl,0.014957563848534704,fr,traveler
courant,0.014957563848534704,fr,traveler
eddie,0.014920838576287865,fr,traveler
vivre,0.01483742212230032,fr,traveler
besoin,0.01483742212230032,fr,traveler
apr,0.01483742212230032,fr,traveler
arrter,0.01483742212230032,fr,traveler
sang,0.01483742212230032,fr,traveler
être,0.01483742212230032,fr,traveler
perdre,0.01483742212230032,fr,traveler
arriv,0.01483742212230032,fr,traveler
rappeler,0.01483742212230032,fr,traveler
fallbrook,0.0140976299652481,fr,traveler
boulot,0.014001637310517442,fr,traveler
soir,0.013889166430782224,fr,traveler
suivre,0.013889166430782224,fr,traveler
nord,0.013787141850610267,fr,traveler
veux,0.013777606256421727,fr,traveler
mal,0.013777606256421727,fr,traveler
dernier,0.013777606256421727,fr,traveler
genre,0.013777606256421727,fr,traveler
mois,0.013777606256421727,fr,traveler
donne,0.013777606256421727,fr,traveler
vien,0.013777606256421727,fr,traveler
mtro,0.013697814383486011,fr,traveler
chicago,0.013572204279730453,fr,traveler
fr,0.013326432667802344,fr,traveler
prsident,0.012877943189276663,fr,traveler
train,0.012820769013029747,fr,traveler
servir,0.012820769013029747,fr,traveler
retourner,0.012820769013029747,fr,traveler
quitter,0.012820769013029747,fr,traveler
maine,0.01281891899519319,fr,traveler
part,0.012717790390543132,fr,traveler
laisse,0.012717790390543132,fr,traveler
travail,0.012717790390543132,fr,traveler
empreinte,0.012668071803330945,fr,traveler
couler,0.012668071803330945,fr,traveler
fondation,0.012629174737472541,fr,traveler
pige,0.0125363963444771,fr,traveler
hampton,0.012476924251883494,fr,traveler
indice,0.012462275848567454,fr,traveler
innocent,0.012435460869584919,fr,traveler
info,0.012335391804304428,fr,traveler
chambers,0.012318360892697763,fr,traveler
mlle,0.01226040005610455,fr,traveler
titre,0.012236174400968625,fr,traveler
york,0.012194283159831683,fr,traveler
arodrome,0.012191454403507829,fr,traveler
manhattan,0.012155669571563757,fr,traveler
numro,0.012040237443803233,fr,traveler
franklin,0.012008493358077235,fr,traveler
swat,0.01200206231410869,fr,traveler
massachusett,0.0119740086146874,fr,traveler
arrtez,0.01184753926274553,fr,traveler
bouger,0.01184753926274553,fr,traveler
tai,0.011752371595277268,fr,traveler
continuer,0.011752371595277268,fr,traveler
chang,0.011752371595277268,fr,traveler
chimie,0.011660628584327051,fr,traveler
monde,0.011657974524664537,fr,traveler
place,0.011657974524664537,fr,traveler
bonjour,0.011657974524664537,fr,traveler
assurer,0.011657974524664537,fr,traveler
donn,0.011657974524664537,fr,traveler
unit,0.011495239203768638,fr,traveler
contacter,0.011308206882021388,fr,traveler
new,0.011290389650456837,fr,traveler
correspondent,0.011201099500359727,fr,traveler
procdure,0.011124771559578731,fr,traveler
bibliothque,0.01110197018682463,fr,traveler
yal,0.011035925921199098,fr,traveler
action,0.011034358441161948,fr,traveler
voyage,0.011034358441161948,fr,traveler
maya,0.011028044310482224,fr,traveler
btiment,0.010944797488300935,fr,traveler
enqute,0.010944797488300935,fr,traveler
butchell,0.010867636735524957,fr,traveler
palmitate,0.010867636735524957,fr,traveler
laiss,0.010770490238859572,fr,traveler
coutez,0.010770490238859572,fr,traveler
route,0.010770490238859572,fr,traveler
pigs,0.010766545471350236,fr,traveler
endroit,0.010683974177524787,fr,traveler
emmnagerer,0.01060464976330913,fr,traveler
famille,0.010598158658785944,fr,traveler
attention,0.010598158658785944,fr,traveler
sai,0.010598158658785944,fr,traveler
beaucoup,0.010598158658785944,fr,traveler
tr,0.010598158658785944,fr,traveler
aujourd,0.010598158658785944,fr,traveler
aide,0.010598158658785944,fr,traveler
piste,0.010424395194087457,fr,traveler
three,0.010350158168688242,fr,traveler
carton,0.010308037634253624,fr,traveler
gouvernement,0.010051739450685679,fr,traveler
prcdemmer,0.010047705271819397,fr,traveler
hometown,0.010008200026258532,fr,traveler
cl,0.009930922597045755,fr,traveler
oti,0.009895176535155249,fr,traveler
rue,0.009851103363111735,fr,traveler
casier,0.009796199455412867,fr,traveler
prie,0.009771946537094425,fr,traveler
fdral,0.009727978556827504,fr,traveler
ferme,0.009693441214973614,fr,traveler
matin,0.00961557675977231,fr,traveler
erreur,0.00961557675977231,fr,traveler
rponse,0.00961557675977231,fr,traveler
coin,0.00961557675977231,fr,traveler
cherche,0.00961557675977231,fr,traveler
qu,0.00961557675977231,fr,traveler
dsole,0.00961557675977231,fr,traveler
plat,0.00961557675977231,fr,traveler
continent,0.009606957287688732,fr,traveler
bombe,0.009571694633332265,fr,traveler
htel,0.009571694633332265,fr,traveler
essay,0.00953834279290735,fr,traveler
trop,0.00953834279290735,fr,traveler
demand,0.00953834279290735,fr,traveler
apprendre,0.00953834279290735,fr,traveler
carte,0.00953834279290735,fr,traveler
vieux,0.00953834279290735,fr,traveler
montrer,0.00953834279290735,fr,traveler
m,0.00953834279290735,fr,traveler
grand,0.00953834279290735,fr,traveler
parl,0.00953834279290735,fr,traveler
prend,0.00953834279290735,fr,traveler
yale,0.009497226880977589,fr,traveler
appartement,0.009417535351389606,fr,traveler
