mot,poids_tfidf,langue,serie
peyton,0.176234367898785,en,onetreehill
haley,0.1753467665794587,en,onetreehill
brooke,0.1063920388351158,en,onetreehill
love,0.0966840656510191,en,onetreehill
talk,0.0674309380950697,en,onetreehill
mom,0.0586583548697169,en,onetreehill
great,0.0569637173123383,en,onetreehill
little,0.0557517233269694,en,onetreehill
night,0.0522810132779585,en,onetreehill
life,0.0513995631067811,en,onetreehill
work,0.0485899406861532,en,onetreehill
girl,0.0466617684367027,en,onetreehill
sure,0.0438521460160747,en,onetreehill
play,0.0431910583876917,en,onetreehill
help,0.0430808771162945,en,onetreehill
deb,0.0427573475006239,en,onetreehill
raven,0.0427292161008365,en,onetreehill
friend,0.0424748801236101,en,onetreehill
happen,0.0392245326173935,en,onetreehill
guess,0.0391143513459963,en,onetreehill
bad,0.0387838075318048,en,onetreehill
game,0.0375403980049579,en,onetreehill
like,0.0359190944754783,en,onetreehill
home,0.0357538225683825,en,onetreehill
school,0.0357195162190037,en,onetreehill
tonight,0.0357147382784135,en,onetreehill
actually,0.034762191125808,en,onetreehill
miss,0.0342663754045207,en,onetreehill
nate,0.033450070101065,en,onetreehill
nice,0.0320627499765773,en,onetreehill
dad,0.031852172539839,en,onetreehill
fine,0.0315428196254676,en,onetreehill
hear,0.0307405747198112,en,onetreehill
away,0.0304100309056197,en,onetreehill
kid,0.0303023384037993,en,onetreehill
win,0.0301896683628253,en,onetreehill
jamie,0.0297849186202807,en,onetreehill
believe,0.0295285807344423,en,onetreehill
big,0.029265961166587,en,onetreehill
pretty,0.0287661629682961,en,onetreehill
boy,0.0286471305632649,en,onetreehill
long,0.0285920399275663,en,onetreehill
start,0.0278207710277861,en,onetreehill
ill,0.0272399809622548,en,onetreehill
stop,0.0268291395852115,en,onetreehill
baby,0.0268140433156113,en,onetreehill
mouth,0.0263188513051809,en,onetreehill
son,0.0262671719768418,en,onetreehill
lose,0.0262231425925271,en,onetreehill
heart,0.0261005725774115,en,onetreehill
stay,0.0257273268712398,en,onetreehill
basketball,0.0250568616342413,en,onetreehill
lindsey,0.0243077975362241,en,onetreehill
wrong,0.0239093358931865,en,onetreehill
remember,0.0231380669934062,en,onetreehill
new,0.0230278857220091,en,onetreehill
coach,0.0228488364901973,en,onetreehill
today,0.0224769793650232,en,onetreehill
hale,0.0220527802015825,en,onetreehill
hard,0.0220362542794345,en,onetreehill
hell,0.0220362542794345,en,onetreehill
change,0.0219811636437359,en,onetreehill
team,0.0219610458603143,en,onetreehill
happy,0.0214853479224487,en,onetreehill
hope,0.0214302572867501,en,onetreehill
place,0.0213751666510515,en,onetreehill
sleep,0.0213200760153529,en,onetreehill
sawyer,0.0210246484378452,en,onetreehill
break,0.0205472592630686,en,onetreehill
run,0.0204937164798741,en,onetreehill
millicent,0.0204586233407248,en,onetreehill
millie,0.0198643363647842,en,onetreehill
high,0.0195927247608851,en,onetreehill
second,0.0193919037659024,en,onetreehill
date,0.0191448910520649,en,onetreehill
old,0.0191164505874094,en,onetreehill
point,0.0191164505874094,en,onetreehill
meet,0.0190062693160123,en,onetreehill
lie,0.0190062693160123,en,onetreehill
care,0.0187859067732179,en,onetreehill
car,0.0185086908686148,en,onetreehill
live,0.0179044566020405,en,onetreehill
probably,0.0177391846949448,en,onetreehill
ready,0.0176840940592462,en,onetreehill
promise,0.0176622568349892,en,onetreehill
matter,0.0176290034235476,en,onetreehill
karen,0.0175674870231478,en,onetreehill
house,0.0173535502450547,en,onetreehill
dream,0.0171856185759764,en,onetreehill
deal,0.0171597381413195,en,onetreehill
world,0.0170780970665617,en,onetreehill
