mot,poids_tfidf,langue,serie
blair,0.2559687712222428,fr,gossipgirl
serener,0.2027869593460203,fr,gossipgirl
taire,0.1563851611014246,fr,gossipgirl
chuck,0.1361886322452504,fr,gossipgirl
tre,0.1288376394981926,fr,gossipgirl
humphrey,0.0967092792888026,fr,gossipgirl
jenny,0.0962387044307284,fr,gossipgirl
mme,0.0787223405815437,fr,gossipgirl
ici,0.0773449645013821,fr,gossipgirl
rufu,0.0745031572831213,fr,gossipgirl
dan,0.0713661227624753,fr,gossipgirl
ouai,0.0708811119015968,fr,gossipgirl
nate,0.065152474522002,fr,gossipgirl
woodsen,0.064101160529596,fr,gossipgirl
bass,0.0636170390350018,fr,gossipgirl
nat,0.0609500957817846,fr,gossipgirl
soir,0.0586386470872903,fr,gossipgirl
pre,0.0550950432064639,fr,gossipgirl
serena,0.053903532718349,fr,gossipgirl
besoin,0.053611715120136,fr,gossipgirl
fille,0.0535057631139698,fr,gossipgirl
vanesser,0.0530193469963536,fr,gossipgirl
heure,0.0479962587933234,fr,gossipgirl
petit,0.0466188827131618,fr,gossipgirl
aimer,0.0460891226823304,fr,gossipgirl
dorota,0.0450243299110627,fr,gossipgirl
veux,0.0437581785466723,fr,gossipgirl
dsole,0.043258018343083,fr,gossipgirl
bart,0.0426581808032217,fr,gossipgirl
eleanor,0.0417124500655013,fr,gossipgirl
ami,0.0414272344110142,fr,gossipgirl
accord,0.0404736663555177,fr,gossipgirl
archibald,0.0388415298176648,fr,gossipgirl
sortir,0.037507010182862,fr,gossipgirl
dsol,0.0354939220657027,fr,gossipgirl
appeler,0.0349641620348713,fr,gossipgirl
apr,0.034858210028705,fr,gossipgirl
famille,0.0335867859547097,fr,gossipgirl
pass,0.0333748819423772,fr,gossipgirl
quelqu,0.0326332178992132,fr,gossipgirl
attend,0.0324702162377709,fr,gossipgirl
tai,0.0312953070975884,fr,gossipgirl
yal,0.0311126248577268,fr,gossipgirl
papa,0.0304082257697214,fr,gossipgirl
georgina,0.0303380186240076,fr,gossipgirl
plat,0.0302272078792407,fr,gossipgirl
nouveau,0.0300903697512226,fr,gossipgirl
fte,0.0283503861348435,fr,gossipgirl
mieux,0.027971329627897,fr,gossipgirl
raison,0.0278653776217308,fr,gossipgirl
meilleur,0.0277594256155645,fr,gossipgirl
amie,0.0273494096073834,fr,gossipgirl
dieu,0.0273356175908994,fr,gossipgirl
sai,0.0270177615724005,fr,gossipgirl
grand,0.026805857560068,fr,gossipgirl
poppy,0.0262718351498702,fr,gossipgirl
finir,0.0261701455230703,fr,gossipgirl
upper,0.0261508351099143,fr,gossipgirl
salut,0.0257463374984052,fr,gossipgirl
attendre,0.0252165774675738,fr,gossipgirl
soire,0.0246379438572706,fr,gossipgirl
eric,0.024586946300976,fr,gossipgirl
vanessa,0.0243694120384045,fr,gossipgirl
lily,0.0241789814953801,fr,gossipgirl
trs,0.0239451533935785,fr,gossipgirl
mec,0.0238275618876506,fr,gossipgirl
bilt,0.0228156673071443,fr,gossipgirl
cole,0.0227606399646515,fr,gossipgirl
arcadya,0.0227525538138651,fr,gossipgirl
problme,0.0226737293195832,fr,gossipgirl
revenir,0.0225677773134169,fr,gossipgirl
perdre,0.0219320652764193,fr,gossipgirl
essayer,0.0215082572517542,fr,gossipgirl
vien,0.021084449227089,fr,gossipgirl
tard,0.0207211248359459,fr,gossipgirl
mal,0.0206606412024239,fr,gossipgirl
aime,0.0205546891962577,fr,gossipgirl
tripp,0.0205227773044757,fr,gossipgirl
laisse,0.0204487371900914,fr,gossipgirl
chance,0.0204487371900914,fr,gossipgirl
vrai,0.0200249291654263,fr,gossipgirl
appel,0.0200249291654263,fr,gossipgirl
regarder,0.01991897715926,fr,gossipgirl
aider,0.0196011211407612,fr,gossipgirl
point,0.0192832651222623,fr,gossipgirl
brooklyn,0.019194659439529,fr,gossipgirl
maison,0.0191773131160961,fr,gossipgirl
baizen,0.0190130560892869,fr,gossipgirl
pense,0.0188594570975972,fr,gossipgirl
demain,0.0186917363210852,fr,gossipgirl
robe,0.0185399822302658,fr,gossipgirl
east,0.0183585896186883,fr,gossipgirl
anne,0.0183296970667658,fr,gossipgirl
parent,0.0182741676639269,fr,gossipgirl
manhattan,0.0182284152209854,fr,gossipgirl
side,0.0178402800431021,fr,gossipgirl
important,0.0177999370359345,fr,gossipgirl
argent,0.0176939850297682,fr,gossipgirl
ensembl,0.0175168271809027,fr,gossipgirl
doi,0.0170895874935636,fr,gossipgirl
nuit,0.0170582729927705,fr,gossipgirl
partie,0.0169523209866042,fr,gossipgirl
gnial,0.0167675435505689,fr,gossipgirl
bonjour,0.0167404169742717,fr,gossipgirl
waldorf,0.0166463699218563,fr,gossipgirl
content,0.0165285129619391,fr,gossipgirl
rentrer,0.0164225609557729,fr,gossipgirl
enfant,0.0164225609557729,fr,gossipgirl
devrai,0.0163665758280404,fr,gossipgirl
nathaniel,0.0162503297165611,fr,gossipgirl
semaine,0.0159987529311078,fr,gossipgirl
devenir,0.0158928009249415,fr,gossipgirl
aide,0.0158928009249415,fr,gossipgirl
air,0.0157868489187752,fr,gossipgirl
sentir,0.0157868489187752,fr,gossipgirl
nelly,0.015738676410835,fr,gossipgirl
comprend,0.0156808969126089,fr,gossipgirl
parl,0.0156808969126089,fr,gossipgirl
htel,0.0155496625157068,fr,gossipgirl
souvenir,0.0153630408941101,fr,gossipgirl
bal,0.0153105242717193,fr,gossipgirl
hier,0.0152738188223725,fr,gossipgirl
aaron,0.0150046701441519,fr,gossipgirl
heureux,0.0148591280544051,fr,gossipgirl
matin,0.0148465791350334,fr,gossipgirl
dernire,0.0145154248447799,fr,gossipgirl
agne,0.0145122199318747,fr,gossipgirl
all,0.0143125295258595,fr,gossipgirl
minute,0.0142057196040248,fr,gossipgirl
arrte,0.014197568826281,fr,gossipgirl
affaire,0.014197568826281,fr,gossipgirl
mre,0.0141054041675875,fr,gossipgirl
aujourd,0.0140916168201148,fr,gossipgirl
faon,0.0139856648139485,fr,gossipgirl
peur,0.0138797128077822,fr,gossipgirl
photo,0.0137896557958833,fr,gossipgirl
dner,0.0137896557958833,fr,gossipgirl
ide,0.0136678087954497,fr,gossipgirl
mariage,0.0135672419927238,fr,gossipgirl
place,0.0134559047831171,fr,gossipgirl
team,0.0134178115829126,fr,gossipgirl
changer,0.0133512402293466,fr,gossipgirl
plutt,0.0132444303075118,fr,gossipgirl
constance,0.0131677332163671,fr,gossipgirl
jeu,0.0131380487646183,fr,gossipgirl
retrouver,0.0130308104638423,fr,gossipgirl
ville,0.012920980916874,fr,gossipgirl
message,0.0128201927461194,fr,gossipgirl
carter,0.0127315048215398,fr,gossipgirl
demand,0.0126082887337869,fr,gossipgirl
prochain,0.0126035707765032,fr,gossipgirl
vrit,0.0125914379488288,fr,gossipgirl
reine,0.0125833854895465,fr,gossipgirl
apprendre,0.0125023367276206,fr,gossipgirl
nom,0.0125023367276206,fr,gossipgirl
pens,0.0124902815529782,fr,gossipgirl
sre,0.0124828910699596,fr,gossipgirl
film,0.0124319900197237,fr,gossipgirl
coup,0.0123899509328336,fr,gossipgirl
plan,0.0123826067120043,fr,gossipgirl
trouv,0.0122904327152881,fr,gossipgirl
confiance,0.0122904327152881,fr,gossipgirl
lite,0.0121712909548959,fr,gossipgirl
parfaire,0.0119519073481085,fr,gossipgirl
super,0.0119401566756135,fr,gossipgirl
suite,0.0118559013236598,fr,gossipgirl
rencontrer,0.0118316097967443,fr,gossipgirl
commencer,0.0117606726844567,fr,gossipgirl
sider,0.01174474599077,fr,gossipgirl
scandaleux,0.0117172165965589,fr,gossipgirl
damien,0.011673151685192,fr,gossipgirl
chercher,0.0116547206782904,fr,gossipgirl
mauvais,0.0116547206782904,fr,gossipgirl
donne,0.0116547206782904,fr,gossipgirl
adorer,0.0115059691601367,fr,gossipgirl
demande,0.0114428166659579,fr,gossipgirl
queller,0.0114078336535721,fr,gossipgirl
oublier,0.0113218517144859,fr,gossipgirl
revoir,0.0113218517144859,fr,gossipgirl
dernier,0.011124960647459,fr,gossipgirl
propos,0.011124960647459,fr,gossipgirl
coute,0.011124960647459,fr,gossipgirl
amour,0.0110520415212971,fr,gossipgirl
yuki,0.0110059473115931,fr,gossipgirl
parle,0.0110014219489816,fr,gossipgirl
supposer,0.0109828337793429,fr,gossipgirl
voil,0.0109130566351265,fr,gossipgirl
porte,0.0108071046289602,fr,gossipgirl
question,0.0107011526227939,fr,gossipgirl
endroit,0.0106809921834772,fr,gossipgirl
jouer,0.0106809921834772,fr,gossipgirl
ensemble,0.0106598092564211,fr,gossipgirl
audrey,0.0106558491512279,fr,gossipgirl
gabriel,0.0106189723442849,fr,gossipgirl
brown,0.0106062563054519,fr,gossipgirl
travail,0.0105952006166276,fr,gossipgirl
rappeler,0.0105952006166276,fr,gossipgirl
garon,0.0105952006166276,fr,gossipgirl
chambre,0.0105741822616425,fr,gossipgirl
sujet,0.0105521344154471,fr,gossipgirl
excuser,0.0105106824712209,fr,gossipgirl
prend,0.0103832966042951,fr,gossipgirl
choix,0.0103605624179729,fr,gossipgirl
premire,0.0103605624179729,fr,gossipgirl
espr,0.0102537524961382,fr,gossipgirl
mlle,0.0100507220151887,fr,gossipgirl
erreur,0.0100401326524686,fr,gossipgirl
djeuner,0.009957779984535,fr,gossipgirl
asher,0.0098949105821297,fr,gossipgirl
copain,0.0098475502410867,fr,gossipgirl
dfil,0.0098371017119968,fr,gossipgirl
prte,0.0097692190982292,fr,gossipgirl
secret,0.0097692190982292,fr,gossipgirl
donn,0.0097475845672974,fr,gossipgirl
invit,0.0097195558336021,fr,gossipgirl
retard,0.0097075252134872,fr,gossipgirl
marche,0.0096416325611311,fr,gossipgirl
pire,0.0096128929651295,fr,gossipgirl
brunch,0.0096076416448292,fr,gossipgirl
anniversaire,0.0095637935358545,fr,gossipgirl
propre,0.0095356805549649,fr,gossipgirl
fin,0.0095356805549649,fr,gossipgirl
choisir,0.0095060830432947,fr,gossipgirl
yale,0.0094945761188589,fr,gossipgirl
compte,0.0094297285487986,fr,gossipgirl
arrter,0.0094297285487986,fr,gossipgirl
tte,0.0094297285487986,fr,gossipgirl
second,0.0094297285487986,fr,gossipgirl
fait,0.0094297285487986,fr,gossipgirl
signifier,0.0093765868539365,fr,gossipgirl
porter,0.0093350315827524,fr,gossipgirl
arriv,0.0093237765426323,fr,gossipgirl
holland,0.0093176749589292,fr,gossipgirl
jeune,0.0092924631996252,fr,gossipgirl
mot,0.009217824536466,fr,gossipgirl
dur,0.0091856532777904,fr,gossipgirl
fou,0.0091856532777904,fr,gossipgirl
mari,0.0091856532777904,fr,gossipgirl
espre,0.0091523614827858,fr,gossipgirl
mentir,0.0091179378250139,fr,gossipgirl
vite,0.0091118725302998,fr,gossipgirl
essay,0.0091118725302998,fr,gossipgirl
valoir,0.0091118725302998,fr,gossipgirl
fils,0.0091118725302998,fr,gossipgirl
ann,0.0090319542307691,fr,gossipgirl
garder,0.0088999685179672,fr,gossipgirl
occuper,0.0088999685179672,fr,gossipgirl
maureen,0.0088229174470023,fr,gossipgirl
moyen,0.0087940165118009,fr,gossipgirl
main,0.0087940165118009,fr,gossipgirl
bel,0.0087216621188899,fr,gossipgirl
cyru,0.0087185476151951,fr,gossipgirl
tisch,0.008691682783674,fr,gossipgirl
conwell,0.008691682783674,fr,gossipgirl
lifton,0.008691682783674,fr,gossipgirl
mourir,0.0086880645056347,fr,gossipgirl
journe,0.0086516036686166,fr,gossipgirl
oubli,0.008613987277916,fr,gossipgirl
tlphone,0.0085893749227182,fr,gossipgirl
compltement,0.0085821124994684,fr,gossipgirl
alison,0.0085288201987689,fr,gossipgirl
club,0.0085217343379639,fr,gossipgirl
nol,0.0085102443191911,fr,gossipgirl
frre,0.0084761604933021,fr,gossipgirl
mois,0.0084761604933021,fr,gossipgirl
unique,0.0084529828057198,fr,gossipgirl
expliquer,0.008437983824947,fr,gossipgirl
vieux,0.0083702084871358,fr,gossipgirl
envoyer,0.0083702084871358,fr,gossipgirl
gros,0.0083702084871358,fr,gossipgirl
simplement,0.0083311739031122,fr,gossipgirl
esprer,0.0083311739031122,fr,gossipgirl
sac,0.0082909627549941,fr,gossipgirl
agir,0.0082642564809695,fr,gossipgirl
montrer,0.0082642564809695,fr,gossipgirl
jonathan,0.0081976649462449,fr,gossipgirl
mademoisell,0.0081854177506474,fr,gossipgirl
chrie,0.0081583044748033,fr,gossipgirl
girl,0.0081577694373412,fr,gossipgirl
conseil,0.008141015915191,fr,gossipgirl
relation,0.0081181038153183,fr,gossipgirl
continuer,0.0081175540594427,fr,gossipgirl
allai,0.0080975353720395,fr,gossipgirl
rencard,0.0080506869497475,fr,gossipgirl
prt,0.0080107441376079,fr,gossipgirl
titre,0.0080068969137386,fr,gossipgirl
verre,0.0079679382320723,fr,gossipgirl
manger,0.0079679382320723,fr,gossipgirl
loin,0.0079464004624707,fr,gossipgirl
accepter,0.0079039342157732,fr,gossipgirl
thanksgiving,0.0078938382873567,fr,gossipgirl
beau,0.0077971242939384,fr,gossipgirl
pisode,0.0077851665744901,fr,gossipgirl
excus,0.0077692569110108,fr,gossipgirl
entrer,0.0077344964501382,fr,gossipgirl
mort,0.0077344964501382,fr,gossipgirl
global,0.0077229919859605,fr,gossipgirl
