mot,poids_tfidf,langue,serie
s,0.46629342532493817,en,smallville
lana,0.3176838033808315,en,smallville
lex,0.29726986184566295,en,smallville
know,0.2734012943749411,en,smallville
t,0.2536479741444284,en,smallville
clark,0.2094831383370025,en,smallville
think,0.17931412053912033,en,smallville
go,0.17866206919170535,en,smallville
chloe,0.17622766468371726,en,smallville
m,0.16485392301115276,en,smallville
want,0.13754447834294878,en,smallville
come,0.11729253061147166,en,smallville
smallville,0.11398283160789782,en,smallville
get,0.11134735656151151,en,smallville
right,0.1105035254060333,en,smallville
look,0.10747340443863426,en,smallville
tell,0.10440492750962257,en,smallville
find,0.08844884747876182,en,smallville
time,0.08488174304878573,en,smallville
need,0.08154477438848552,en,smallville
luthor,0.07581817648058974,en,smallville
let,0.07429549764369542,en,smallville
lois,0.07191485227406433,en,smallville
good,0.0696160703269526,en,smallville
thing,0.06624074570503975,en,smallville
help,0.06298048896796483,en,smallville
happen,0.06010379184701638,en,smallville
metropolis,0.05973595751868054,en,smallville
way,0.05929831665315081,en,smallville
mean,0.05665175530187823,en,smallville
life,0.05492573702930916,en,smallville
say,0.05481066914447122,en,smallville
meteor,0.05479111105027046,en,smallville
try,0.05358327837286655,en,smallville
thank,0.05158876836900895,en,smallville
people,0.050821649136756034,en,smallville
talk,0.04986275009643988,en,smallville
dad,0.04860135059978014,en,smallville
lionel,0.04606236822829959,en,smallville
see,0.04541345854937293,en,smallville
sorry,0.04487647508679589,en,smallville
sure,0.04460798335550737,en,smallville
maybe,0.04418606777776826,en,smallville
little,0.04357237239196592,en,smallville
guy,0.04206647909074256,en,smallville
d,0.04176964219617156,en,smallville
day,0.0403888275781163,en,smallville
friend,0.04015869180844043,en,smallville
work,0.03981348815392661,en,smallville
father,0.039481289621152584,en,smallville
man,0.038240893727808124,en,smallville
feel,0.03758884238039314,en,smallville
leave,0.037013502956203446,en,smallville
believe,0.036783367186527575,en,smallville
take,0.03609295987749994,en,smallville
kill,0.03547926449169761,en,smallville
son,0.035145615343276655,en,smallville
guess,0.032986126986875614,en,smallville
stop,0.03183544813849623,en,smallville
love,0.03168202429204565,en,smallville
mom,0.031538165489259126,en,smallville
hear,0.03149024448398242,en,smallville
kryptonian,0.03138431876613449,en,smallville
save,0.031221752752693892,en,smallville
okay,0.031037648359980994,en,smallville
wait,0.030723125251729495,en,smallville
well,0.02918888678722365,en,smallville
win,0.02918888678722365,en,smallville
away,0.02911217486399836,en,smallville
lot,0.028076563900456916,en,smallville
night,0.027923140054006333,en,smallville
ask,0.027923140054006333,en,smallville
kind,0.027693004284330455,en,smallville
year,0.027424512553041933,en,smallville
kent,0.0268819096359921,en,smallville
world,0.02619712178143726,en,smallville
start,0.026043697934986676,en,smallville
whitney,0.025821420547893135,en,smallville
run,0.025545070434022276,en,smallville
long,0.025238222741121107,en,smallville
pete,0.025015231924569423,en,smallville
secret,0.02498975796019713,en,smallville
trust,0.0248609798302826,en,smallville
understand,0.024394391585642893,en,smallville
great,0.02404918793112908,en,smallville
remember,0.023588916391777327,en,smallville
stay,0.023282068698876158,en,smallville
