mot,poids_tfidf,langue,serie
connor,0.2005302912340615,en,primeval
cutter,0.1311462447681516,en,primeval
leek,0.1131308780730815,en,primeval
help,0.074710573393958,en,primeval
lester,0.0710777980021048,en,primeval
happen,0.0680057783457822,en,primeval
work,0.0665690365497446,en,primeval
stay,0.0617798972296191,en,primeval
anomaly,0.0591284927022214,en,primeval
sprat,0.059023267373492,en,primeval
creature,0.0569398922610898,en,primeval
claudia,0.0559942503617133,en,primeval
arc,0.0549866315234032,en,primeval
raptor,0.0523441376159034,en,primeval
jenny,0.0515508703154143,en,primeval
becker,0.0480361270380031,en,primeval
kill,0.0478913932012551,en,primeval
stop,0.0450179096091798,en,primeval
danny,0.0445863397182825,en,primeval
caroline,0.0436087832215991,en,primeval
valerie,0.042557749910972,en,primeval
fine,0.0424829372829565,en,primeval
place,0.0359185449009413,en,primeval
rex,0.0358641042968873,en,primeval
sure,0.0354396309689287,en,primeval
long,0.0354396309689287,en,primeval
nick,0.0346323521569408,en,primeval
talk,0.0344818031049036,en,primeval
little,0.0335239752408785,en,primeval
run,0.033045061308866,en,primeval
job,0.0311294055808158,en,primeval
idea,0.0311294055808158,en,primeval
close,0.0306504916488032,en,primeval
win,0.0306504916488032,en,primeval
stephen,0.0301510991323091,en,primeval
wrong,0.0292137498527656,en,primeval
dead,0.028734835920753,en,primeval
bad,0.028734835920753,en,primeval
artefact,0.0283924159017024,en,primeval
detector,0.0282186621624603,en,primeval
open,0.0277770080567279,en,primeval
predator,0.0274039258556652,en,primeval
shoot,0.0272980941247154,en,primeval
fog,0.0269549783312131,en,primeval
die,0.0268191801927028,en,primeval
mammoth,0.0258191155098327,en,primeval
big,0.0255863144999624,en,primeval
evarin,0.0255281395862814,en,primeval
silurian,0.0255281395862814,en,primeval
bit,0.0253824383966652,en,primeval
new,0.0244246105326401,en,primeval
suppose,0.0239456966006275,en,primeval
hear,0.0239456966006275,en,primeval
canal,0.0236513970808885,en,primeval
away,0.023466782668615,en,primeval
