mot,poids_tfidf,langue,serie
c,0.48950950126985016,fr,moonlight
vampire,0.2780801058840768,fr,moonlight
coraline,0.2532290242365729,fr,moonlight
j,0.24255964076375983,fr,moonlight
taire,0.2282914266011857,fr,moonlight
mick,0.2010679258373665,fr,moonlight
savoir,0.1898770038557939,fr,moonlight
vouloir,0.17945023196775897,fr,moonlight
n,0.17835267703217633,fr,moonlight
josef,0.14245323826223208,fr,moonlight
beth,0.14010210386373456,fr,moonlight
non,0.13884069935120188,fr,moonlight
bien,0.1256700401242104,fr,moonlight
buzzwire,0.10691892134433079,fr,moonlight
tre,0.10371894141255793,fr,moonlight
faire,0.09658483433127088,fr,moonlight
devoir,0.09548727939568825,fr,moonlight
croire,0.08999950471777514,fr,moonlight
sang,0.08506050750765333,fr,moonlight
oui,0.08231662016869677,fr,moonlight
chose,0.08231662016869677,fr,moonlight
ici,0.08067028776532284,fr,moonlight
aller,0.07902395536194891,fr,moonlight
tierney,0.07737667542468875,fr,moonlight
voir,0.07079229334507922,fr,moonlight
leni,0.07034139562127026,fr,moonlight
an,0.06146307639262692,fr,moonlight
dire,0.060365521457044304,fr,moonlight
dominic,0.06021018580275677,fr,moonlight
humain,0.05959506429991961,fr,moonlight
pouvoir,0.058719189053670365,fr,moonlight
avoir,0.058719189053670365,fr,moonlight
bon,0.058719189053670365,fr,moonlight
prendre,0.05597530171471381,fr,moonlight
mme,0.05597530171471381,fr,moonlight
accord,0.055426524246922494,fr,moonlight
venir,0.05487774677913118,fr,moonlight
haggan,0.05345946067216539,fr,moonlight
moonlight,0.05305829171978657,fr,moonlight
mourir,0.051036304504592,fr,moonlight
jamais,0.051036304504592,fr,moonlight
vraiment,0.051036304504592,fr,moonlight
ouai,0.049475147720687986,fr,moonlight
kostan,0.04783214902246377,fr,moonlight
femme,0.04664608476226151,fr,moonlight
t,0.046097307294470195,fr,moonlight
tuer,0.04499975235888757,fr,moonlight
josh,0.044923682635775376,fr,moonlight
mort,0.04335341995551363,fr,moonlight
maureen,0.04265167383112978,fr,moonlight
police,0.04238859071881111,fr,moonlight
heure,0.0417070875521397,fr,moonlight
ami,0.041158310084348386,fr,moonlight
dmbmh,0.03979371878983993,fr,moonlight
st,0.03880339138025103,fr,moonlight
vie,0.03841442274539183,fr,moonlight
quelqu,0.03841442274539183,fr,moonlight
john,0.037963102047070596,fr,moonlight
penser,0.03676809034201789,fr,moonlight
type,0.03627339415868407,fr,moonlight
appeler,0.036219312874226584,fr,moonlight
trouver,0.036219312874226584,fr,moonlight
sr,0.03567053540643527,fr,moonlight
temps,0.03567053540643527,fr,moonlight
fille,0.03567053540643527,fr,moonlight
beaucoup,0.034572980470852645,fr,moonlight
connaître,0.03347542553527002,fr,moonlight
salut,0.032926648067478706,fr,moonlight
morgan,0.03282194742066373,fr,moonlight
aimer,0.0323778705996874,fr,moonlight
m,0.0323778705996874,fr,moonlight
fois,0.0323778705996874,fr,moonlight
petit,0.03182909313189609,fr,moonlight
apr,0.031280315664104774,fr,moonlight
sriessub,0.03109374851454577,fr,moonlight
nuit,0.03073153819631346,fr,moonlight
besoin,0.03073153819631346,fr,moonlight
photo,0.02937575272955853,fr,moonlight
pass,0.029085205792939526,fr,moonlight
shepherd,0.02903468160567353,fr,moonlight
turner,0.028730748215854293,fr,moonlight
procureur,0.02872508540396806,fr,moonlight
jay,0.028055165901629556,fr,moonlight
passer,0.027987650857356904,fr,moonlight
dieu,0.027987650857356904,fr,moonlight
partir,0.027987650857356904,fr,moonlight
devenir,0.027987650857356904,fr,moonlight
attendre,0.026890095921774278,fr,moonlight
fayed,0.026765994973260796,fr,moonlight
ignorer,0.026554609647309244,fr,moonlight
histoire,0.026341318453982968,fr,moonlight
emma,0.025434523491930205,fr,moonlight
mottola,0.02532290242365729,fr,moonlight
tejader,0.02532290242365729,fr,moonlight
trouv,0.025243763518400342,fr,moonlight
jour,0.025243763518400342,fr,moonlight
fait,0.025243763518400342,fr,moonlight
entendre,0.024694986050609033,fr,moonlight
aider,0.024694986050609033,fr,moonlight
argent,0.024694986050609033,fr,moonlight
nom,0.024694986050609033,fr,moonlight
appel,0.024694986050609033,fr,moonlight
dsol,0.024694986050609033,fr,moonlight
sentir,0.024694986050609033,fr,moonlight
morrow,0.02463466458890474,fr,moonlight
meurtre,0.024568655895519213,fr,moonlight
sortir,0.02414620858281772,fr,moonlight
lee,0.023916276371949555,fr,moonlight
mettre,0.023597431115026407,fr,moonlight
vivre,0.023597431115026407,fr,moonlight
trs,0.023597431115026407,fr,moonlight
bureau,0.023425927714332273,fr,moonlight
simone,0.02322388855805837,fr,moonlight
arriver,0.023048653647235098,fr,moonlight
trop,0.023048653647235098,fr,moonlight
jacob,0.02288443610885637,fr,moonlight
tai,0.022682062407076643,fr,moonlight
tueur,0.02266906335145028,fr,moonlight
loler,0.02253754180284165,fr,moonlight
verdolino,0.02250924659880648,fr,moonlight
s,0.022499876179443785,fr,moonlight
monde,0.022499876179443785,fr,moonlight
mieux,0.022499876179443785,fr,moonlight
veux,0.022499876179443785,fr,moonlight
rester,0.02157562033843876,fr,moonlight
finir,0.021402321243861162,fr,moonlight
