mot,poids_tfidf,langue,serie
brooke,0.2333656754720994,fr,onetreehill
peyton,0.2275336472651205,fr,onetreehill
nathan,0.1798995303946248,fr,onetreehill
taire,0.1533097016605699,fr,onetreehill
haley,0.1422566666663534,fr,onetreehill
tre,0.1408292635572998,fr,onetreehill
luca,0.1379838665736538,fr,onetreehill
ouai,0.1266335023364891,fr,onetreehill
mme,0.0644489823652868,fr,onetreehill
mouth,0.0628535955968333,fr,onetreehill
keith,0.0624250270269655,fr,onetreehill
raven,0.0613388192192163,fr,onetreehill
ici,0.059007511352261,fr,onetreehill
scott,0.0580221937224446,fr,onetreehill
mec,0.0570181497631372,fr,onetreehill
aimer,0.0556128321881715,fr,onetreehill
jamie,0.0531356830342186,fr,onetreehill
besoin,0.0503710481847981,fr,onetreehill
salut,0.0501713611751458,fr,onetreehill
skill,0.0494999409701356,fr,onetreehill
luke,0.0477509943032992,fr,onetreehill
sai,0.0468765255158825,fr,onetreehill
soir,0.0459979451145205,fr,onetreehill
fille,0.0424334895511183,fr,onetreehill
veux,0.0401370889401166,fr,onetreehill
petit,0.0399374019304643,fr,onetreehill
accord,0.0387392798725503,fr,onetreehill
dsole,0.036888942854424,fr,onetreehill
dan,0.0368198171261242,fr,onetreehill
tai,0.0360837271850232,fr,onetreehill
dsol,0.034795461431917,fr,onetreehill
trs,0.0336971828788292,fr,onetreehill
grand,0.0332978088595246,fr,onetreehill
gnial,0.0313937670528121,fr,onetreehill
ecoute,0.0313527612649857,fr,onetreehill
julian,0.0311294947611609,fr,onetreehill
appeler,0.0303524254671528,fr,onetreehill
quelqu,0.0300528949526744,fr,onetreehill
aime,0.0299530514478482,fr,onetreehill
heure,0.0294538339237174,fr,onetreehill
apr,0.029204225161652,fr,onetreehill
point,0.0288547728947604,fr,onetreehill
pre,0.0282057901133904,fr,onetreehill
ami,0.0279062595989119,fr,onetreehill
pass,0.0276067290844334,fr,onetreehill
meilleur,0.0275068855796073,fr,onetreehill
nuit,0.0270575898078895,fr,onetreehill
regarder,0.0270076680554764,fr,onetreehill
sortir,0.0263087635216933,fr,onetreehill
lucer,0.0250618813755109,fr,onetreehill
maison,0.024861032701714,fr,onetreehill
supposer,0.0248086844878629,fr,onetreehill
perdre,0.0243618151775832,fr,onetreehill
karen,0.0243356202232383,fr,onetreehill
jouer,0.0242067960613614,fr,onetreehill
match,0.0235228421942922,fr,onetreehill
chance,0.0234632236341477,fr,onetreehill
dieu,0.0233633801293216,fr,onetreehill
mieux,0.0233633801293216,fr,onetreehill
lindsey,0.0230833117932337,fr,onetreehill
problme,0.0230638496148431,fr,onetreehill
laisse,0.02301392786243,fr,onetreehill
vien,0.0224647885858861,fr,onetreehill
raison,0.0224647885858861,fr,onetreehill
super,0.0221455195927705,fr,onetreehill
davis,0.0221021866633668,fr,onetreehill
hale,0.0219511965462565,fr,onetreehill
mal,0.0219156493093422,fr,onetreehill
voil,0.0217159622996899,fr,onetreehill
papa,0.0207175272514283,fr,onetreehill
aider,0.0206676054990152,fr,onetreehill
nouveau,0.0203680749845368,fr,onetreehill
revenir,0.0202682314797106,fr,onetreehill
basket,0.0202528748180038,fr,onetreehill
nate,0.0202095851201973,fr,onetreehill
