mot,poids_tfidf,langue,serie
phoebe,0.1462677138503909,en,friends
chandler,0.0965698130236912,en,friends
great,0.0779997848572573,en,friends
ross,0.0722471227008578,en,friends
love,0.0719800970275511,en,friends
baby,0.069627195648691,en,friends
talk,0.0668569584490777,en,friends
rach,0.0558077188718963,en,friends
little,0.0525121704293522,en,friends
work,0.047260953386417,en,friends
annd,0.0440661845720029,en,friends
friend,0.0426501286657909,en,friends
sure,0.0416255009500962,en,friends
pheebs,0.0410663824427249,en,friends
big,0.0388612710164133,en,friends
win,0.0385516178030122,en,friends
like,0.0366304408360847,en,friends
tlne,0.036173733603883,en,friends
happen,0.0359900485137755,en,friends
believe,0.0349654207980808,en,friends
wedding,0.0344641271413668,en,friends
marry,0.0331934138262283,en,friends
hear,0.0320196161154586,en,friends
fine,0.0299528733415544,en,friends
night,0.0297142037551456,en,friends
kid,0.0293865230901135,en,friends
bad,0.0293299683617601,en,friends
knnow,0.0289389868831064,en,friends
nice,0.0286895760394509,en,friends
girl,0.0279211052526799,en,friends
donn,0.0279038594359481,en,friends
nnot,0.0272597804506792,en,friends
start,0.0270245560014471,en,friends
meet,0.0267683990725234,en,friends
stuff,0.0265960858118975,en,friends
play,0.0265122421435997,en,friends
stop,0.0261280067502142,en,friends
guess,0.0259999282857524,en,friends
onn,0.0256504656463897,en,friends
date,0.0253781367317658,en,friends
actually,0.0253595359634432,en,friends
sdi,0.0248626145001895,en,friends
help,0.0238225943899012,en,friends
staz,0.0236773529043598,en,friends
sex,0.0234999006861833,en,friends
long,0.0234383589965157,en,friends
fun,0.0231656837859196,en,friends
cann,0.0227478095843598,en,friends
emma,0.0224071280885309,en,friends
life,0.0219014174229737,en,friends
bing,0.0217363011775072,en,friends
kiss,0.0217113782602217,en,friends
wlnat,0.0210465359149864,en,friends
hard,0.0207487112428172,en,friends
room,0.0203644758494317,en,friends
remember,0.0202363973849698,en,friends
new,0.020108318920508,en,friends
miss,0.0199802404560462,en,friends
ready,0.0198521619915843,en,friends
happy,0.0198521619915843,en,friends
party,0.0198096651187819,en,friends
pretty,0.0196242963272253,en,friends
weird,0.0194849079336222,en,friends
place,0.019339848133737,en,friends
old,0.0189556127403515,en,friends
job,0.018571377346966,en,friends
eat,0.018571377346966,en,friends
live,0.018571377346966,en,friends
pick,0.0183152204180423,en,friends
watch,0.0181871419535805,en,friends
wrong,0.0181871419535805,en,friends
today,0.0180590634891186,en,friends
emily,0.0178665240153251,en,friends
subtitle,0.0178466342851196,en,friends
wear,0.0178418175904261,en,friends
sleep,0.017802906560195,en,friends
riglnt,0.0177580146782698,en,friends
witln,0.0177580146782698,en,friends
home,0.0176748280957331,en,friends
break,0.0175585809243595,en,friends
care,0.0175467496312713,en,friends
stay,0.0175467496312713,en,friends
check,0.0175467496312713,en,friends
apartment,0.0174693542116977,en,friends
idea,0.0172905927023476,en,friends
tulsa,0.0171287378335858,en,friends
funny,0.0167839376482848,en,friends
wannt,0.0164426061835832,en,friends
geller,0.0163558682704075,en,friends
honey,0.0162598197239192,en,friends
hour,0.0160098080577293,en,friends
bring,0.0158817295932675,en,friends
nmy,0.0157849019362398,en,friends
tonight,0.0153570263299916,en,friends
mom,0.0151969846433334,en,friends
lnave,0.0151271976888965,en,friends
forget,0.0151055438834563,en,friends
crazy,0.0150967377481273,en,friends
away,0.0149851803420346,en,friends
stupid,0.0149764366707772,en,friends
tlnat,0.0144694934415532,en,friends
game,0.0144600078200607,en,friends
gunther,0.0144203164101099,en,friends
turn,0.0142167095552636,en,friends
probably,0.0142167095552636,en,friends
second,0.0142167095552636,en,friends
hand,0.0139605526263399,en,friends
sound,0.0138324741618781,en,friends
gonnnna,0.0138117891942098,en,friends
week,0.0135763172329544,en,friends
matter,0.0133201603040308,en,friends
totally,0.0132750322487403,en,friends
dinner,0.0132501733575958,en,friends
sit,0.0131920818395689,en,friends
goinng,0.0131540849468665,en,friends
tlninnk,0.0131540849468665,en,friends
beautiful,0.0131189835223721,en,friends
face,0.0130398284805905,en,friends
cool,0.0129877936871484,en,friends
phone,0.0129599105216583,en,friends
problem,0.0129359249106453,en,friends
pregnant,0.0128753676896228,en,friends
lose,0.0128078464461834,en,friends
question,0.0128078464461834,en,friends
tomorrow,0.0127816140552323,en,friends
dad,0.012754140511349,en,friends
nno,0.0127212308769836,en,friends
dude,0.0126690131551077,en,friends
hang,0.0126525068425531,en,friends
picture,0.0126525068425531,en,friends
real,0.0125516895172598,en,friends
tlnere,0.0124963806995232,en,friends
tlnenm,0.0124963806995232,en,friends
die,0.0124236110527979,en,friends
parent,0.0123628381371948,en,friends
doctor,0.0122986905970839,en,friends
person,0.0122955325883361,en,friends
head,0.0121674541238742,en,friends
word,0.0121674541238742,en,friends
bit,0.0121674541238742,en,friends
open,0.0121674541238742,en,friends
plan,0.0121360779918367,en,friends
money,0.0120393756594124,en,friends
change,0.0120393756594124,en,friends
understand,0.0120393756594124,en,friends
hate,0.0120069707791576,en,friends
dress,0.0119597021109819,en,friends
ticket,0.011933175349323,en,friends
hope,0.0119112971949506,en,friends
use,0.0119112971949506,en,friends
boy,0.0119112971949506,en,friends
buffay,0.0118386764521799,en,friends
onne,0.0118386764521799,en,friends
food,0.0116551402660269,en,friends
move,0.0115270618015651,en,friends
abbey,0.0114373017772054,en,friends
engllsh,0.0113785404162232,en,friends
wish,0.011361434715762,en,friends
walk,0.0111428264081796,en,friends
amazing,0.0109762507479351,en,friends
course,0.0109741130777247,en,friends
pay,0.0109741130777247,en,friends
dog,0.0108440067630202,en,friends
lie,0.0107585910147941,en,friends
hot,0.0107575664883451,en,friends
later,0.0107158986523664,en,friends
propose,0.0106381968469848,en,friends
didnn,0.0105232679574932,en,friends
deal,0.0104576842270082,en,friends
worry,0.0104576842270082,en,friends
suppose,0.0103743556214086,en,friends
morning,0.0103743556214086,en,friends
child,0.0103285770143291,en,friends
ass,0.0103150308233606,en,friends
reaiiy,0.0102981392813677,en,friends
wife,0.0102462771569467,en,friends
sweet,0.01019946980165,en,friends
group,0.0101046666116755,en,friends
ring,0.0100505428535309,en,friends
house,0.0099901202280231,en,friends
family,0.0099901202280231,en,friends
kill,0.0099901202280231,en,friends
lady,0.0099412553762917,en,friends
couple,0.0099412553762917,en,friends
cute,0.0098871533374795,en,friends
yealn,0.0098655637101499,en,friends
wlny,0.0098655637101499,en,friends
tribbiani,0.0098655637101499,en,friends
end,0.0098620417635612,en,friends
medium,0.0097766096064687,en,friends
excited,0.0097565963378415,en,friends
realize,0.0097130497029373,en,friends
line,0.0096058848346376,en,friends
office,0.0095005332380456,en,friends
actor,0.0094817070721155,en,friends
month,0.0094778063701757,en,friends
important,0.0094778063701757,en,friends
throw,0.0094248265255753,en,friends
porn,0.0093985820852395,en,friends
joke,0.0092570789440416,en,friends
true,0.0092216494412521,en,friends
buy,0.0092216494412521,en,friends
bozoleclown,0.0092078594628065,en,friends
lner,0.0092078594628065,en,friends
seriously,0.0091248349591267,en,friends
sister,0.0090520986304367,en,friends
candy,0.0090180963292412,en,friends
bet,0.0089654925123284,en,friends
movie,0.0089520927499907,en,friends
number,0.0089083976748588,en,friends
write,0.008860346989297,en,friends
late,0.0088374140478665,en,friends
chance,0.0087093355834047,en,friends
fall,0.0087093355834047,en,friends
hell,0.0087093355834047,en,friends
read,0.0087093355834047,en,friends
eye,0.0087093355834047,en,friends
book,0.0085895232015207,en,friends
fire,0.0085812571189429,en,friends
monica,0.00857982830657,en,friends
stripper,0.0085787154084796,en,friends
huggsy,0.0085501552154632,en,friends
tlnis,0.0085501552154632,en,friends
nnever,0.0085501552154632,en,friends
close,0.008453178654481,en,friends
different,0.008453178654481,en,friends
massage,0.0083946073091472,en,friends
send,0.0083919688241424,en,friends
cry,0.008331477875066,en,friends
door,0.0083251001900192,en,friends
alright,0.0082931594788139,en,friends
minsk,0.008271930757949,en,friends
father,0.0081990903287243,en,friends
anymore,0.0081990903287243,en,friends
ago,0.0081970217255574,en,friends
easy,0.0081970217255574,en,friends
mother,0.0081970217255574,en,friends
figure,0.0081337543987841,en,friends
high,0.0080689460377922,en,friends
rachel,0.0079005473332148,en,friends
missey,0.0078924509681199,en,friends
tlney,0.0078924509681199,en,friends
wlno,0.0078924509681199,en,friends
spend,0.0078755399734259,en,friends
wouid,0.0078750476857517,en,friends
speak,0.0078127863321719,en,friends
knick,0.007807148044072,en,friends
card,0.0077833242819662,en,friends
married,0.0077377721771579,en,friends
invite,0.0077083407249941,en,friends
decide,0.0076173255480677,en,friends
set,0.0075483688740636,en,friends
restaurant,0.0074907525914482,en,friends
hurt,0.0074882183353886,en,friends
school,0.0074778206077521,en,friends
table,0.0074778206077521,en,friends
inn,0.0074601822261019,en,friends
point,0.0074285509387864,en,friends
street,0.0073591111227095,en,friends
feeling,0.0073466307725283,en,friends
mind,0.0073004724743245,en,friends
run,0.0073004724743245,en,friends
welcome,0.0072880802921994,en,friends
pant,0.0072516438711668,en,friends
thinnk,0.0072347467207766,en,friends
nneed,0.0072347467207766,en,friends
exciting,0.0071476605395192,en,friends
gay,0.0071464159590213,en,friends
glad,0.0071008966973512,en,friends
car,0.0070842511020809,en,friends
rip,0.0070766504978543,en,friends
hit,0.0070443155454009,en,friends
wonder,0.0070443155454009,en,friends
plane,0.0069898003614387,en,friends
perfect,0.0069717894846721,en,friends
pass,0.0069530612668572,en,friends
kick,0.0069530612668572,en,friends
audition,0.0069513389175069,en,friends
hanukkah,0.0069049414669679,en,friends
luck,0.006897647419403,en,friends
bra,0.0068596102725231,en,friends
bed,0.006842682271993,en,friends
story,0.006842682271993,en,friends
stand,0.0067881586164772,en,friends
world,0.0067881586164772,en,friends
coffee,0.0067729756371124,en,friends
huge,0.0067447981343699,en,friends
barbado,0.0067220971199058,en,friends
santa,0.0067160616925282,en,friends
lne,0.0066635018879438,en,friends
freak,0.006660376939157,en,friends
college,0.0066447536540228,en,friends
dance,0.0066071491928521,en,friends
present,0.0065844678466348,en,friends
soon,0.0065844678466348,en,friends
goodbye,0.0065829401720754,en,friends
finne,0.0065770424734332,en,friends
philange,0.0065770424734332,en,friends
surprise,0.0065072145466066,en,friends
sth,0.0064841656488513,en,friends
promise,0.0064283019259623,en,friends
coffeehouse,0.0064232766875947,en,friends
relationship,0.006417828793902,en,friends
chef,0.0063029125381577,en,friends
special,0.0062758447586299,en,friends
reason,0.0062758447586299,en,friends
stick,0.0062469259647423,en,friends
secret,0.0062154672909993,en,friends
girlfriend,0.0062042156501264,en,friends
smell,0.0061971462085974,en,friends
chair,0.0061615593262554,en,friends
fast,0.006147766294168,en,friends
hair,0.0061167816738102,en,friends
name,0.0061167816738102,en,friends
boyfriend,0.0061121655066301,en,friends
drink,0.0060680389959183,en,friends
friennd,0.0060577289890398,en,friends
laugh,0.0060470403931931,en,friends
uhm,0.006045836211122,en,friends
westminster,0.006045836211122,en,friends
sweetie,0.0060163751424423,en,friends
box,0.0059988097276316,en,friends
light,0.0059866373828781,en,friends
bathroom,0.0059704544753955,en,friends
paleontologist,0.0059670274800454,en,friends
drunk,0.0059665876746615,en,friends
tape,0.0059224978220638,en,friends
downn,0.0059193382260899,en,friends
nnow,0.0059193382260899,en,friends
wlnere,0.0059193382260899,en,friends
fronm,0.0059193382260899,en,friends
somethinng,0.0059193382260899,en,friends
kinnd,0.0059193382260899,en,friends
divorce,0.005904589141342,en,friends
toner,0.0058704088413374,en,friends
absolutely,0.0058564930919459,en,friends
enjoy,0.0058187353362547,en,friends
grow,0.0058187353362547,en,friends
cut,0.0058098245705601,en,friends
carol,0.0057698938964428,en,friends
small,0.0057635309007825,en,friends
drake,0.0057545610649102,en,friends
favorite,0.0057252505399681,en,friends
ovulate,0.0057117154821374,en,friends
breast,0.0057040063657045,en,friends
smoke,0.0056892995351744,en,friends
armadillo,0.0056869523960899,en,friends
gandalf,0.0056869523960899,en,friends
birthday,0.0056857353550047,en,friends
touch,0.005680717357881,en,friends
fact,0.005680717357881,en,friends
smart,0.005680717357881,en,friends
scene,0.0056436066022278,en,friends
gift,0.0056436066022278,en,friends
seat,0.00564116291462,en,friends
ride,0.0055988890791228,en,friends
camera,0.0055985315010634,en,friends
damn,0.0055962045100817,en,friends
bag,0.0055962045100817,en,friends
finish,0.0055516101452019,en,friends
rest,0.0055516101452019,en,friends
steal,0.0055516101452019,en,friends
mon,0.0055140477323362,en,friends
terrible,0.0055095256915759,en,friends
answer,0.0055073739718588,en,friends
english,0.0055041500522668,en,friends
tag,0.0055034100671864,en,friends
wiii,0.0054519560901358,en,friends
sing,0.005414737628198,en,friends
cake,0.005414737628198,en,friends
exactly,0.005379295507397,en,friends
shoot,0.005379295507397,en,friends
foot,0.005379295507397,en,friends
star,0.0053751470161716,en,friends
iike,0.0053705100298639,en,friends
mad,0.0053683087191923,en,friends
amy,0.0053642530372512,en,friends
duck,0.0053548075617916,en,friends
assistant,0.0053505375653201,en,friends
song,0.0053446931564966,en,friends
early,0.0053359159282174,en,friends
class,0.0053254324034506,en,friends
naked,0.0053072256703532,en,friends
engage,0.0052984640409388,en,friends
key,0.0052933957198436,en,friends
interesting,0.0052933957198436,en,friends
shower,0.0052848466522783,en,friends
paleontology,0.0052816477370689,en,friends
wronng,0.0052616339787466,en,friends
tinme,0.0052616339787466,en,friends
agerin,0.0052616339787466,en,friends
golberg,0.0052616339787466,en,friends
slne,0.0052616339787466,en,friends
doinng,0.0052616339787466,en,friends
plate,0.0052593052033794,en,friends
fight,0.0052512170429352,en,friends
learn,0.0052512170429352,en,friends
ruin,0.0052306597776746,en,friends
sick,0.005198968430614,en,friends
dinosaur,0.0051827274934333,en,friends
thanksgiving,0.0051785997492249,en,friends
soap,0.0051211164372531,en,friends
reverent,0.0051203431873004,en,friends
marriage,0.0050967294302157,en,friends
kathy,0.0050771206252024,en,friends
professor,0.0050621254463324,en,friends
speech,0.005055790823713,en,friends
bar,0.0050523333058377,en,friends
son,0.0050351812944854,en,friends
store,0.0050120019714632,en,friends
clothe,0.0050120019714632,en,friends
fan,0.0049952827043678,en,friends
drive,0.0049950601140115,en,friends
janice,0.0049081970400822,en,friends
sense,0.0049060740818063,en,friends
iove,0.0049017007616594,en,friends
upset,0.0048765424587209,en,friends
afraid,0.0048669816495497,en,friends
crush,0.0048523206128943,en,friends
vikram,0.0048461831912318,en,friends
teii,0.0048461831912318,en,friends
iittie,0.0048461831912318,en,friends
nanny,0.0048271693415046,en,friends
congratulation,0.0048177129531213,en,friends
push,0.0048153387644889,en,friends
subway,0.0048082449137023,en,friends
charlie,0.0047917851157289,en,friends
lunch,0.0047792342082249,en,friends
character,0.0047742513788906,en,friends
relax,0.0047032536391502,en,friends
piece,0.0046851944735567,en,friends
suck,0.0046800640116036,en,friends
teach,0.004665740899269,en,friends
groomsman,0.0046506432393246,en,friends
free,0.0046478596564481,en,friends
ice,0.0046159228242139,en,friends
catch,0.004610824720626,en,friends
lnim,0.0046039297314032,en,friends
tlnose,0.0046039297314032,en,friends
togetlner,0.0046039297314032,en,friends
sonn,0.0046039297314032,en,friends
pregnnannt,0.0046039297314032,en,friends
kash,0.0046039297314032,en,friends
binng,0.0046039297314032,en,friends
gelula,0.0046039297314032,en,friends
single,0.0045916442328302,en,friends
coat,0.0045861750559887,en,friends
hat,0.0045861750559887,en,friends
grab,0.0045688749637459,en,friends
wonderful,0.0045424150700858,en,friends
crap,0.0045424150700858,en,friends
young,0.0045187524437689,en,friends
body,0.0045187524437689,en,friends
husband,0.0045187524437689,en,friends
asleep,0.0045121568364555,en,friends
lucky,0.0044962954871059,en,friends
bye,0.004484383257251,en,friends
brother,0.0044827462561642,en,friends
daddy,0.0044760463749953,en,friends
bitch,0.0044701639204942,en,friends
order,0.0044249058916925,en,friends
finally,0.0044249058916925,en,friends
definitely,0.0044249058916925,en,friends
middle,0.0044249058916925,en,friends
porsche,0.0044128475241492,en,friends
uterus,0.0044127358509972,en,friends
molly,0.0044018097868412,en,friends
news,0.0043896452310898,en,friends
shirt,0.0043711519353163,en,friends
test,0.004364051502191,en,friends
clean,0.0043546677917023,en,friends
far,0.0043546677917023,en,friends
fancy,0.0043266653121196,en,friends
poughkeepsie,0.0043213481485109,en,friends
mona,0.0043213481485109,en,friends
flight,0.0042987623206433,en,friends
maid,0.0042975339548655,en,friends
aunt,0.0042957422872306,en,friends
pact,0.0042612878771802,en,friends
moment,0.0042605380184107,en,friends
taik,0.0042404102923278,en,friends
british,0.0042366472455646,en,friends
extra,0.0042318075172761,en,friends
rule,0.0042265893272405,en,friends
bike,0.0042090559223217,en,friends
beer,0.0041962934765581,en,friends
bride,0.0041877397055439,en,friends
sexy,0.0041612955598524,en,friends
tea,0.0041554702432885,en,friends
audience,0.004152032544928,en,friends
pee,0.0041465797394069,en,friends
cheese,0.0041403928695978,en,friends
honeymoon,0.0041362863531659,en,friends
pack,0.004132513367924,en,friends
shoe,0.0041294682455325,en,friends
balcony,0.0040870081766469,en,friends
waiter,0.0040870081766469,en,friends
bridesmaid,0.0040756513494559,en,friends
slutty,0.0040756513494559,en,friends
underwear,0.0040752410880632,en,friends
brit,0.0040732946316897,en,friends
screw,0.0040637853822674,en,friends
dear,0.0040564170273395,en,friends
post,0.0040313602621287,en,friends
milk,0.0040161056713437,en,friends
merry,0.0040104796146336,en,friends
trouble,0.0040023235930525,en,friends
hospital,0.0039992064850877,en,friends
valentine,0.0039712910778568,en,friends
dead,0.0039704323983168,en,friends
opera,0.003959407111606,en,friends
turkey,0.0039510670933479,en,friends
boot,0.003948639486304,en,friends
apologize,0.0039481372318986,en,friends
dinna,0.0039462254840599,en,friends
rachei,0.0039462254840599,en,friends
thannk,0.0039462254840599,en,friends
anny,0.0039462254840599,en,friends
parennt,0.0039462254840599,en,friends
wennt,0.0039462254840599,en,friends
doesnn,0.0039462254840599,en,friends
laugher,0.0039462254840599,en,friends
klunker,0.0039462254840599,en,friends
relaxi,0.0039462254840599,en,friends
raclnel,0.0039462254840599,en,friends
havinng,0.0039462254840599,en,friends
wango,0.0039462254840599,en,friends
pheobe,0.0039462254840599,en,friends
phoebs,0.0039462254840599,en,friends
discribe,0.0039462254840599,en,friends
nnight,0.0039462254840599,en,friends
lnad,0.0039462254840599,en,friends
tonmorrow,0.0039462254840599,en,friends
plnoebe,0.0039462254840599,en,friends
pannt,0.0039462254840599,en,friends
tlnouglnt,0.0039462254840599,en,friends
nmake,0.0039462254840599,en,friends
tlnannksgivinng,0.0039462254840599,en,friends
channdi,0.0039462254840599,en,friends
grandmother,0.0039377637632947,en,friends
scare,0.0039283258695252,en,friends
sperm,0.0039271241449627,en,friends
cheesecake,0.003921980865355,en,friends
uncomfortable,0.0039164586967179,en,friends
paper,0.0039043287279639,en,friends
water,0.0039043287279639,en,friends
club,0.0038969815867244,en,friends
fly,0.0038969815867244,en,friends
boss,0.0038969815867244,en,friends
cab,0.0038852823898354,en,friends
save,0.003842353933855,en,friends
clear,0.003842353933855,en,friends
adoption,0.0038417244425723,en,friends
ursula,0.0038411983542319,en,friends
mess,0.0038350755625315,en,friends
raise,0.0038350755625315,en,friends
carry,0.0038045052214879,en,friends
honor,0.0037861418624459,en,friends
borrow,0.0037766641289023,en,friends
hall,0.0037766641289023,en,friends
museum,0.0037759202423833,en,friends
control,0.0037741844370318,en,friends
share,0.0037741844370318,en,friends
future,0.0037626029113201,en,friends
wiener,0.003761700288745,en,friends
roll,0.0037464620282758,en,friends
hire,0.0037464620282758,en,friends
pull,0.0037441091676943,en,friends
adopt,0.0037423543195311,en,friends
incredible,0.0037298838897583,en,friends
mommy,0.0037233956235922,en,friends
music,0.0037165214209793,en,friends
fat,0.0037165214209793,en,friends
able,0.0037142754693932,en,friends
handle,0.0037028315776166,en,friends
chicken,0.0036998183016157,en,friends
holiday,0.003695485751824,en,friends
