mot,poids_tfidf,langue,serie
taire,0.1884258635195128,fr,medium
allison,0.1600869164347901,fr,medium
tre,0.1253846178234783,fr,medium
mme,0.1077826955934662,fr,medium
ariel,0.1039692597806614,fr,medium
fille,0.0801003773726982,fr,medium
ici,0.079635128326971,fr,medium
duboi,0.0794219701526518,fr,medium
appeler,0.060094668406429,fr,medium
devalos,0.0592372937689397,fr,medium
heure,0.055054470411051,fr,medium
scanlon,0.0537289604162019,fr,medium
procureur,0.0473528461489506,fr,medium
quelqu,0.04722277814131,fr,medium
apr,0.0469901536184464,fr,medium
voiture,0.0459838410039581,fr,medium
nuit,0.0419499556230685,fr,medium
joe,0.0415881004212791,fr,medium
petit,0.0414847065773413,fr,medium
maison,0.0403991254706445,fr,medium
aimer,0.0400114179325385,fr,medium
bridgette,0.0395415382560175,fr,medium
besoin,0.0383830462724933,fr,medium
attendre,0.0361343425514786,fr,medium
accord,0.035514010490509,fr,medium
appel,0.0350487614447818,fr,medium
mort,0.0350487614447818,fr,medium
papa,0.0341182633533274,fr,medium
trs,0.0340407218457062,fr,medium
dsol,0.0338856388304638,fr,medium
enfant,0.0338080973228426,fr,medium
mourir,0.0329551407390094,fr,medium
bridgett,0.032651516522403,fr,medium
ouai,0.0319351124508008,fr,medium
matin,0.031893106024146,fr,medium
raison,0.0318695596323126,fr,medium
police,0.031834337236297,fr,medium
travailler,0.0314043105865854,fr,medium
dsole,0.0310332428715342,fr,medium
pass,0.0306288955103734,fr,medium
phoenix,0.0305534315552289,fr,medium
argent,0.0303187294798886,fr,medium
mari,0.0299388715863919,fr,medium
mal,0.0298534804341615,fr,medium
regarder,0.0290780653579495,fr,medium
affaire,0.0290005238503283,fr,medium
bureau,0.0289831350141129,fr,medium
rve,0.0286344940604836,fr,medium
soir,0.0279846371486379,fr,medium
dieu,0.0275272352055255,fr,medium
lydecker,0.0270344696395161,fr,medium
trouv,0.0269069031445559,fr,medium
aider,0.0263641125912075,fr,medium
question,0.0261314880683439,fr,medium
comprend,0.0258988635454803,fr,medium
nom,0.0253560729921319,fr,medium
sortir,0.0244255749006775,fr,medium
pre,0.0243480333930563,fr,medium
demain,0.0240761682731298,fr,medium
fait,0.023805242839708,fr,medium
veux,0.0237277013320868,fr,medium
tte,0.0235726183168444,fr,medium
ami,0.0232624522863596,fr,medium
problme,0.0231073692711172,fr,medium
minute,0.0228254582329672,fr,medium
simplement,0.0226691194779469,fr,medium
cole,0.0225837105367421,fr,medium
aujourd,0.0224870372101476,fr,medium
corps,0.0222001032128859,fr,medium
air,0.0221768711796628,fr,medium
rentrer,0.0217891636415568,fr,medium
hier,0.0214965788152944,fr,medium
grand,0.0214014561034508,fr,medium
coup,0.0211839013052538,fr,medium
inspecteur,0.021139194012833,fr,medium
meurtre,0.0210713042860263,fr,medium
sentir,0.0210137485653448,fr,medium
travail,0.0207811240424812,fr,medium
second,0.0206260410272388,fr,medium
dormir,0.0205484995196176,fr,medium
chrie,0.020315874996754,fr,medium
salut,0.0202383334891328,fr,medium
famille,0.0201607919815116,fr,medium
essayer,0.0200057089662692,fr,medium
