mot,poids_tfidf,langue,serie
nick,0.1689150401778323,en,dirtysexymoney
darling,0.156746307392489,en,dirtysexymoney
karen,0.1047170925464067,en,dirtysexymoney
jeremy,0.0911552905148203,en,dirtysexymoney
patrick,0.083440081953638,en,dirtysexymoney
love,0.0771587401979869,en,dirtysexymoney
little,0.0756830265876429,en,dirtysexymoney
family,0.0739964967472497,en,dirtysexymoney
dad,0.0706914666284064,en,dirtysexymoney
talk,0.0651422150851857,en,dirtysexymoney
brian,0.0649131554001362,en,dirtysexymoney
father,0.064050753096647,en,dirtysexymoney
work,0.0560771171930724,en,dirtysexymoney
sure,0.0560771171930724,en,dirtysexymoney
carmelita,0.0530462462541766,en,dirtysexymoney
life,0.0501742627516964,en,dirtysexymoney
tripp,0.0489174123044304,en,dirtysexymoney
freddy,0.048666676132307,en,dirtysexymoney
kiki,0.0460834109000995,en,dirtysexymoney
night,0.0432173271600746,en,dirtysexymoney
ellen,0.0419072554531901,en,dirtysexymoney
elder,0.0418349856759156,en,dirtysexymoney
happen,0.0413199810896323,en,dirtysexymoney
son,0.0378266985125735,en,dirtysexymoney
win,0.0352063104182071,en,dirtysexymoney
help,0.0326765156576174,en,dirtysexymoney
money,0.0316224345073717,en,dirtysexymoney
start,0.0314116182773225,en,dirtysexymoney
wife,0.0307791695871751,en,dirtysexymoney
long,0.0297250884369294,en,dirtysexymoney
hell,0.0297250884369294,en,dirtysexymoney
brother,0.0297250884369294,en,dirtysexymoney
home,0.0295142722068802,en,dirtysexymoney
stay,0.0286710072866836,en,dirtysexymoney
great,0.0284601910566345,en,dirtysexymoney
tish,0.0280934933607608,en,dirtysexymoney
place,0.027827742366487,en,dirtysexymoney
fine,0.027626240486711,en,dirtysexymoney
bad,0.0276169261364379,en,dirtysexymoney
lie,0.0267736612162413,en,dirtysexymoney
sofia,0.0267581095548965,en,dirtysexymoney
paddy,0.0261426069910959,en,dirtysexymoney
babeson,0.0259818349000049,en,dirtysexymoney
hear,0.0259303962960447,en,dirtysexymoney
truth,0.0255087638359465,en,dirtysexymoney
away,0.0255087638359465,en,dirtysexymoney
lyon,0.0253115760862192,en,dirtysexymoney
tomorrow,0.0252886355224508,en,dirtysexymoney
care,0.0250871313758482,en,dirtysexymoney
actually,0.024876315145799,en,dirtysexymoney
guess,0.0246654989157499,en,dirtysexymoney
dutch,0.0245202026587814,en,dirtysexymoney
kid,0.0241850026784008,en,dirtysexymoney
daddy,0.0241747409385904,en,dirtysexymoney
today,0.0238222339955533,en,dirtysexymoney
run,0.023400601535455,en,dirtysexymoney
