mot,poids_tfidf,langue,serie
c,0.5658429474771342,fr,betteroffted
j,0.3170725707900663,fr,betteroffted
veronica,0.23363976873952333,fr,betteroffted
vouloir,0.1898675670936563,fr,betteroffted
n,0.16793566990462008,fr,betteroffted
bien,0.1660557930027027,fr,betteroffted
faire,0.161042787930923,fr,betteroffted
savoir,0.1522700290553085,fr,betteroffted
taire,0.15039015215339113,fr,betteroffted
phil,0.12857091985285754,fr,betteroffted
devoir,0.11153936284709842,fr,betteroffted
tre,0.10903286031120857,fr,betteroffted
bon,0.10151335270353902,fr,betteroffted
voir,0.10088672706956656,fr,betteroffted
non,0.0983802245336767,fr,betteroffted
truc,0.09096473569937566,fr,betteroffted
lem,0.0870745449329963,fr,betteroffted
aimer,0.0864743374881999,fr,betteroffted
croire,0.08271458368436513,fr,betteroffted
jamais,0.08020808114847527,fr,betteroffted
socit,0.0754702505595994,fr,betteroffted
linda,0.07082009609627955,fr,betteroffted
mme,0.067675568469026,fr,betteroffted
chose,0.067675568469026,fr,betteroffted
aller,0.06642231720108108,fr,betteroffted
ici,0.06391581466519124,fr,betteroffted
dynamic,0.06312229157364677,fr,betteroffted
venir,0.061409312129301376,fr,betteroffted
vraiment,0.060156060861356456,fr,betteroffted
problme,0.05890280959341153,fr,betteroffted
oui,0.056396307057521675,fr,betteroffted
fois,0.056396307057521675,fr,betteroffted
rose,0.054471246449488094,fr,betteroffted
prendre,0.05388980452163182,fr,betteroffted
falloir,0.051383301985741966,fr,betteroffted
t,0.05075667635176951,fr,betteroffted
mal,0.05075667635176951,fr,betteroffted
mordor,0.050133828900816045,fr,betteroffted
femme,0.050130050717797046,fr,betteroffted
jenkin,0.048872610704142505,fr,betteroffted
pouvoir,0.048250173815879656,fr,betteroffted
passer,0.04699692254793473,fr,betteroffted
bureau,0.04566914360692542,fr,betteroffted
travailler,0.04511704564601734,fr,betteroffted
jabberwocky,0.04438078506103355,fr,betteroffted
trop,0.04386379437807241,fr,betteroffted
fille,0.04386379437807241,fr,betteroffted
vie,0.04386379437807241,fr,betteroffted
monde,0.04323716874409995,fr,betteroffted
trouver,0.04323716874409995,fr,betteroffted
petit,0.04198391747615502,fr,betteroffted
projet,0.04144180184548768,fr,betteroffted
avoir,0.041357291842182564,fr,betteroffted
cream,0.04086540687946159,fr,betteroffted
mettre,0.04010404057423764,fr,betteroffted
besoin,0.039477414940265174,fr,betteroffted
ami,0.039477414940265174,fr,betteroffted
temps,0.03885078930629271,fr,betteroffted
bhamba,0.03855352601389074,fr,betteroffted
trs,0.03759753803834778,fr,betteroffted
gars,0.03757207869717542,fr,betteroffted
arriver,0.03697091240437532,fr,betteroffted
dire,0.03697091240437532,fr,betteroffted
jour,0.03571766113643039,fr,betteroffted
myman,0.03534073217939984,fr,betteroffted
sortir,0.03509103550245793,fr,betteroffted
apr,0.03509103550245793,fr,betteroffted
regarder,0.03509103550245793,fr,betteroffted
bagel,0.03486478368910723,fr,betteroffted
grand,0.034464409868485466,fr,betteroffted
an,0.034464409868485466,fr,betteroffted
enfant,0.033837784234513,fr,betteroffted
accord,0.03321115860054054,fr,betteroffted
dsol,0.03321115860054054,fr,betteroffted
mmo,0.032976283632763476,fr,betteroffted
heure,0.032584532966568075,fr,betteroffted
boulot,0.03247755955179571,fr,betteroffted
sr,0.03195790733259562,fr,betteroffted
sentir,0.03195790733259562,fr,betteroffted
ted,0.03163763520631435,fr,betteroffted
nouveau,0.031331281698623155,fr,betteroffted
voil,0.030704656064650688,fr,betteroffted
lmurien,0.030562950473399235,fr,betteroffted
entendre,0.030078030430678228,fr,betteroffted
compagnie,0.029769938564391172,fr,betteroffted
spielman,0.029587190040689035,fr,betteroffted
m,0.029451404796705764,fr,betteroffted
gnial,0.02935873517588063,fr,betteroffted
homme,0.0288247791627333,fr,betteroffted
salut,0.0288247791627333,fr,betteroffted
ampoule,0.028375466437451015,fr,betteroffted
ide,0.028198153528760837,fr,betteroffted
labo,0.028098232516800967,fr,betteroffted
devenir,0.027571527894788374,fr,betteroffted
meilleur,0.027571527894788374,fr,betteroffted
mieux,0.027571527894788374,fr,betteroffted
travail,0.027571527894788374,fr,betteroffted
finir,0.027571527894788374,fr,betteroffted
pre,0.027571527894788374,fr,betteroffted
quelqu,0.026318276626843447,fr,betteroffted
argent,0.026318276626843447,fr,betteroffted
raison,0.026318276626843447,fr,betteroffted
nom,0.026318276626843447,fr,betteroffted
digivation,0.02570235067592716,fr,betteroffted
air,0.025691650992870983,fr,betteroffted
employ,0.02537175014869436,fr,betteroffted
partir,0.025065025358898523,fr,betteroffted
essayer,0.025065025358898523,fr,betteroffted
dieu,0.02443839972492606,fr,betteroffted
dur,0.024004583031779683,fr,betteroffted
ryan,0.023944722176011467,fr,betteroffted
appeler,0.023811774090953596,fr,betteroffted
veux,0.023811774090953596,fr,betteroffted
penser,0.023185148456981133,fr,betteroffted
chet,0.02299034563275671,fr,betteroffted
vendre,0.022925336154208734,fr,betteroffted
perdre,0.02255852282300867,fr,betteroffted
tr,0.02255852282300867,fr,betteroffted
linder,0.022042787822725597,fr,betteroffted
mourir,0.021931897189036206,fr,betteroffted
beaucoup,0.021931897189036206,fr,betteroffted
adorer,0.021827059387000983,fr,betteroffted
changer,0.02147778481790814,fr,betteroffted
aime,0.021305271555063742,fr,betteroffted
connaître,0.021305271555063742,fr,betteroffted
l,0.021305271555063742,fr,betteroffted
faon,0.021305271555063742,fr,betteroffted
attend,0.020846085264440255,fr,betteroffted
journe,0.020846085264440255,fr,betteroffted
parler,0.020678645921091282,fr,betteroffted
aider,0.020678645921091282,fr,betteroffted
gros,0.020678645921091282,fr,betteroffted
s,0.020678645921091282,fr,betteroffted
pass,0.020678645921091282,fr,betteroffted
dsole,0.020214385710972366,fr,betteroffted
produit,0.020132652262967954,fr,betteroffted
revenir,0.02005202028711882,fr,betteroffted
super,0.019901142382265605,fr,betteroffted
continuer,0.01958268615750448,fr,betteroffted
greta,0.01946928489899754,fr,betteroffted
mr,0.019425394653146355,fr,betteroffted
chat,0.019331347821011972,fr,betteroffted
mcnurtney,0.01927676300694537,fr,betteroffted
manger,0.019104446795173945,fr,betteroffted
e-mail,0.018933678338726955,fr,betteroffted
fort,0.01879876901917389,fr,betteroffted
ok,0.01856504621903997,fr,betteroffted
test,0.01841572176239648,fr,betteroffted
team,0.018251917529416427,fr,betteroffted
patron,0.018193721117046285,fr,betteroffted
plein,0.01768758749710082,fr,betteroffted
tai,0.01768758749710082,fr,betteroffted
hier,0.01768758749710082,fr,betteroffted
rester,0.01768758749710082,fr,betteroffted
pardon,0.01768758749710082,fr,betteroffted
fou,0.01768758749710082,fr,betteroffted
soir,0.01768758749710082,fr,betteroffted
vrai,0.017545517751228965,fr,betteroffted
tte,0.017545517751228965,fr,betteroffted
laisse,0.017545517751228965,fr,betteroffted
semaine,0.017545517751228965,fr,betteroffted
gagner,0.017545517751228965,fr,betteroffted
affaire,0.017545517751228965,fr,betteroffted
relation,0.017100313065082445,fr,betteroffted
ensembl,0.017055887943632934,fr,betteroffted
cool,0.016982856765022487,fr,betteroffted
blous,0.016965234413517865,fr,betteroffted
tenir,0.0169188921172565,fr,betteroffted
attendre,0.0169188921172565,fr,betteroffted
moyen,0.0169188921172565,fr,betteroffted
utiliser,0.0169188921172565,fr,betteroffted
aide,0.0169188921172565,fr,betteroffted
systme,0.01684603807133915,fr,betteroffted
box,0.01670487093083251,fr,betteroffted
erreur,0.01642418839016505,fr,betteroffted
anne,0.016292266483284037,fr,betteroffted
porte,0.016292266483284037,fr,betteroffted
bonjour,0.016292266483284037,fr,betteroffted
comprendre,0.016292266483284037,fr,betteroffted
agir,0.016292266483284037,fr,betteroffted
arrter,0.016292266483284037,fr,betteroffted
nuit,0.016292266483284037,fr,betteroffted
chumley,0.016063969172454475,fr,betteroffted
congeler,0.016055308172642977,fr,betteroffted
formidable,0.016003853053635424,fr,betteroffted
sympa,0.015784904367768412,fr,betteroffted
ordinateur,0.01569027190294334,fr,betteroffted
sens,0.015665640849311577,fr,betteroffted
mot,0.015665640849311577,fr,betteroffted
main,0.015665640849311577,fr,betteroffted
question,0.015665640849311577,fr,betteroffted
dteste,0.015532141859682347,fr,betteroffted
amour,0.015532141859682347,fr,betteroffted
palmer,0.015391900700766393,fr,betteroffted
tage,0.015188916145080835,fr,betteroffted
coup,0.015160789283229276,fr,betteroffted
vivre,0.015039015215339114,fr,betteroffted
vite,0.015039015215339114,fr,betteroffted
oeil,0.015039015215339114,fr,betteroffted
mec,0.01500557575656121,fr,betteroffted
bouchard,0.014793595020344517,fr,betteroffted
viande,0.01473686468710191,fr,betteroffted
runion,0.014705155493560145,fr,betteroffted
rgle,0.014529089729761389,fr,betteroffted
cas,0.01441238958136665,fr,betteroffted
moment,0.01441238958136665,fr,betteroffted
famille,0.01441238958136665,fr,betteroffted
arrte,0.01441238958136665,fr,betteroffted
lieu,0.01441238958136665,fr,betteroffted
don,0.014381539977234703,fr,betteroffted
blanc,0.014237796704708821,fr,betteroffted
idiot,0.014237796704708821,fr,betteroffted
scientifique,0.014166000842326163,fr,betteroffted
www,0.014148375701165738,fr,betteroffted
mentir,0.01412339136805946,fr,betteroffted
dingue,0.014036739334761957,fr,betteroffted
rendre,0.014009927649794227,fr,betteroffted
normal,0.014009927649794227,fr,betteroffted
fondation,0.014000836515343368,fr,betteroffted
poulet,0.014000021452746817,fr,betteroffted
crme,0.013930787845671446,fr,betteroffted
harclement,0.013915131344734323,fr,betteroffted
plat,0.013897390176293501,fr,betteroffted
doi,0.013897390176293501,fr,betteroffted
quipe,0.013811791321797358,fr,betteroffted
histoire,0.013785763947394187,fr,betteroffted
sang,0.013785763947394187,fr,betteroffted
type,0.013590624127222057,fr,betteroffted
better,0.013368337220889643,fr,betteroffted
donner,0.013265690622825616,fr,betteroffted
seigneur,0.013260747299314264,fr,betteroffted
walter,0.013160802819583843,fr,betteroffted
demander,0.013159138313421723,fr,betteroffted
parl,0.013159138313421723,fr,betteroffted
prend,0.013159138313421723,fr,betteroffted
dernier,0.013159138313421723,fr,betteroffted
donne,0.013159138313421723,fr,betteroffted
propre,0.013159138313421723,fr,betteroffted
peur,0.013159138313421723,fr,betteroffted
place,0.013159138313421723,fr,betteroffted
horrible,0.013154086973140341,fr,betteroffted
hollandais,0.013105227226968467,fr,betteroffted
science,0.013048328647899957,fr,betteroffted
cynthia,0.013040860172070599,fr,betteroffted
nichon,0.013016903857874781,fr,betteroffted
djeuner,0.012943451549735292,fr,betteroffted
kakakishi,0.01285117533796358,fr,betteroffted
relaxxxalon,0.01285117533796358,fr,betteroffted
bizarre,0.012839446698235873,fr,betteroffted
badge,0.012730276797461965,fr,betteroffted
gagn,0.01269990701716558,fr,betteroffted
prt,0.012633991069357729,fr,betteroffted
schnitzel,0.01262187606307151,fr,betteroffted
voix,0.01259770993434855,fr,betteroffted
chance,0.012532512679449262,fr,betteroffted
mort,0.012532512679449262,fr,betteroffted
papa,0.012532512679449262,fr,betteroffted
envoyer,0.012532512679449262,fr,betteroffted
thermostat,0.012472742897848464,fr,betteroffted
humain,0.012197474363324079,fr,betteroffted
porter,0.012197474363324079,fr,betteroffted
ferme,0.012099482970276831,fr,betteroffted
eau,0.012099482970276831,fr,betteroffted
heureux,0.012099482970276831,fr,betteroffted
machine,0.012031490858367392,fr,betteroffted
instant,0.012002291515889841,fr,betteroffted
minute,0.012002291515889841,fr,betteroffted
fait,0.011905887045476798,fr,betteroffted
tuer,0.011905887045476798,fr,betteroffted
chrie,0.011905887045476798,fr,betteroffted
coute,0.011905887045476798,fr,betteroffted
cause,0.011905887045476798,fr,betteroffted
kreb,0.011834876016275612,fr,betteroffted
noir,0.011649106394761763,fr,betteroffted
productivit,0.011589813407935702,fr,betteroffted
bb,0.011555502028412283,fr,betteroffted
chef,0.011462668077104367,fr,betteroffted
manque,0.011462668077104367,fr,betteroffted
pens,0.011462668077104367,fr,betteroffted
joli,0.011370591962421957,fr,betteroffted
qu,0.011370591962421957,fr,betteroffted
facile,0.011370591962421957,fr,betteroffted
ressembler,0.011279261411504335,fr,betteroffted
important,0.011279261411504335,fr,betteroffted
hein,0.011279261411504335,fr,betteroffted
dner,0.011180973927169291,fr,betteroffted
rv,0.011180973927169291,fr,betteroffted
bio,0.011136063924263253,fr,betteroffted
elce,0.011113800172145175,fr,betteroffted
robot,0.011102373595480908,fr,betteroffted
cadeau,0.011001933817274998,fr,betteroffted
norm,0.010957363792178822,fr,betteroffted
ouai,0.010913529693500491,fr,betteroffted
triste,0.010913529693500491,fr,betteroffted
bref,0.010869028329614392,fr,betteroffted
devrai,0.010825853183931904,fr,betteroffted
papier,0.010825853183931904,fr,betteroffted
ville,0.010825853183931904,fr,betteroffted
sac,0.010825853183931904,fr,betteroffted
ignorer,0.01073889240895407,fr,betteroffted
sexy,0.010697912661097733,fr,betteroffted
hro,0.010694658540771014,fr,betteroffted
part,0.010652635777531871,fr,betteroffted
arme,0.010652635777531871,fr,betteroffted
dernire,0.010652635777531871,fr,betteroffted
point,0.010652635777531871,fr,betteroffted
gnral,0.01060859783945141,fr,betteroffted
fromage,0.010577696898115094,fr,betteroffted
voler,0.010523269578512273,fr,betteroffted
club,0.010356079189827842,fr,betteroffted
cheveux,0.010354761239788233,fr,betteroffted
souci,0.010271557358588698,fr,betteroffted
traducteur,0.010192954509864363,fr,betteroffted
offrir,0.010189038290759438,fr,betteroffted
amie,0.010189038290759438,fr,betteroffted
faux,0.010189038290759438,fr,betteroffted
ensemble,0.010189038290759438,fr,betteroffted
impossible,0.010189038290759438,fr,betteroffted
prsent,0.010107192855486183,fr,betteroffted
jouer,0.010107192855486183,fr,betteroffted
revoir,0.010107192855486183,fr,betteroffted
faute,0.010107192855486183,fr,betteroffted
risque,0.010107192855486183,fr,betteroffted
xcath,0.010097500850457209,fr,betteroffted
almer,0.010097500850457209,fr,betteroffted
nol,0.010066326131483977,fr,betteroffted
crer,0.010026242381972828,fr,betteroffted
trouv,0.01002601014355941,fr,betteroffted
