mot,poids_tfidf,langue,serie
s,0.5426330055416272,en,medium
know,0.3582280989260649,en,medium
t,0.23940286122020366,en,medium
go,0.2289559458234887,en,medium
m,0.20543353631733693,en,medium
think,0.19626721054989668,en,medium
tell,0.15171617134197027,en,medium
allison,0.14555864187201975,en,medium
want,0.1448414270163901,en,medium
right,0.1323725279945045,en,medium
get,0.12502598748971785,en,medium
come,0.12192561259778953,en,medium
look,0.11821864261831003,en,medium
mean,0.09584202383308829,en,medium
thing,0.09139365985771289,en,medium
time,0.08782148878657808,en,medium
bridgette,0.08532605919264954,en,medium
talk,0.0829013286319962,en,medium
work,0.07905955974417199,en,medium
dream,0.07697889985867645,en,medium
say,0.0764983804856225,en,medium
need,0.0764983804856225,en,medium
good,0.0750155924938307,en,medium
find,0.07097162524348943,en,medium
man,0.0698258345225594,en,medium
sorry,0.0676016525348717,en,medium
maybe,0.06733205471818228,en,medium
devalo,0.0654143029486187,en,medium
let,0.06423167982625397,en,medium
see,0.06301848965115159,en,medium
sure,0.05931151967167208,en,medium
night,0.056413343142260826,en,medium
way,0.05573934860053728,en,medium
ariel,0.05573611102034791,en,medium
day,0.054795756242124315,en,medium
guy,0.05469235861925795,en,medium
girl,0.054660957333779604,en,medium
happen,0.054660957333779604,en,medium
hear,0.05223457698357484,en,medium
home,0.04953859881668066,en,medium
little,0.0487298053666124,en,medium
scanlon,0.04813567370145706,en,medium
people,0.04758401464568237,en,medium
year,0.047314416828992956,en,medium
ask,0.046640422287269404,en,medium
help,0.04583162883720115,en,medium
try,0.04549463156633938,en,medium
thank,0.04475323757044348,en,medium
leave,0.04421404193706464,en,medium
wait,0.04394444412037522,en,medium
actually,0.04320305012447932,en,medium
car,0.042802796402968725,en,medium
kill,0.042731253945272836,en,medium
morning,0.040776669774274556,en,medium
call,0.040237474140895714,en,medium
feel,0.039765677961689234,en,medium
kind,0.038889485057448624,en,medium
d,0.0386198872407592,en,medium
take,0.03767629488234624,en,medium
attorney,0.03742511013199513,en,medium
mom,0.037390394693224485,en,medium
guess,0.036193506890554436,en,medium
okay,0.03499447625023118,en,medium
life,0.034373721627900866,en,medium
wife,0.03329533036114319,en,medium
believe,0.032958333090281414,en,medium
kid,0.0327924649861454,en,medium
woman,0.03228433854855787,en,medium
fine,0.030981013081219408,en,medium
understand,0.030599352194249002,en,medium
phone,0.030481076799068474,en,medium
like,0.030329754377559585,en,medium
house,0.030194955469214874,en,medium
lot,0.030127556015042523,en,medium
start,0.0291165642024572,en,medium
dead,0.029049164748284846,en,medium
police,0.029030325267132232,en,medium
money,0.028846966385767784,en,medium
district,0.028843084483576236,en,medium
friend,0.028712167477423074,en,medium
school,0.02830507504067287,en,medium
meet,0.027970773481527173,en,medium
today,0.027970773481527173,en,medium
second,0.0276337762106654,en,medium
sleep,0.027161980031458918,en,medium
long,0.027161980031458918,en,medium
love,0.026690183852252435,en,medium
case,0.025948789856356534,en,medium
miss,0.025813990948011824,en,medium
head,0.02574659149383947,en,medium
old,0.02547699367715005,en,medium
murder,0.025464752858612546,en,medium
stop,0.02527479531463299,en,medium
office,0.02506608305006724,en,medium
give,0.024802999135426506,en,medium
minute,0.02473045781044707,en,medium
bad,0.024398602410392378,en,medium
daddy,0.024364239515036606,en,medium
turn,0.024129004593702957,en,medium
husband,0.024118990447001953,en,medium
room,0.02385940677701354,en,medium
place,0.023657208414496478,en,medium
away,0.023185412235289995,en,medium
hour,0.023185412235289995,en,medium
pretty,0.023167818992753986,en,medium
die,0.022848414964428222,en,medium
make,0.0225788171477388,en,medium
nice,0.022309219331049384,en,medium
run,0.022309219331049384,en,medium
idea,0.02170262424349819,en,medium
bring,0.02170262424349819,en,medium
remember,0.021567825335153484,en,medium
wasn,0.021567825335153484,en,medium
great,0.021365626972636418,en,medium
body,0.021333416902418627,en,medium
daughter,0.02133236143309248,en,medium
live,0.021096029155947,en,medium
detective,0.02103839093851959,en,medium
wrong,0.02096123024760229,en,medium
suppose,0.020826431339257583,en,medium
boy,0.020556833522568162,en,medium
question,0.020489434068395807,en,medium
hope,0.020287235705878745,en,medium
win,0.020017637889189328,en,medium
well,0.01968064061832755,en,medium
dad,0.01951867122751138,en,medium
mind,0.019276243893293424,en,medium
honey,0.01923443914054556,en,medium
course,0.019227251539440993,en,medium
mommy,0.019082691685546774,en,medium
death,0.019023429084959284,en,medium
sit,0.01893924662243165,en,medium
drive,0.01893924662243165,en,medium
hold,0.01881960663047758,en,medium
family,0.01833265153488046,en,medium
sound,0.018265252080708106,en,medium
tomorrow,0.01820813926703246,en,medium
ago,0.01799565426401869,en,medium
listen,0.017860855355673978,en,medium
fact,0.017800494358069047,en,medium
new,0.017793455901501623,en,medium
baby,0.017738020519036658,en,medium
big,0.017732553539908477,en,medium
bed,0.017732553539908477,en,medium
week,0.017726056447329268,en,medium
figure,0.017664612721747908,en,medium
doctor,0.017606649383936815,en,medium
excuse,0.017254260268122785,en,medium
door,0.017119461359778078,en,medium
mother,0.016984662451433367,en,medium
person,0.016984662451433367,en,medium
check,0.016984662451433367,en,medium
matter,0.016917262997261012,en,medium
wake,0.016781382085660514,en,medium
job,0.01671506463474395,en,medium
father,0.016505262336246464,en,medium
watch,0.01644546681805453,en,medium
couple,0.01623785554037596,en,medium
phoenix,0.016195245139348523,en,medium
happy,0.015906271184675694,en,medium
hand,0.015771472276330984,en,medium
number,0.015626388176930843,en,medium
killer,0.01558237925940391,en,medium
pick,0.01556927391381392,en,medium
pay,0.015558447358770273,en,medium
sense,0.015422565722449134,en,medium
stay,0.015367075551296856,en,medium
victim,0.01523189073187361,en,medium
change,0.015164877188779792,en,medium
child,0.01515080244980686,en,medium
point,0.01469308100957331,en,medium
speak,0.014625681555400956,en,medium
lie,0.0145582821012286,en,medium
problem,0.0145582821012286,en,medium
reason,0.014490882647056245,en,medium
have,0.014356083738711537,en,medium
late,0.014288684284539182,en,medium
buy,0.014153885376194473,en,medium
close,0.014153885376194473,en,medium
month,0.014086485922022118,en,medium
care,0.014086485922022118,en,medium
young,0.014063749359237756,en,medium
open,0.014019086467849764,en,medium
cause,0.013951687013677409,en,medium
shoot,0.01368208919698799,en,medium
send,0.013656104450274344,en,medium
exactly,0.013547290288643281,en,medium
real,0.013547290288643281,en,medium
gun,0.01350653630825074,en,medium
answer,0.013479890834470926,en,medium
crazy,0.013423366879270983,en,medium
son,0.013384341177632068,en,medium
soon,0.013384341177632068,en,medium
news,0.0133164003594715,en,medium
read,0.013277692471953862,en,medium
play,0.013210293017781509,en,medium
walk,0.013142893563609153,en,medium
tonight,0.013012447485007586,en,medium
sir,0.01297891245767439,en,medium
crime,0.012881395513992163,en,medium
break,0.012501110541544673,en,medium
deal,0.012501110541544673,en,medium
sister,0.012426618310539308,en,medium
eye,0.012266700659368543,en,medium
hard,0.012266700659368543,en,medium
end,0.012199301205196189,en,medium
early,0.012122122130770225,en,medium
yesterday,0.012012397700187999,en,medium
doesn,0.011889643178099554,en,medium
parent,0.01188009476327814,en,medium
stand,0.011862303934334415,en,medium
wouldn,0.011753761541778415,en,medium
hurt,0.011753761541778415,en,medium
company,0.011736250626620457,en,medium
able,0.011660105571817351,en,medium
use,0.011660105571817351,en,medium
face,0.011617879905457278,en,medium
probably,0.011525306663472642,en,medium
funny,0.011414057450975571,en,medium
apparently,0.011391066784661032,en,medium
spend,0.011346116632815002,en,medium
business,0.011278175814654434,en,medium
ready,0.011255708846783223,en,medium
court,0.011066015077075157,en,medium
truth,0.01105351048426616,en,medium
cell,0.01104588294270161,en,medium
stuff,0.01100641254201216,en,medium
haven,0.010716513213404387,en,medium
worry,0.010666708451209313,en,medium
brother,0.010649113759232031,en,medium
hospital,0.01059277598250825,en,medium
drug,0.010563014391753561,en,medium
jury,0.010544746875520625,en,medium
paper,0.010478444553716635,en,medium
keep,0.010462885996727607,en,medium
forget,0.010462885996727607,en,medium
evidence,0.010441764061708892,en,medium
hell,0.010379515942542614,en,medium
wonder,0.010244717034197904,en,medium
com,0.010112223518742702,en,medium
lose,0.01004251867168084,en,medium
promise,0.010010331416823334,en,medium
world,0.009975119217508486,en,medium
realize,0.009930628757988877,en,medium
moment,0.009919359451443057,en,medium
true,0.009907719763336131,en,medium
blood,0.009851418633282488,en,medium
absolutely,0.009793578896610974,en,medium
picture,0.009783477815121918,en,medium
aerodytech,0.009691007844239808,en,medium
sigh,0.009673738127186323,en,medium
law,0.009540513467689549,en,medium
word,0.009503323038302003,en,medium
sweetie,0.009498093275881667,en,medium
mention,0.009443773724319074,en,medium
test,0.00939485243806905,en,medium
fall,0.009368524129957295,en,medium
rest,0.009239951269837366,en,medium
pass,0.009181890196120712,en,medium
book,0.009177199805215875,en,medium
clear,0.00916632576744023,en,medium
catch,0.00916632576744023,en,medium
psychic,0.009157185767343748,en,medium
cynthia,0.009084065926328587,en,medium
bank,0.009045827082818793,en,medium
drink,0.00903612881535566,en,medium
cut,0.00903612881535566,en,medium
