mot,poids_tfidf,langue,serie
s,0.5565672635588674,en,v
know,0.23537993183041211,en,v
t,0.23301826027358524,en,v
go,0.20861432085304085,en,v
column,0.16740112038695928,en,v
m,0.16216811356877892,en,v
need,0.1550830988982983,en,v
visitor,0.15098599218757042,en,v
v,0.14646335440287697,en,v
want,0.13540250259140765,en,v
tyler,0.12891085872623603,en,v
get,0.12595581636410014,en,v
come,0.12595581636410014,en,v
hobbe,0.11657258278893633,en,v
georgie,0.11612181125740152,en,v
ship,0.11414353280531238,en,v
think,0.11178578702313886,en,v
tell,0.11178578702313886,en,v
right,0.10706244390948512,en,v
find,0.09840298153445323,en,v
look,0.09210519071624822,en,v
human,0.09111728324112335,en,v
people,0.08895629530714572,en,v
chad,0.08498012396172248,en,v
time,0.08423295219349196,en,v
good,0.08265850448894072,en,v
anna,0.07747383011269598,en,v
help,0.07478626596618446,en,v
let,0.07242459440935757,en,v
shuttle,0.07240604026529784,en,v
talk,0.06297790818205007,en,v
vs,0.05978159422425457,en,v
thank,0.05746734121612069,en,v
say,0.05746734121612069,en,v
lzard,0.056595358384259505,en,v
live,0.05589289351156943,en,v
val,0.054229732799038775,en,v
sure,0.05353122195474256,en,v
mom,0.05161967370374444,en,v
decker,0.049959678338115564,en,v
thing,0.04959510269336443,en,v
work,0.04959510269336443,en,v
win,0.0488078788410888,en,v
leave,0.04802065498881317,en,v
way,0.04802065498881317,en,v
trust,0.04681927119585584,en,v
sorry,0.04644620728426192,en,v
ambassador,0.046220574594295814,en,v
mother,0.0456589834319863,en,v
guy,0.04523217725701327,en,v
today,0.044084535727435044,en,v
stop,0.044084535727435044,en,v
life,0.044084535727435044,en,v
ty,0.041630724050226775,en,v
baby,0.040795985609117985,en,v
warehouse,0.040546887036609275,en,v
okay,0.04028595275481613,en,v
day,0.040148416466056915,en,v
kill,0.040148416466056915,en,v
see,0.040148416466056915,en,v
call,0.03936119261378129,en,v
hear,0.03936119261378129,en,v
peace,0.038918208467713586,en,v
center,0.038752255742840996,en,v
believe,0.03778674490923004,en,v
plan,0.03650316059337913,en,v
message,0.035709613623957845,en,v
happen,0.035425073352403164,en,v
long,0.035425073352403164,en,v
man,0.035425073352403164,en,v
feel,0.035425073352403164,en,v
ask,0.034637849500127535,en,v
ryan,0.03425971044544649,en,v
terrorist,0.03418899926770982,en,v
love,0.03385062564785191,en,v
father,0.03359669403103834,en,v
home,0.033063401795576285,en,v
meet,0.033063401795576285,en,v
falkner,0.03234020479100543,en,v
stay,0.031488954091025034,en,v
great,0.031488954091025034,en,v
son,0.030948331807430132,en,v
send,0.030948331807430132,en,v
world,0.03070173023874941,en,v
take,0.03070173023874941,en,v
try,0.03070173023874941,en,v
lose,0.03070173023874941,en,v
maybe,0.02991450638647378,en,v
soldier,0.02953653913110588,en,v
parker,0.029291060669296532,en,v
resistance,0.02918548848035049,en,v
friend,0.029127282534198155,en,v
mean,0.029127282534198155,en,v
healing,0.02864422803115481,en,v
away,0.027552834829646905,en,v
family,0.027552834829646905,en,v
d,0.027552834829646905,en,v
lie,0.027552834829646905,en,v
fight,0.027552834829646905,en,v
safe,0.02719732373941199,en,v
program,0.026866929423776595,en,v
question,0.02676561097737128,en,v
wrong,0.02597838712509565,en,v
agent,0.02557706430077239,en,v
parishioner,0.025440998030694138,en,v
welcome,0.024797559880052108,en,v
technology,0.024667918587897707,en,v
bring,0.0244039394205444,en,v
heal,0.023682466945159623,en,v
lot,0.023616715568268776,en,v
night,0.023616715568268776,en,v
start,0.02282949171599315,en,v
give,0.02282949171599315,en,v
hell,0.02282949171599315,en,v
fifth,0.022816890684626372,en,v
protect,0.02257773390045534,en,v
bad,0.022042267863717522,en,v
marcus,0.021745829710188434,en,v
emotion,0.021711051846110805,en,v
anymore,0.021597874734238933,en,v
priest,0.02144667560720979,en,v
join,0.021425768174374707,en,v
turn,0.021255044011441897,en,v
kind,0.021255044011441897,en,v
like,0.021255044011441897,en,v
understand,0.021255044011441897,en,v
test,0.02113349899799776,en,v
comms,0.021056078457269107,en,v
dorset,0.020981181631207737,en,v
cell,0.020965038621851388,en,v
dale,0.020695116034869142,en,v
hope,0.02046782015916627,en,v
year,0.02046782015916627,en,v
wasn,0.02046782015916627,en,v
timbal,0.020212627994378392,en,v
big,0.019838674235532136,en,v
worry,0.019838674235532136,en,v
use,0.019680596306890646,en,v
well,0.019680596306890646,en,v
save,0.019680596306890646,en,v
run,0.019680596306890646,en,v
answer,0.019680596306890646,en,v
wait,0.019680596306890646,en,v
listen,0.019680596306890646,en,v
tracker,0.01943871610027586,en,v
dad,0.019198110874879052,en,v
check,0.01889337245461502,en,v
idea,0.01889337245461502,en,v
truth,0.01889337245461502,en,v
morning,0.01889337245461502,en,v
evan,0.018862515756187397,en,v
team,0.01884527770136702,en,v
group,0.018464395012624063,en,v
fine,0.018251580296689565,en,v
real,0.018106148602339393,en,v
speak,0.018106148602339393,en,v
walk,0.018106148602339393,en,v
week,0.018106148602339393,en,v
vitamin,0.01791728715608648,en,v
jack,0.017900932806730836,en,v
sleeper,0.01770101576314988,en,v
name,0.017598268301972465,en,v
high,0.017598268301972465,en,v
contact,0.0174844081542083,en,v
change,0.017318924750063767,en,v
care,0.017318924750063767,en,v
embed,0.017316087397663892,en,v
shot,0.016933300425341507,en,v
kid,0.016933300425341507,en,v
medical,0.016869289297455355,en,v
lead,0.01679834701551917,en,v
set,0.01679834701551917,en,v
minute,0.016664486357846994,en,v
aneurysm,0.01664775084495945,en,v
hard,0.016531700897788142,en,v
head,0.016531700897788142,en,v
miss,0.016531700897788142,en,v
afraid,0.016531700897788142,en,v
cause,0.016531700897788142,en,v
commander,0.0160894700747528,en,v
attack,0.015998425729065874,en,v
figure,0.01587093938842571,en,v
hurt,0.01587093938842571,en,v
heart,0.01587093938842571,en,v
little,0.015744477045512517,en,v
hand,0.015744477045512517,en,v
important,0.015744477045512517,en,v
drive,0.015744477045512517,en,v
suspect,0.015600152568644473,en,v
doctor,0.015443710806229133,en,v
task,0.01542791654624402,en,v
fear,0.015320605146737555,en,v
report,0.015198504442612582,en,v
diplomatic,0.015078967654160506,en,v
news,0.015077392419004422,en,v
show,0.015077392419004422,en,v
face,0.015077392419004422,en,v
dead,0.01495725319323689,en,v
word,0.01495725319323689,en,v
nice,0.01495725319323689,en,v
daughter,0.014514257507435579,en,v
bliss,0.014482649260758993,en,v
war,0.01439858315615929,en,v
tonight,0.01439858315615929,en,v
break,0.014283845449583138,en,v
number,0.014283845449583138,en,v
soon,0.014283845449583138,en,v
exactly,0.014170029340961265,en,v
kyle,0.01416770787081591,en,v
destroy,0.014041108958631688,en,v
