mot,poids_tfidf,langue,serie
c,0.43961668168593565,fr,v
colonn,0.3769469119588927,fr,v
n,0.21743460066107834,fr,v
visiteur,0.2143968722658746,fr,v
j,0.20983863207903192,fr,v
vouloir,0.1898992145511601,fr,v
savoir,0.1652123166595093,fr,v
faire,0.14337390698612587,fr,v
vaisseau,0.14172754601685433,fr,v
bien,0.14147491484061428,fr,v
anner,0.14006027461360304,fr,v
taire,0.12723247374927726,fr,v
devoir,0.11868700909447506,fr,v
tyler,0.11002793392601418,fr,v
voir,0.10159607978487066,fr,v
humain,0.0972750200071461,fr,v
tre,0.09684859942109166,fr,v
venir,0.09589910334833586,fr,v
decker,0.09288211630675593,fr,v
georgie,0.09180394924629315,fr,v
ici,0.08925263083904525,fr,v
chose,0.08355565440251045,fr,v
aller,0.08070716618424305,fr,v
croire,0.07880817403873144,fr,v
avoir,0.07690918189321984,fr,v
erica,0.0741007360342206,fr,v
non,0.07311119760219664,fr,v
hobbe,0.07014081870371244,fr,v
navette,0.06918640071274366,fr,v
bon,0.06551522902015024,fr,v
pouvoir,0.06456573294739444,fr,v
chad,0.06325240015547173,fr,v
trouver,0.061717244729127034,fr,v
lisa,0.06051288481618499,fr,v
besoin,0.056969764365348036,fr,v
anna,0.05662979451040172,fr,v
oui,0.05507077221983643,fr,v
vie,0.05412127614708063,fr,v
mr,0.05222228400156903,fr,v
mme,0.05222228400156903,fr,v
lzard,0.05211287385942091,fr,v
ryan,0.05205721402775592,fr,v
appeler,0.05127278792881323,fr,v
jamais,0.05127278792881323,fr,v
parker,0.050128793901372,fr,v
falkner,0.04868193963091541,fr,v
arriver,0.04842429971054583,fr,v
falloir,0.047474803637790025,fr,v
aider,0.04652530756503423,fr,v
fbi,0.04566068738887642,fr,v
monde,0.04557581149227843,fr,v
peur,0.04557581149227843,fr,v
prendre,0.044626315419522625,fr,v
temps,0.044626315419522625,fr,v
passer,0.04367681934676682,fr,v
vivre,0.04367681934676682,fr,v
pre,0.04367681934676682,fr,v
v,0.04172493216491967,fr,v
bord,0.04152559010808802,fr,v
arme,0.04082833112849942,fr,v
stre,0.03998179511674493,fr,v
entrept,0.0392416370464136,fr,v
apr,0.038929338982987824,fr,v
message,0.038929338982987824,fr,v
penser,0.03797984291023202,fr,v
paix,0.037565869036122204,fr,v
partir,0.03703034683747622,fr,v
confiance,0.036080850764720424,fr,v
dire,0.036080850764720424,fr,v
jour,0.036080850764720424,fr,v
tuer,0.036080850764720424,fr,v
t,0.036080850764720424,fr,v
vraiment,0.036080850764720424,fr,v
tactactac,0.035744965789205344,fr,v
ambassadeur,0.0355420547689009,fr,v
terroriste,0.03550605262206073,fr,v
ami,0.03513135469196462,fr,v
val,0.03443902282115653,fr,v
fois,0.03418185861920882,fr,v
beaucoup,0.03418185861920882,fr,v
trop,0.033232362546453016,fr,v
nouveau,0.033232362546453016,fr,v
m,0.033232362546453016,fr,v
plan,0.032807802697793674,fr,v
programme,0.03267328216003958,fr,v
may,0.03250269787703088,fr,v
l,0.03228286647369722,fr,v
quelqu,0.03228286647369722,fr,v
pass,0.03133337040094142,fr,v
raison,0.03133337040094142,fr,v
fils,0.03133337040094142,fr,v
s,0.03133337040094142,fr,v
appel,0.03038387432818562,fr,v
homme,0.03038387432818562,fr,v
famille,0.03038387432818562,fr,v
agent,0.029850647207635982,fr,v
mal,0.029434378255429817,fr,v
timbal,0.029209163778549246,fr,v
soldat,0.029055552977191635,fr,v
dal,0.028998919393595477,fr,v
centre,0.028901057034061716,fr,v
dieu,0.028484882182674018,fr,v
perdre,0.028484882182674018,fr,v
être,0.028484882182674018,fr,v
sr,0.028484882182674018,fr,v
question,0.026585890037162416,fr,v
entendre,0.026585890037162416,fr,v
heure,0.026585890037162416,fr,v
paroissien,0.02635572390839658,fr,v
groupe,0.02626425540192945,fr,v
technologie,0.026109113156364994,fr,v
rester,0.02584397723594267,fr,v
dsol,0.025636393964406614,fr,v
fait,0.025636393964406614,fr,v
grand,0.025636393964406614,fr,v
mort,0.025636393964406614,fr,v
scurit,0.025088319710077512,fr,v
batitude,0.02486339038067285,fr,v
nom,0.024686897891650815,fr,v
problme,0.024686897891650815,fr,v
mettre,0.024686897891650815,fr,v
soin,0.024515747018814725,fr,v
sutton,0.02416447934902293,fr,v
ambassade,0.023958759215939183,fr,v
motion,0.023833760287243263,fr,v
accord,0.023737401818895013,fr,v
aujourd,0.023737401818895013,fr,v
chercher,0.023737401818895013,fr,v
traqueur,0.023624193928444427,fr,v
test,0.022921527992531707,fr,v
arrter,0.022787905746139214,fr,v
chance,0.022787905746139214,fr,v
femme,0.022787905746139214,fr,v
jack,0.02265757232133806,fr,v
faux,0.022193513589683952,fr,v
soir,0.022015239867654867,fr,v
hier,0.022015239867654867,fr,v
rsistance,0.02198485206572144,fr,v
trouv,0.02183840967338341,fr,v
important,0.02183840967338341,fr,v
parl,0.02183840967338341,fr,v
