mot,poids_tfidf,langue,serie
s,0.515524679471427,en,24
know,0.27707456457040164,en,24
ctu,0.24681641470408072,en,24
go,0.2342547791636197,en,24
t,0.212867687197932,en,24
need,0.17766334818404952,en,24
right,0.17583928916778618,en,24
get,0.1638461011358547,en,24
want,0.1613380199884926,en,24
m,0.15148810130067056,en,24
tell,0.15016565851387964,en,24
bauer,0.12029432960355413,en,24
think,0.11783421245061189,en,24
let,0.10935233802498735,en,24
come,0.10743707605791085,en,24
jack,0.10359094631553116,en,24
find,0.09480546737028721,en,24
time,0.08381551179730057,en,24
talk,0.08335949704323473,en,24
man,0.0814898365515648,en,24
good,0.08130743064993846,en,24
chloe,0.07902558197565752,en,24
president,0.07695485052154673,en,24
work,0.0759720580273682,en,24
sir,0.07487494062101684,en,24
look,0.07341837540459951,en,24
thank,0.0720959326178086,en,24
say,0.07100149720805059,en,24
palmer,0.06999402961161154,en,24
way,0.06552932015926057,en,24
try,0.06548371868385398,en,24
agent,0.06491608579642263,en,24
people,0.06338605081515114,en,24
minute,0.0626080813384824,en,24
help,0.0621092095037668,en,24
kill,0.061744397700514125,en,24
happen,0.059145113602338865,en,24
tony,0.058013165128326875,en,24
starkwood,0.05690359466137724,en,24
phone,0.05673692002461233,en,24
sure,0.054539364586273925,en,24
sorry,0.04792715065231931,en,24
take,0.046422301963902055,en,24
understand,0.04327580016084779,en,24
leave,0.04313899573462804,en,24
stop,0.04309339425922146,en,24
thing,0.04250057507893587,en,24
renee,0.04138406689804724,en,24
team,0.040580880890813395,en,24
faye,0.040250574163926855,en,24
hear,0.03976448655454086,en,24
terrorist,0.03940441224653341,en,24
dubaku,0.03910658563148148,en,24
hold,0.03898065563511974,en,24
believe,0.038442043767749935,en,24
mean,0.03784922458746435,en,24
ask,0.037530014259618265,en,24
long,0.03680039065311293,en,24
soon,0.03654436465792475,en,24
country,0.036170535076673414,en,24
hodge,0.0358118112647795,en,24
hour,0.035660353767948336,en,24
wait,0.035660353767948336,en,24
salazar,0.03558570968132323,en,24
fine,0.03475162224074354,en,24
logan,0.034603184114026714,en,24
stay,0.03429230950575083,en,24
win,0.03365388885005866,en,24
speak,0.03319787409599283,en,24
listen,0.03301546819436649,en,24
canister,0.03268216493927883,en,24
send,0.03226936350926186,en,24
audrey,0.03141112663589206,en,24
attack,0.031370148336528174,en,24
bring,0.030872198850257063,en,24
cip,0.030626753729233205,en,24
order,0.02974835337082879,en,24
call,0.029549756063466142,en,24
bomb,0.029315593479570367,en,24
saunder,0.029232394325726368,en,24
today,0.029230545735620055,en,24
buchanan,0.02916901977675117,en,24
ramn,0.02911698417920058,en,24
dead,0.028820132456960804,en,24
life,0.028181711801268633,en,24
start,0.02813611032586205,en,24
give,0.028090508850455467,en,24
run,0.027588892620983047,en,24
security,0.02731927979997423,en,24
weapon,0.026484149302630412,en,24
ok,0.02642804088397945,en,24
ready,0.026357652785005292,en,24
amador,0.02622717120195165,en,24
sherry,0.025833978791252602,en,24
away,0.025217615899840704,en,24
room,0.02489840557199462,en,24
drazen,0.024587973001829674,en,24
file,0.02450448968036513,en,24
head,0.024351187867115615,en,24
deal,0.024316942017663136,en,24
clear,0.024305586391709034,en,24
hand,0.02425998491630245,en,24
die,0.023803970162236614,en,24
virus,0.023766685431451946,en,24
car,0.02368159382087058,en,24
sentox,0.023651288316045682,en,24
line,0.023439158358983945,en,24
place,0.023302353932764194,en,24
d,0.023256752457357612,en,24
father,0.02293681451489136,en,24
maybe,0.022755136227885192,en,24
daughter,0.022513862370137316,en,24
walker,0.022354634984011044,en,24
lose,0.02234472294922594,en,24
open,0.02211671557219302,en,24
target,0.021972487430274374,en,24
set,0.021963737535471723,en,24
problem,0.021888708195160103,en,24
see,0.02156949786731402,en,24
trust,0.02151290900617457,en,24
bill,0.021437042327848557,en,24
second,0.021387091965687687,en,24
son,0.021237102480454385,en,24
teri,0.021029043924467784,en,24
ago,0.020976678687028433,en,24
care,0.020885475736215266,en,24
almeida,0.020841234258693723,en,24
wrong,0.020748671309995515,en,24
office,0.020712638561932197,en,24
excuse,0.020247055080523095,en,24
nuclear,0.020175822325669435,en,24
government,0.020175298830046005,en,24
information,0.020156594573692403,en,24
ring,0.02015220063944737,en,24
meet,0.020064649178896762,en,24
copy,0.019838804564690674,en,24
evidence,0.019761519918391618,en,24
check,0.01974543885105068,en,24
well,0.019608634424830927,en,24
contact,0.01943646753525758,en,24
senator,0.019399621999275966,en,24
hell,0.019198221146171673,en,24
plan,0.019076618028979586,en,24
wife,0.018924612293732174,en,24
access,0.01887664617159498,en,24
day,0.018833409342919008,en,24
safe,0.018627473606032983,en,24
chance,0.018422996064259754,en,24
stand,0.01837739458885317,en,24
operation,0.018309388208293073,en,24
year,0.01824059016263342,en,24
lead,0.018025092618773206,en,24
cover,0.01793241862073324,en,24
pull,0.017881456417525445,en,24
brother,0.017830176883974168,en,24
door,0.017830176883974168,en,24
lot,0.017784575408567586,en,24
turn,0.017738973933161,en,24
use,0.017693372457754417,en,24
building,0.017656242913897755,en,24
guy,0.017421778874658466,en,24
position,0.01731975356846002,en,24
bioweapon,0.0172284654565293,en,24
protect,0.017095588438734974,en,24
question,0.01705495180206225,en,24
jona,0.01704251337475327,en,24
job,0.017009350326655664,en,24
point,0.01669013999880958,en,24
wanna,0.016495971651113786,en,24
lie,0.016370929670963496,en,24
feel,0.01632532819555691,en,24
recording,0.01632175827889339,en,24
follow,0.01627258501749102,en,24
course,0.01627258501749102,en,24
far,0.01614292229393058,en,24
dad,0.016078938659933942,en,24
little,0.016006117867710827,en,24
secure,0.01596562036300512,en,24
curtis,0.015955814347942774,en,24
system,0.01594757424481088,en,24
janis,0.015727777497261453,en,24
tarin,0.01568946848688179,en,24
able,0.01555010311364499,en,24
control,0.015430220673654186,en,24
family,0.01541329868742524,en,24
alive,0.015399197686043763,en,24
kind,0.015230892785798906,en,24
satellite,0.015222249165561677,en,24
reza,0.015221126143989799,en,24
plane,0.01519126490012544,en,24
involve,0.015105861680514308,en,24
close,0.015094088359579155,en,24
moss,0.014992019599903143,en,24
area,0.01484972074630127,en,24
