mot,poids_tfidf,langue,serie
hopper,0.523041663372333,fr,daybreak
c,0.4099607633691378,fr,daybreak
garza,0.22486155596585866,fr,daybreak
savoir,0.20893753191013972,fr,daybreak
garzer,0.1977335654889345,fr,daybreak
j,0.19574703115823697,fr,daybreak
vouloir,0.13296024757917982,fr,daybreak
non,0.12821166730849484,fr,daybreak
taire,0.12768404727841873,fr,daybreak
n,0.1213526069175054,fr,daybreak
bien,0.11976974682727706,fr,daybreak
booth,0.11966712171109727,fr,daybreak
dominguer,0.1109123307361118,fr,daybreak
chad,0.1081488113051356,fr,daybreak
brett,0.10202802065700065,fr,daybreak
oui,0.10024780571446099,fr,daybreak
faire,0.09497160541369988,fr,daybreak
alberto,0.09331246910713763,fr,daybreak
aller,0.08547444487232989,fr,daybreak
mme,0.07914300451141656,fr,daybreak
croire,0.07808776445126435,fr,daybreak
detweiler,0.07473741857720725,fr,daybreak
t,0.07122870406027491,fr,daybreak
voir,0.0707010840301988,fr,daybreak
damien,0.06894486720702393,fr,daybreak
ici,0.06859060390989435,fr,daybreak
devoir,0.06859060390989435,fr,daybreak
chose,0.06700774381966602,fr,daybreak
inspecteur,0.06660506769812873,fr,daybreak
accord,0.06595250375951381,fr,daybreak
meurtre,0.06482163071571513,fr,daybreak
affaire,0.05698296324821993,fr,daybreak
appeler,0.055927723188067706,fr,daybreak
falloir,0.054344863097839376,fr,daybreak
llorn,0.05410357596883503,fr,daybreak
fencik,0.05410357596883503,fr,daybreak
flic,0.05402954256911203,fr,daybreak
tre,0.052762003007611046,fr,daybreak
torrer,0.05236586720353892,fr,daybreak
venir,0.05223438297753493,fr,daybreak
avoir,0.051179142917382715,fr,daybreak
journe,0.04946598207557972,fr,daybreak
bon,0.04906866279707827,fr,daybreak
shelten,0.04869321837195152,fr,daybreak
passer,0.04854104276700216,fr,daybreak
buchalter,0.04733369843223125,fr,daybreak
jour,0.04643056264669772,fr,daybreak
nitzberg,0.045988039573509776,fr,daybreak
prendre,0.04484770255646939,fr,daybreak
trouver,0.04484770255646939,fr,daybreak
dire,0.04484770255646939,fr,daybreak
spivak,0.04328286077506802,fr,daybreak
m,0.04326484246624106,fr,daybreak
aujourd,0.04273722243616494,fr,daybreak
baxter,0.04255299967211053,fr,daybreak
disciple,0.04210335926483602,fr,daybreak
andreer,0.040968508102674064,fr,daybreak
ouai,0.040540648709211154,fr,daybreak
eddie,0.03899809499666331,fr,daybreak
pouvoir,0.03798864216547995,fr,daybreak
quelqu,0.03746102213540384,fr,daybreak
besoin,0.03693340210532773,fr,daybreak
jamais,0.03640578207525162,fr,daybreak
vraiment,0.03587816204517551,fr,daybreak
pre,0.0353505420150994,fr,daybreak
shelton,0.035091906932813124,fr,daybreak
jen,0.034677365115681515,fr,daybreak
procureur,0.03431280706919089,fr,daybreak
homme,0.03429530195494718,fr,daybreak
heure,0.03429530195494718,fr,daybreak
fois,0.03376768192487107,fr,daybreak
temps,0.03376768192487107,fr,daybreak
arriver,0.03376768192487107,fr,daybreak
petit,0.033240061894794955,fr,daybreak
dossier,0.03211972543980145,fr,daybreak
sortir,0.031657201804566625,fr,daybreak
pass,0.031129581774490517,fr,daybreak
arme,0.031129581774490517,fr,daybreak
appel,0.031129581774490517,fr,daybreak
type,0.03051555345328937,fr,daybreak
sablier,0.028891512939883544,fr,daybreak
truc,0.02872218314065919,fr,daybreak
trouv,0.028491481624109964,fr,daybreak
penser,0.027963861594033853,fr,daybreak
dsol,0.02743624156395774,fr,daybreak
nom,0.02743624156395774,fr,daybreak
forasz,0.027051787984417514,fr,daybreak
s,0.02585338147372941,fr,daybreak
arrte,0.02585338147372941,fr,daybreak
dodger,0.02572838063486596,fr,daybreak
demain,0.024467044897598572,fr,daybreak
matin,0.024467044897598572,fr,daybreak
aider,0.02427052138350108,fr,daybreak
femme,0.02427052138350108,fr,daybreak
attend,0.023935152617215995,fr,daybreak
paquet,0.023825920959068915,fr,daybreak
nuit,0.02374290135342497,fr,daybreak
soeur,0.023447708759592577,fr,daybreak
sr,0.02321528132334886,fr,daybreak
rita,0.022989058485999143,fr,daybreak
skinhead,0.022939169245414268,fr,daybreak
soir,0.02287136805645084,fr,daybreak
voiture,0.022705323155721713,fr,daybreak
air,0.022687661293272748,fr,daybreak
mourir,0.022687661293272748,fr,daybreak
hier,0.02233947577606826,fr,daybreak
police,0.022331151199611977,fr,daybreak
entendre,0.02216004126319664,fr,daybreak
veux,0.02216004126319664,fr,daybreak
fait,0.02216004126319664,fr,daybreak
randall,0.021881042498236962,fr,daybreak
aimer,0.02163242123312053,fr,daybreak
empreinte,0.021442740554890496,fr,daybreak
isabeller,0.021346982879856344,fr,daybreak
coup,0.021275691215303105,fr,daybreak
billy,0.02121971794494676,fr,daybreak
aide,0.021104801203044418,fr,daybreak
apr,0.021104801203044418,fr,daybreak
frre,0.021104801203044418,fr,daybreak
gars,0.020911776856913762,fr,daybreak
sai,0.020577181172968306,fr,daybreak
question,0.020577181172968306,fr,daybreak
margo,0.020416078305454024,fr,daybreak
tai,0.02021190665453795,fr,daybreak
contrer,0.020062732998360425,fr,daybreak
an,0.019521941112816087,fr,daybreak
mal,0.019521941112816087,fr,daybreak
famille,0.019521941112816087,fr,daybreak
mettre,0.019521941112816087,fr,daybreak
partenaire,0.019339804051761486,fr,daybreak
arriv,0.018994321082739976,fr,daybreak
partir,0.018994321082739976,fr,daybreak
rambis,0.01893625158909226,fr,daybreak
