mot,poids_tfidf,langue,serie
michael,0.1320058339893893,fr,burnnotice
tre,0.1135329527823574,fr,burnnotice
westen,0.1133614274167414,fr,burnnotice
taire,0.1120408829130552,fr,burnnotice
besoin,0.0902024057350868,fr,burnnotice
ici,0.0861331242733535,fr,burnnotice
mike,0.0795084736394043,fr,burnnotice
sam,0.073126660274687,fr,burnnotice
miami,0.0701508879482964,fr,burnnotice
ouai,0.0698992661554087,fr,burnnotice
ami,0.0676857149801628,fr,burnnotice
mme,0.0652441461031229,fr,burnnotice
argent,0.0648372179569496,fr,burnnotice
voiture,0.0637818402647307,fr,burnnotice
petit,0.0613105073567808,fr,burnnotice
appeler,0.0550709424487898,fr,burnnotice
quelqu,0.0549352997333987,fr,burnnotice
gars,0.0537608512723737,fr,burnnotice
problme,0.0535788725794876,fr,burnnotice
heure,0.0501878046947099,fr,burnnotice
notice,0.048215711310895,fr,burnnotice
fioner,0.0478911919662294,fr,burnnotice
trs,0.0450333815098478,fr,burnnotice
tuer,0.0447620960790656,fr,burnnotice
arme,0.0434056689251545,fr,burnnotice
mec,0.0430737799718393,fr,burnnotice
agent,0.0423498175856912,fr,burnnotice
travailler,0.0416423136250701,fr,burnnotice
affaire,0.041506670909679,fr,burnnotice
espion,0.0406218300038666,fr,burnnotice
sortir,0.0398789583249857,fr,burnnotice
nom,0.0385225311710746,fr,burnnotice
burn,0.0385183301769101,fr,burnnotice
aider,0.0381156030249013,fr,burnnotice
fait,0.037708674878728,fr,burnnotice
subber,0.0371578979792643,fr,burnnotice
boulot,0.0361162641881074,fr,burnnotice
mieux,0.0359453195786436,fr,burnnotice
scurit,0.0357027191783199,fr,burnnotice
aimer,0.0340463215631681,fr,burnnotice
nouveau,0.0340463215631681,fr,burnnotice
flic,0.0335678281689353,fr,burnnotice
maison,0.032689894409257,fr,burnnotice
travail,0.0322829662630837,fr,burnnotice
veux,0.0316047526861281,fr,burnnotice
apr,0.031469109970737,fr,burnnotice
fbi,0.0305764476765868,fr,burnnotice
secret,0.0304332789026531,fr,burnnotice
mal,0.030248325532217,fr,burnnotice
aide,0.0301126828168259,fr,burnnotice
voil,0.0301126828168259,fr,burnnotice
coup,0.0299462884113395,fr,burnnotice
appel,0.0298413973860437,fr,burnnotice
famille,0.0297057546706526,fr,burnnotice
attendre,0.0284849702321326,fr,burnnotice
virgil,0.0278533061924162,fr,burnnotice
bly,0.0275397818018072,fr,burnnotice
dsol,0.0271285430782216,fr,burnnotice
strickler,0.0271228787763427,fr,burnnotice
carla,0.0269991622320651,fr,burnnotice
nat,0.0263891591601419,fr,burnnotice
gros,0.0261790440704838,fr,burnnotice
accord,0.0255008304935283,fr,burnnotice
chance,0.0253651877781371,fr,burnnotice
fille,0.0253651877781371,fr,burnnotice
police,0.0249732790460627,fr,burnnotice
compte,0.0249582596319638,fr,burnnotice
ville,0.0248127005872494,fr,burnnotice
regarder,0.0241444033396172,fr,burnnotice
essayer,0.0241444033396172,fr,burnnotice
trouv,0.0236018324780527,fr,burnnotice
garde,0.0233305470472705,fr,burnnotice
finir,0.0229236189010972,fr,burnnotice
meilleur,0.0229236189010972,fr,burnnotice
doug,0.0225843857864917,fr,burnnotice
air,0.0223810480395328,fr,burnnotice
mort,0.0223810480395328,fr,burnnotice
lucio,0.0222546697652043,fr,burnnotice
pass,0.0222454053241417,fr,burnnotice
parl,0.0222454053241417,fr,burnnotice
grand,0.0221097626087506,fr,burnnotice
porte,0.0219741198933594,fr,burnnotice
duman,0.0217756414246848,fr,burnnotice
sai,0.0212959063164039,fr,burnnotice
fils,0.0208889781702306,fr,burnnotice
tlphone,0.0205458258620207,fr,burnnotice
bureau,0.0203364731670323,fr,burnnotice
rufino,0.0201682944747164,fr,burnnotice
skachou,0.0201682944747164,fr,burnnotice
mourir,0.0198038364471017,fr,burnnotice
bateau,0.0194477170493181,fr,burnnotice
payer,0.019436615460012,fr,burnnotice
endroit,0.0192804870593555,fr,burnnotice
vrai,0.0191256228701462,fr,burnnotice
donne,0.0189899801547551,fr,burnnotice
evelyn,0.0188994135624456,fr,burnnotice
attend,0.0188702639304331,fr,burnnotice
vieux,0.018854337439364,fr,burnnotice
barry,0.0186365788394918,fr,burnnotice
facile,0.0185967818444848,fr,burnnotice
raison,0.0185830520085817,fr,burnnotice
plan,0.0184716771038412,fr,burnnotice
nate,0.0184197119272213,fr,burnnotice
dollar,0.0183659452997532,fr,burnnotice
disanto,0.0180819191842285,fr,burnnotice
vol,0.0180581320940537,fr,burnnotice
dur,0.0180498176725882,fr,burnnotice
grill,0.0180108959334221,fr,burnnotice
pote,0.0179315732474895,fr,burnnotice
tirer,0.0179048384316262,fr,burnnotice
laisse,0.0174979102854529,fr,burnnotice
main,0.0174979102854529,fr,burnnotice
coute,0.0174979102854529,fr,burnnotice
question,0.0174979102854529,fr,burnnotice
devenir,0.0174979102854529,fr,burnnotice
timo,0.0173864607540658,fr,burnnotice
apprendre,0.0173622675700618,fr,burnnotice
garder,0.0173622675700618,fr,burnnotice
client,0.0173516613719151,fr,burnnotice
chercher,0.0170909821392796,fr,burnnotice
utiliser,0.0170909821392796,fr,burnnotice
opration,0.0169651528616365,fr,burnnotice
balle,0.0169509403355174,fr,burnnotice
occuper,0.0166840539931062,fr,burnnotice
pyne,0.0166519610894648,fr,burnnotice
tte,0.0165484112777151,fr,burnnotice
tai,0.0165456661998725,fr,burnnotice
amie,0.0165418003914996,fr,burnnotice
