mot,poids_tfidf,langue,serie
eliot,0.1459237728382524,en,leverage
nate,0.1386662147198563,en,leverage
parker,0.1120567527411083,en,leverage
sophie,0.0858792204492535,en,leverage
money,0.079275985374545,en,leverage
work,0.0790721910676696,en,leverage
little,0.058285171766375,en,leverage
talk,0.0503371937982329,en,leverage
help,0.048503045036354,en,leverage
run,0.0413702442957137,en,leverage
bad,0.0397398898407102,en,leverage
steal,0.0396482250236628,en,leverage
sure,0.038720918306333,en,leverage
car,0.0379915935161824,en,leverage
company,0.0367391234002643,en,leverage
happen,0.0350526207825751,en,leverage
check,0.0334222663275716,en,leverage
play,0.0324032947931945,en,leverage
pay,0.0322527011850521,en,leverage
job,0.032199500486319,en,leverage
sterling,0.0315389566893204,en,leverage
kill,0.0303653517244401,en,leverage
hear,0.0301615574175647,en,leverage
big,0.0297875265721819,en,leverage
security,0.0280102888159881,en,leverage
moscone,0.0279527006251125,en,leverage
room,0.027512231428184,en,leverage
hell,0.0273084371213085,en,leverage
start,0.0271046428144331,en,leverage
second,0.0271046428144331,en,leverage
great,0.0271046428144331,en,leverage
fine,0.0269114895238333,en,leverage
business,0.0262951958706157,en,leverage
problem,0.025678082666305,en,leverage
meet,0.0252704940525542,en,leverage
duberman,0.0251164250189096,en,leverage
like,0.0250666997456787,en,leverage
office,0.02484976597034,en,leverage
away,0.0246591111319278,en,leverage
stop,0.0244553168250524,en,leverage
kadjic,0.0240699073097883,en,leverage
break,0.0240354524754847,en,leverage
course,0.0240354524754847,en,leverage
buy,0.0238439339044261,en,leverage
new,0.0236401395975507,en,leverage
plan,0.0236245900400063,en,leverage
place,0.0230287566769244,en,leverage
widmark,0.0230233896006671,en,leverage
bring,0.0226211680631735,en,leverage
steranko,0.0219768718915459,en,leverage
deal,0.0217757090803536,en,leverage
lose,0.0213984022219209,en,leverage
nice,0.0213984022219209,en,leverage
real,0.0213984022219209,en,leverage
friend,0.0213984022219209,en,leverage
bank,0.0213756798802595,en,leverage
phone,0.0212526571668313,en,leverage
long,0.0211946079150454,en,leverage
kid,0.021083246951288,en,leverage
use,0.02099081360817,en,leverage
kerrity,0.0209303541824246,en,leverage
kirkwood,0.0208209399776161,en,leverage
maggie,0.0206000507367321,en,leverage
stay,0.0201756363806682,en,leverage
thief,0.0201604707737028,en,leverage
cop,0.0199310511563538,en,leverage
foss,0.0199156817177198,en,leverage
castleman,0.0198838364733034,en,leverage
blackpoole,0.0198838364733034,en,leverage
vioplex,0.0198838364733034,en,leverage
police,0.0197718632096193,en,leverage
win,0.0195642534600419,en,leverage
haldeman,0.0192777245690431,en,leverage
door,0.019156664846291,en,leverage
case,0.0189528705394156,en,leverage
set,0.018637324477755,en,leverage
hoffman,0.018560811329333,en,leverage
clear,0.0185452819256647,en,leverage
head,0.0185452819256647,en,leverage
believe,0.0183414876187893,en,leverage
love,0.0183414876187893,en,leverage
actually,0.0181376933119139,en,leverage
hour,0.0181376933119139,en,leverage
rucker,0.0181051651979271,en,leverage
hand,0.0179338990050384,en,leverage
life,0.0179338990050384,en,leverage
camera,0.0178164042108657,en,leverage
wrong,0.017730104698163,en,leverage
sensor,0.0176538174808249,en,leverage
diamond,0.0176404119269899,en,leverage
system,0.0176054285471791,en,leverage
old,0.0173225160844121,en,leverage
horse,0.0171892203047276,en,leverage
care,0.0171187217775367,en,leverage
hit,0.0171187217775367,en,leverage
exactly,0.0169149274706612,en,leverage
bonanno,0.0167442833459397,en,leverage
turn,0.0167111331637858,en,leverage
month,0.0167111331637858,en,leverage
home,0.0167111331637858,en,leverage
school,0.0166996015455746,en,leverage
state,0.0166996015455746,en,leverage
trust,0.016639928636874,en,leverage
team,0.0165448605624093,en,leverage
close,0.0165073388569104,en,leverage
understand,0.0165073388569104,en,leverage
suppose,0.0165073388569104,en,leverage
manticore,0.0163860658836866,en,leverage
cash,0.0163809481906187,en,leverage
high,0.0163594292638071,en,leverage
hard,0.0163035445500349,en,leverage
week,0.0160997502431595,en,leverage
remember,0.0160997502431595,en,leverage
end,0.0160997502431595,en,leverage
pretty,0.0160236349836564,en,leverage
send,0.0160236349836564,en,leverage
prison,0.0159297328495173,en,leverage
family,0.0158959559362841,en,leverage
control,0.0157381851145486,en,leverage
dubenich,0.0156977656368185,en,leverage
bit,0.0156921616294086,en,leverage
quint,0.0156299088053182,en,leverage
story,0.0156127725481781,en,leverage
number,0.0156127725481781,en,leverage
game,0.0156127725481781,en,leverage
sell,0.0156127725481781,en,leverage
mayor,0.0155651163090056,en,leverage
idea,0.0154883673225332,en,leverage
coltan,0.0154221796552344,en,leverage
con,0.0152951398403931,en,leverage
open,0.0152845730156577,en,leverage
safe,0.0151169409652901,en,leverage
pick,0.0150807787087823,en,leverage
house,0.0148769844019069,en,leverage
miss,0.0148769844019069,en,leverage
vault,0.0145997602087007,en,leverage
gun,0.0145396919044823,en,leverage
damn,0.0144956968160316,en,leverage
boy,0.014469395788156,en,leverage
wakefield,0.0144582934267823,en,leverage
moto,0.0144582934267823,en,leverage
account,0.0144237245928696,en,leverage
record,0.0142886154329455,en,leverage
world,0.0142656014812806,en,leverage
government,0.0142487136830839,en,leverage
fowler,0.0140599106726058,en,leverage
walk,0.0138580128675297,en,leverage
casten,0.013604730218576,en,leverage
moreau,0.0135788738984453,en,leverage
tara,0.013502697019438,en,leverage
file,0.0133603749509624,en,leverage
congressman,0.013305847054425,en,leverage
cut,0.0131475979353078,en,leverage
father,0.0130461271344285,en,leverage
today,0.0130428356400279,en,leverage
cause,0.0128390413331525,en,leverage
ready,0.0128390413331525,en,leverage
hare,0.0128303269929522,en,leverage
son,0.0127367354998295,en,leverage
floor,0.0127367354998295,en,leverage
ago,0.0126352470262771,en,leverage
retze,0.0125582125094548,en,leverage
pallagen,0.0125582125094548,en,leverage
tomorrow,0.0125313042820903,en,leverage
dead,0.0124314527194016,en,leverage
drink,0.0123258730643511,en,leverage
hack,0.0123083387213424,en,leverage
client,0.0123051134440473,en,leverage
fake,0.0122411783082068,en,leverage
die,0.0122276584125262,en,leverage
clean,0.0122276584125262,en,leverage
dad,0.0122178016020838,en,leverage
alarm,0.0120840909088184,en,leverage
mark,0.0120701723509822,en,leverage
guess,0.0120238641056507,en,leverage
question,0.0120238641056507,en,leverage
baby,0.0120107202189976,en,leverage
line,0.0118200697987753,en,leverage
probably,0.0118200697987753,en,leverage
easy,0.0118200697987753,en,leverage
computer,0.0117960445515448,en,leverage
whoa,0.0117740622439695,en,leverage
hannity,0.0117683573786526,en,leverage
david,0.0117683573786526,en,leverage
figure,0.0117095794111335,en,leverage
drake,0.0116999355460382,en,leverage
lie,0.0116162754918999,en,leverage
brother,0.0116162754918999,en,leverage
whitman,0.0115973037646147,en,leverage
card,0.0115154807704376,en,leverage
pull,0.0115041481933943,en,leverage
leverage,0.0114600671336347,en,leverage
cellphone,0.0114369100027111,en,leverage
insurance,0.0114325515018147,en,leverage
catch,0.0114124811850244,en,leverage
doyle,0.0113422654963279,en,leverage
blow,0.0112987169756552,en,leverage
couple,0.0112987169756552,en,leverage
lock,0.0112722310432629,en,leverage
sit,0.011208686878149,en,leverage
watch,0.011208686878149,en,leverage
night,0.011208686878149,en,leverage
girl,0.011208686878149,en,leverage
worth,0.0111523844538817,en,leverage
shut,0.011093285757916,en,leverage
town,0.0110634860239432,en,leverage
motion,0.0109083648923049,en,leverage
blackwell,0.0108630991187562,en,leverage
bomb,0.0108027629502386,en,leverage
embassy,0.0107898740670983,en,leverage
save,0.0105973039575227,en,leverage
sound,0.0105973039575227,en,leverage
live,0.0105973039575227,en,leverage
write,0.0105211174093224,en,leverage
code,0.0104771309311711,en,leverage
stuff,0.0104769921046984,en,leverage
earnshaw,0.0104651770912123,en,leverage
honor,0.0104268225769052,en,leverage
fast,0.0103935096506472,en,leverage
change,0.0103935096506472,en,leverage
secret,0.0103106950611359,en,leverage
move,0.0101897153437718,en,leverage
mind,0.0099859210368964,en,leverage
sign,0.0099859210368964,en,leverage
drive,0.0099859210368964,en,leverage
food,0.0099859210368964,en,leverage
building,0.0099693390568363,en,leverage
devereaux,0.0099578408588599,en,leverage
scam,0.0099265422105918,en,leverage
payout,0.0098780631821799,en,leverage
luka,0.0098715213507273,en,leverage
fund,0.0098694729977997,en,leverage
news,0.0098606984514809,en,leverage
perfect,0.0098606984514809,en,leverage
mob,0.0098527251457612,en,leverage
grifter,0.0097492844857894,en,leverage
report,0.0097328250050498,en,leverage
crew,0.0096097500241734,en,leverage
late,0.0095783324231455,en,leverage
bar,0.009560021771684,en,leverage
comms,0.0095391426200336,en,leverage
stall,0.0095061307066194,en,leverage
scheherazade,0.0094186593820911,en,leverage
gitt,0.0094186593820911,en,leverage
country,0.0094080359381944,en,leverage
alexander,0.0093980174126706,en,leverage
truth,0.0093745381162701,en,leverage
local,0.0093480703256897,en,leverage
law,0.0093329982659744,en,leverage
cool,0.009184780850066,en,leverage
drop,0.0091707438093946,en,leverage
speak,0.0091707438093946,en,leverage
eye,0.0091707438093946,en,leverage
gloria,0.0091564712968995,en,leverage
cover,0.0091115808557913,en,leverage
wife,0.0089669495025192,en,leverage
box,0.0089087710720665,en,leverage
rich,0.0089082021054328,en,leverage
hunter,0.0088507524110032,en,leverage
face,0.0088335423627849,en,leverage
rest,0.0088335423627849,en,leverage
elevator,0.0088102849789327,en,leverage
explain,0.0087672908114267,en,leverage
fight,0.0087631551956437,en,leverage
meeting,0.0086966574751125,en,leverage
dollar,0.0086426623979361,en,leverage
show,0.0086281111450457,en,leverage
seriously,0.0086273162756443,en,leverage
evidence,0.0086106931589378,en,leverage
loan,0.008591669497697,en,leverage
statue,0.0085857472122398,en,leverage
server,0.0085631577889608,en,leverage
matter,0.0085593608887683,en,leverage
point,0.0085593608887683,en,leverage
fire,0.0085593608887683,en,leverage
read,0.0085593608887683,en,leverage
access,0.0085257725110093,en,leverage
charge,0.0084903367065328,en,leverage
name,0.0084903367065328,en,leverage
crime,0.0084575413765792,en,leverage
partner,0.0084575413765792,en,leverage
death,0.0084226799273066,en,leverage
jenkin,0.0084087524218632,en,leverage
contract,0.0084062236299744,en,leverage
retzing,0.0083721416729698,en,leverage
genogrow,0.0083721416729698,en,leverage
dufort,0.0083721416729698,en,leverage
peltz,0.0083721416729698,en,leverage
wire,0.0083684362009858,en,leverage
church,0.0083414580615242,en,leverage
agent,0.0083379570045334,en,leverage
welcome,0.0082832553234466,en,leverage
ahead,0.0082832553234466,en,leverage
fall,0.0081517722750174,en,leverage
guard,0.0081038339866493,en,leverage
judge,0.0081038339866493,en,leverage
drug,0.0080391092170979,en,leverage
lawyer,0.0080124076199172,en,leverage
trouble,0.0080118174918282,en,leverage
shoot,0.007947977968142,en,leverage
hot,0.0079323107341479,en,leverage
beat,0.0079323107341479,en,leverage
irina,0.007912117482775,en,leverage
boss,0.0079113029480271,en,leverage
museum,0.0079054237720892,en,leverage
bribe,0.0078897628467978,en,leverage
lead,0.0078690925572743,en,leverage
painting,0.0078658929231395,en,leverage
list,0.0078482030872967,en,leverage
song,0.0078147646874067,en,leverage
follow,0.007806386274089,en,leverage
forget,0.007806386274089,en,leverage
jury,0.0077555501861535,en,leverage
offer,0.0077441836612666,en,leverage
straight,0.0077441836612666,en,leverage
hope,0.0077441836612666,en,leverage
starke,0.0077380458707029,en,leverage
city,0.0077235657148282,en,leverage
eppe,0.0077110898276172,en,leverage
earbud,0.0077110898276172,en,leverage
trial,0.0077083205170781,en,leverage
price,0.0076045627729305,en,leverage
key,0.0076009550563498,en,leverage
vial,0.0075781201995002,en,leverage
air,0.0075752045347121,en,leverage
reason,0.0075403893543911,en,leverage
stand,0.0075403893543911,en,leverage
party,0.0075148206955086,en,leverage
lillian,0.0074950406300264,en,leverage
transfer,0.0074795787601072,en,leverage
absolutely,0.007454929791102,en,leverage
hospital,0.0074239758933887,en,leverage
bill,0.007403960338508,en,leverage
tvsubtitle,0.0073486680120574,en,leverage
penzer,0.0073256239638486,en,leverage
kusen,0.0073256239638486,en,leverage
fastlife,0.0073256239638486,en,leverage
wadata,0.0073256239638486,en,leverage
waterfront,0.0073246129039672,en,leverage
violin,0.0073196224017351,en,leverage
trick,0.0072698459522411,en,leverage
hurley,0.0072420660791708,en,leverage
egg,0.0072411495766492,en,leverage
miracle,0.0072383020259102,en,leverage
hurt,0.0071900926208714,en,leverage
spend,0.0071900926208714,en,leverage
truck,0.0071797960367997,en,leverage
court,0.007170016328763,en,leverage
ass,0.0071543598383392,en,leverage
hire,0.0070651841304105,en,leverage
provide,0.0070113924927178,en,leverage
worry,0.0069846614031323,en,leverage
hang,0.0069846614031323,en,leverage
fraud,0.0069582898935464,en,leverage
hook,0.0069552354695075,en,leverage
plane,0.0069512150512701,en,leverage
mess,0.0069439374901528,en,leverage
wear,0.0068885856375495,en,leverage
promise,0.0068885856375495,en,leverage
clea,0.0068782629961804,en,leverage
realize,0.0068443971263352,en,leverage
payment,0.006835246078411,en,leverage
private,0.0068336856418435,en,leverage
paper,0.0068336856418435,en,leverage
design,0.0067855831239159,en,leverage
mail,0.0067852185413398,en,leverage
herbally,0.006747203599165,en,leverage
arrest,0.0067354698845956,en,leverage
bet,0.0067252121268894,en,leverage
learn,0.0067252121268894,en,leverage
signal,0.0067011429676797,en,leverage
lockdown,0.0066789874829489,en,leverage
black,0.0066283889564552,en,leverage
com,0.0066283889564552,en,leverage
stick,0.0066266042587573,en,leverage
order,0.0066266042587573,en,leverage
bag,0.0066266042587573,en,leverage
lady,0.0065737989676539,en,leverage
build,0.0065737989676539,en,leverage
soon,0.0065737989676539,en,leverage
handle,0.0065230927937799,en,leverage
network,0.0064843917077069,en,leverage
gentleman,0.0064710955989101,en,leverage
outside,0.0064710955989101,en,leverage
gigi,0.006466710827679,en,leverage
screw,0.0064661637594547,en,leverage
coffee,0.0064661637594547,en,leverage
claim,0.0064544394715999,en,leverage
anymore,0.0064195228756711,en,leverage
shop,0.0064028231181845,en,leverage
jail,0.0063840480273003,en,leverage
flight,0.0063840480273003,en,leverage
hate,0.0063683677499147,en,leverage
touch,0.0063683677499147,en,leverage
lundy,0.0063368078192744,en,leverage
mumbai,0.00632969398622,en,leverage
portia,0.00632969398622,en,leverage
lucille,0.00632969398622,en,leverage
ford,0.0063264970321655,en,leverage
true,0.0063176235131385,en,leverage
appreciate,0.0063126704455934,en,leverage
doctor,0.0063126704455934,en,leverage
base,0.0063126704455934,en,leverage
fed,0.0063087929805262,en,leverage
spot,0.0063009234404281,en,leverage
pan,0.0062979987578089,en,leverage
safety,0.0062821481660068,en,leverage
lamond,0.0062791062547274,en,leverage
belbridge,0.0062791062547274,en,leverage
doucherman,0.0062791062547274,en,leverage
vezarat,0.0062791062547274,en,leverage
dude,0.0062560935461431,en,leverage
honest,0.0062506249674729,en,leverage
contact,0.0062506249674729,en,leverage
bunker,0.0062487128222478,en,leverage
password,0.0062294446940694,en,leverage
net,0.0062224898985597,en,leverage
tonight,0.006212441492585,en,leverage
early,0.006212441492585,en,leverage
general,0.0062058425458817,en,leverage
bunch,0.0062007509592645,en,leverage
act,0.0061629365321755,en,leverage
smell,0.0061629365321755,en,leverage
cheat,0.0061308507386275,en,leverage
director,0.00612403495733,en,leverage
small,0.0061138292062631,en,leverage
able,0.0061138292062631,en,leverage
answer,0.0061138292062631,en,leverage
count,0.0061138292062631,en,leverage
wheat,0.0061128275801101,en,leverage
grift,0.0061119904853718,en,leverage
skyler,0.0061119904853718,en,leverage
ruth,0.0060336123817217,en,leverage
andrei,0.0060184801216578,en,leverage
blanchard,0.0060184801216578,en,leverage
pitchy,0.0060184801216578,en,leverage
nevin,0.0060184801216578,en,leverage
water,0.0060053601094988,en,leverage
notice,0.0060053601094988,en,leverage
archie,0.0059873584933332,en,leverage
throw,0.0059575053144363,en,leverage
feed,0.0059575053144363,en,leverage
finish,0.0059575053144363,en,leverage
fiddle,0.0059471932014097,en,leverage
interpol,0.0059411866885527,en,leverage
heat,0.0059280445967788,en,leverage
spoof,0.0059199623884656,en,leverage
morning,0.0059100348993876,en,leverage
expect,0.0059100348993876,en,leverage
eat,0.0059100348993876,en,leverage
chance,0.0059100348993876,en,leverage
different,0.0059100348993876,en,leverage
word,0.0059100348993876,en,leverage
track,0.0058918257492205,en,leverage
grand,0.0058805227358278,en,leverage
fashion,0.0058801373089966,en,leverage
rand,0.0058495706914736,en,leverage
pass,0.0058448605409511,en,leverage
robbery,0.0057987688210021,en,leverage
piece,0.0057982787264126,en,leverage
ceo,0.0057974021815497,en,leverage
smartphone,0.0057833173707129,en,leverage
randy,0.0057777589466606,en,leverage
kimball,0.0057583874545909,en,leverage
later,0.0057520740966971,en,leverage
drunk,0.0057404621059585,en,leverage
far,0.0057062405925122,en,leverage
special,0.0057062405925122,en,leverage
source,0.0057000428815181,en,leverage
sale,0.0056974756921374,en,leverage
accident,0.0056814034010341,en,leverage
convince,0.0056491037741769,en,leverage
ground,0.0056361155216314,en,leverage
seat,0.0056361155216314,en,leverage
art,0.0056040085915274,en,leverage
investment,0.0056001564748378,en,leverage
vargas,0.0055927980261302,en,leverage
agree,0.0055911973433265,en,leverage
short,0.0055911973433265,en,leverage
blue,0.0055641719582758,en,leverage
blind,0.0055641719582758,en,leverage
red,0.0055592939634785,en,leverage
dress,0.0055592939634785,en,leverage
husband,0.005546642878958,en,leverage
picture,0.005546642878958,en,leverage
child,0.005546642878958,en,leverage
investigation,0.0055289936565241,en,leverage
ticket,0.0055196751018832,en,leverage
shareholder,0.0055169558249241,en,leverage
tape,0.0055163044852282,en,leverage
mother,0.0055024462856368,en,leverage
chase,0.0054755635044928,en,leverage
studio,0.0054732862588941,en,leverage
address,0.0054709810528476,en,leverage
white,0.0054318305520932,en,leverage
copy,0.0054281748330718,en,leverage
laser,0.0054241435453342,en,leverage
hostage,0.0054148313101953,en,leverage
marshal,0.0054109087027797,en,leverage
market,0.0053846984280058,en,leverage
entire,0.0053841159602403,en,leverage
book,0.0053841159602403,en,leverage
fun,0.0053841159602403,en,leverage
concert,0.0053756881650206,en,leverage
american,0.0053724658149332,en,leverage
million,0.0053697934360606,en,leverage
federal,0.005351554112836,en,leverage
smart,0.0053412116612188,en,leverage
triad,0.0053204406549731,en,leverage
appropriation,0.0053204406549731,en,leverage
blight,0.0052894553170488,en,leverage
lefty,0.0052894553170488,en,leverage
billy,0.0052807643308066,en,leverage
owe,0.0052605587046612,en,leverage
bickle,0.0052325885456061,en,leverage
trianna,0.0052325885456061,en,leverage
chesler,0.0052325885456061,en,leverage
bellbridge,0.0052325885456061,en,leverage
brander,0.0052325885456061,en,leverage
howorth,0.0052325885456061,en,leverage
pirson,0.0052325885456061,en,leverage
erlick,0.0052325885456061,en,leverage
sport,0.0052226860511259,en,leverage
daughter,0.005218625482992,en,leverage
kick,0.005218625482992,en,leverage
election,0.0051954765721981,en,leverage
alice,0.0051850296101843,en,leverage
bere,0.0051799670899074,en,leverage
information,0.0051770345771541,en,leverage
luck,0.0051770345771541,en,leverage
hide,0.0051770345771541,en,leverage
cora,0.0051586972471353,en,leverage
criminal,0.0051388803447187,en,leverage
hurry,0.0051316559662878,en,leverage
weird,0.0051316559662878,en,leverage
daddy,0.0051190382016137,en,leverage
nikki,0.0051058873654519,en,leverage
scan,0.0050983799467977,en,leverage
person,0.0050948576718859,en,leverage
happy,0.0050948576718859,en,leverage
proof,0.0050781010937325,en,leverage
test,0.0050501363564747,en,leverage
service,0.0050501363564747,en,leverage
arm,0.0050501363564747,en,leverage
cross,0.0050501363564747,en,leverage
fix,0.0050501363564747,en,leverage
contractor,0.0050439478516642,en,leverage
model,0.0050258572257598,en,leverage
video,0.0050160377357359,en,leverage
shot,0.0050098804636724,en,leverage
fair,0.0050098804636724,en,leverage
juror,0.0049819148915728,en,leverage
faith,0.0049758269303158,en,leverage
level,0.004969953194068,en,leverage
crazy,0.004969953194068,en,leverage
burn,0.004969953194068,en,leverage
color,0.0049448374293967,en,leverage
ledger,0.0049390315910899,en,leverage
settle,0.0049359735590053,en,leverage
fly,0.0049178369676925,en,leverage
apartment,0.0049052948745043,en,leverage
tank,0.0048941906642276,en,leverage
connelly,0.0048936982728639,en,leverage
step,0.0048910633650104,en,leverage
terrorist,0.0048831737440017,en,leverage
showcase,0.0048830752693114,en,leverage
train,0.0048786127299412,en,leverage
lieutenant,0.0048733553700739,en,leverage
manager,0.0048649155326871,en,leverage
asset,0.0048416326388745,en,leverage
dog,0.0048397140082883,en,leverage
tie,0.0048397140082883,en,leverage
lucky,0.0048397140082883,en,leverage
attention,0.0048397140082883,en,leverage
investor,0.0048376679578497,en,leverage
pieter,0.0048194311422607,en,leverage
davai,0.0048194311422607,en,leverage
kerrigan,0.0048194311422607,en,leverage
mcintyre,0.0048194311422607,en,leverage
protect,0.0048011354443527,en,leverage
inside,0.0048011354443527,en,leverage
attorney,0.0047927230100843,en,leverage
comm,0.0047898867946665,en,leverage
class,0.004780010885842,en,leverage
mile,0.004780010885842,en,leverage
biotech,0.0047695713100168,en,leverage
sinclair,0.0047695713100168,en,leverage
choice,0.0047628718109818,en,leverage
russian,0.0047569369891876,en,leverage
heist,0.0047520882337232,en,leverage
perry,0.0047520882337232,en,leverage
powerful,0.0047496529789378,en,leverage
wedding,0.0047478964101145,en,leverage
pretend,0.0047418534236001,en,leverage
witness,0.0047418534236001,en,leverage
allright,0.0047141606938208,en,leverage
plant,0.0047116111245051,en,leverage
reverend,0.0046912495943905,en,leverage
frequency,0.0046836658622596,en,leverage
priest,0.0046754150203246,en,leverage
ice,0.0046739044449517,en,leverage
financial,0.0046413165495314,en,leverage
holding,0.0046379217452397,en,leverage
merchandise,0.0046379217452397,en,leverage
double,0.0046292916601018,en,leverage
billion,0.0045823894029817,en,leverage
suit,0.0045627376637583,en,leverage
board,0.0045627376637583,en,leverage
photo,0.0045600343052145,en,leverage
property,0.0045600343052145,en,leverage
return,0.0045557904278956,en,leverage
policy,0.0045472041566398,en,leverage
search,0.0045263146316183,en,leverage
opportunity,0.0045263146316183,en,leverage
sweet,0.004519486790262,en,leverage
present,0.004519486790262,en,leverage
join,0.004519486790262,en,leverage
wish,0.004519486790262,en,leverage
fact,0.004519486790262,en,leverage
body,0.004519486790262,en,leverage
moment,0.004519486790262,en,leverage
dock,0.0044985705412921,en,leverage
voice,0.0044901989705019,en,leverage
cost,0.0044901989705019,en,leverage
target,0.0044741436527084,en,leverage
magic,0.0044741436527084,en,leverage
launder,0.0044645780822498,en,leverage
frs,0.0044627224323312,en,leverage
teach,0.0044543855360332,en,leverage
risk,0.0044543855360332,en,leverage
armored,0.0044516924586334,en,leverage
loose,0.0044513375666206,en,leverage
credit,0.0044513375666206,en,leverage
footage,0.0044424081397682,en,leverage
peal,0.0044399717913492,en,leverage
grow,0.0044188693119154,en,leverage
gym,0.0044051424894663,en,leverage
envelope,0.0043876833050413,en,leverage
sister,0.0043836454057133,en,leverage
table,0.0043836454057133,en,leverage
feeling,0.0043836454057133,en,leverage
dirty,0.0043804508035942,en,leverage
scene,0.0043804508035942,en,leverage
detective,0.0043682979289707,en,leverage
taxis,0.0043659159306709,en,leverage
brain,0.0043487090448095,en,leverage
date,0.0043487090448095,en,leverage
involve,0.0043487090448095,en,leverage
punch,0.0043320325899537,en,leverage
briefcase,0.004323383872855,en,leverage
baltimore,0.0043208630462201,en,leverage
prove,0.0043140555725228,en,leverage
type,0.0043107758396365,en,leverage
boost,0.0043015016245898,en,leverage
faberg,0.0042989143726127,en,leverage
