mot,poids_tfidf,langue,serie
s,0.4497221468303766,en,daybreak
hopper,0.4079793678918628,en,daybreak
know,0.31369833219703874,en,daybreak
garza,0.23129932596978708,en,daybreak
go,0.2135257555290768,en,daybreak
get,0.20403572195000672,en,daybreak
t,0.19876348107274558,en,daybreak
right,0.14076883142287286,en,daybreak
think,0.13707826280879004,en,daybreak
tell,0.1318060219315289,en,daybreak
come,0.11598929929974543,en,daybreak
m,0.11018983433475815,en,daybreak
dominguez,0.10971895138481416,en,daybreak
need,0.09806368031705749,en,daybreak
want,0.09700923214160527,en,daybreak
day,0.09542755987842692,en,daybreak
chad,0.0907903880159697,en,daybreak
look,0.09015531900116576,en,daybreak
man,0.08699197447480907,en,daybreak
guy,0.08397049705522311,en,daybreak
talk,0.08224695768527403,en,daybreak
murder,0.08011697827574778,en,daybreak
detweiler,0.07730198847566451,en,daybreak
time,0.07539304454483453,en,daybreak
find,0.0748658204571084,en,daybreak
kill,0.07328414819393006,en,daybreak
say,0.07275692410620395,en,daybreak
thing,0.0711752518430256,en,daybreak
detective,0.06851208726255673,en,daybreak
shelten,0.06768458758000367,en,daybreak
let,0.0674846832289428,en,daybreak
cop,0.06402807595570492,en,daybreak
happen,0.06379411461485998,en,daybreak
help,0.0543040810357899,en,daybreak
way,0.053249632860337674,en,daybreak
damien,0.051699391882201066,en,daybreak
today,0.05061351242170709,en,daybreak
booth,0.04902085665199676,en,daybreak
spivak,0.04873290305760264,en,daybreak
good,0.048504616070802635,en,daybreak
rita,0.047788965700307454,en,daybreak
buchalter,0.0460255195544025,en,daybreak
alberto,0.044691541472390454,en,daybreak
ask,0.04323237519354148,en,daybreak
leave,0.04323237519354148,en,daybreak
work,0.04217792701808924,en,daybreak
try,0.04217792701808924,en,daybreak
people,0.04165070293036313,en,daybreak
d,0.03848735840400644,en,daybreak
sorry,0.03848735840400644,en,daybreak
hear,0.03796013431628032,en,daybreak
call,0.03796013431628032,en,daybreak
wanna,0.037500952047977924,en,daybreak
case,0.0374329102285542,en,daybreak
hell,0.0374329102285542,en,daybreak
baxter,0.037174890717231804,en,daybreak
choi,0.03617886690622084,en,daybreak
disciple,0.03607888388840652,en,daybreak
thank,0.03585123796537586,en,daybreak
night,0.03585123796537586,en,daybreak
gun,0.035402135638055686,en,daybreak
run,0.03479678978992363,en,daybreak
wait,0.0337423416144714,en,daybreak
mean,0.03321511752674528,en,daybreak
away,0.032687893439019164,en,daybreak
contrera,0.032488602038401766,en,daybreak
listen,0.03216066935129305,en,daybreak
morning,0.031106221175840817,en,daybreak
maybe,0.031106221175840817,en,daybreak
isabella,0.03097907559769317,en,daybreak
hop,0.030740929214634616,en,daybreak
hourglass,0.03063036271704488,en,daybreak
little,0.030578997088114703,en,daybreak
take,0.030578997088114703,en,daybreak
understand,0.03005177300038859,en,daybreak
forasz,0.029781218535201614,en,daybreak
kid,0.02970174792223326,en,daybreak
see,0.028997324824936357,en,daybreak
place,0.02847010073721024,en,daybreak
sure,0.02847010073721024,en,daybreak
okay,0.02641844548390611,en,daybreak
believe,0.026361204386305778,en,daybreak
stop,0.026361204386305778,en,daybreak
package,0.02580075184859926,en,daybreak
safe,0.025714938547184863,en,daybreak
frame,0.02490983968352211,en,daybreak
wrong,0.024779532123127432,en,daybreak
old,0.024779532123127432,en,daybreak
partner,0.024758947936104926,en,daybreak
car,0.02430143011819085,en,daybreak
print,0.024171801131850724,en,daybreak
dad,0.024107754887985812,en,daybreak
randall,0.023666550926073667,en,daybreak
tomorrow,0.023384189053353273,en,daybreak
year,0.023197859859949085,en,daybreak
bring,0.023197859859949085,en,daybreak
father,0.02303629911518644,en,daybreak
skinhead,0.022972772037783657,en,daybreak
send,0.022852730211231603,en,daybreak
sister,0.022681334776978125,en,daybreak
bad,0.02267063577222297,en,daybreak
care,0.02267063577222297,en,daybreak
brother,0.022143411684496853,en,daybreak
margo,0.021703190945602885,en,daybreak
shelton,0.021659068025601174,en,daybreak
fine,0.02125835368486661,en,daybreak
question,0.02108896350904462,en,daybreak
stay,0.02108896350904462,en,daybreak
homicide,0.021026377278967872,en,daybreak
big,0.020726894842744942,en,daybreak
book,0.020357659683188017,en,daybreak
phone,0.020141730618711776,en,daybreak
billy,0.020090515021310148,en,daybreak
girl,0.020034515333592393,en,daybreak
deal,0.019663977158501614,en,daybreak
pull,0.019663977158501614,en,daybreak
win,0.019507291245866275,en,daybreak
nick,0.01906293495683288,en,daybreak
die,0.01898006715814016,en,daybreak
coldburn,0.01895168452240103,en,daybreak
name,0.018750476023988962,en,daybreak
battle,0.018549115977899346,en,daybreak
lot,0.018452843070414046,en,daybreak
family,0.018452843070414046,en,daybreak
different,0.018452843070414046,en,daybreak
sound,0.018452843070414046,en,daybreak
feel,0.01792561898268793,en,daybreak
dodger,0.017920862137615297,en,daybreak
consequence,0.017764048984889393,en,daybreak
club,0.017701067819027843,en,daybreak
arrest,0.017424932127682754,en,daybreak
ass,0.01741987512969667,en,daybreak
decision,0.01741987512969667,en,daybreak
girlfriend,0.01741303989247883,en,daybreak
problem,0.017398394894961814,en,daybreak
idea,0.017398394894961814,en,daybreak
save,0.017398394894961814,en,daybreak
head,0.017398394894961814,en,daybreak
ok,0.01693732365694173,en,daybreak
house,0.0168711708072357,en,daybreak
check,0.0168711708072357,en,daybreak
lie,0.0168711708072357,en,daybreak
make,0.0168711708072357,en,daybreak
hit,0.0168711708072357,en,daybreak
turn,0.0168711708072357,en,daybreak
change,0.016343946719509582,en,daybreak
miss,0.016343946719509582,en,daybreak
long,0.016343946719509582,en,daybreak
hope,0.016343946719509582,en,daybreak
