mot,poids_tfidf,langue,serie
s,0.4777271719587862,en,theshield
get,0.24976280403122908,en,theshield
go,0.2452980641063806,en,theshield
know,0.23032805377012397,en,theshield
shane,0.21710610145546558,en,theshield
t,0.21063067174873368,en,theshield
want,0.16361958665768214,en,theshield
guardo,0.15644430852997482,en,theshield
shit,0.14895555489886675,en,theshield
right,0.14234641407458062,en,theshield
come,0.12868956253975,en,theshield
need,0.12553798141632755,en,theshield
rezian,0.12003054706179102,en,theshield
m,0.11818429212834183,en,theshield
look,0.1166085015666306,en,theshield
think,0.11109323460064133,en,theshield
vic,0.11012914479442172,en,theshield
tell,0.10373954531265561,en,theshield
man,0.1024263865112296,en,theshield
guy,0.10113116272460239,en,theshield
lem,0.09890532138633322,en,theshield
mackey,0.09753171646782055,en,theshield
let,0.09375953842181786,en,theshield
salvadoran,0.0908568843134059,en,theshield
find,0.08719374441468776,en,theshield
time,0.08719374441468776,en,theshield
corrine,0.08199279803892727,en,theshield
good,0.07668847400327959,en,theshield
thing,0.07642584224299438,en,theshield
kill,0.06880952119472347,en,theshield
armenian,0.06719738501540917,en,theshield
way,0.06670846711244184,en,theshield
mexican,0.06391351491224855,en,theshield
try,0.06303162246844898,en,theshield
talk,0.06145583190673776,en,theshield
say,0.058829514303885715,en,theshield
work,0.0575163555024597,en,theshield
lemansky,0.053946313286198214,en,theshield
hear,0.05383951085846684,en,theshield
day,0.052526352057040815,en,theshield
cop,0.05108843315308862,en,theshield
vendrell,0.04990033978973334,en,theshield
take,0.04990003445418877,en,theshield
help,0.04937477093361837,en,theshield
mara,0.048580801412399434,en,theshield
mean,0.04779898037190714,en,theshield
kid,0.047346075549815604,en,theshield
sure,0.04701108509105153,en,theshield
iook,0.04562329233352932,en,theshield
kavanaugh,0.045290353575746956,en,theshield
asshole,0.044597561091331776,en,theshield
happen,0.044384767488199486,en,theshield
cartel,0.043876343378557864,en,theshield
claudette,0.04315705062895857,en,theshield
maybe,0.04307160868677347,en,theshield
d,0.042283713405917855,en,theshield
people,0.04175844988534745,en,theshield
leave,0.04044529108392143,en,theshield
run,0.03992002756335102,en,theshield
goddamn,0.039806413439238665,en,theshield
give,0.03913213228249541,en,theshield
vontez,0.039111077132493705,en,theshield
detective,0.03905444260377118,en,theshield
ronnie,0.03880194347292817,en,theshield
see,0.038606868761925,en,theshield
