mot,poids_tfidf,langue,serie
taire,0.1397749795549909,fr,greysanatomy
tre,0.1185440984091597,fr,greysanatomy
grey,0.1054858916510369,fr,greysanatomy
karev,0.1053568524470248,fr,greysanatomy
meredith,0.099063833366916,fr,greysanatomy
besoin,0.0871488577345877,fr,greysanatomy
yang,0.0803532806137866,fr,greysanatomy
izzi,0.0797985863547546,fr,greysanatomy
cristina,0.0774968154787249,fr,greysanatomy
bailey,0.0729417613609777,fr,greysanatomy
ici,0.0725338319033214,fr,greysanatomy
mme,0.0705490753089519,fr,greysanatomy
patient,0.0698500435685615,fr,greysanatomy
izzie,0.0654188383337516,fr,greysanatomy
shepherd,0.0580265677093688,fr,greysanatomy
opration,0.0577635100533589,fr,greysanatomy
burke,0.0547056466202845,fr,greysanatomy
derek,0.0533377263688209,fr,greysanatomy
heure,0.0518442480105,fr,greysanatomy
hahn,0.0496384831170917,fr,greysanatomy
chef,0.049264424089106,fr,greysanatomy
sloan,0.04894911676358,fr,greysanatomy
mourir,0.0488971851885575,fr,greysanatomy
trs,0.0486566086316642,fr,greysanatomy
aimer,0.0444465188860319,fr,greysanatomy
petit,0.0426421947093324,fr,greysanatomy
george,0.04216207367428,fr,greysanatomy
ouai,0.042022883028565,fr,greysanatomy
accord,0.0408980146718562,fr,greysanatomy
chirurgie,0.0401282547490586,fr,greysanatomy
malley,0.0393805040256879,fr,greysanatomy
chirurgien,0.0393390143301122,fr,greysanatomy
attendre,0.0384922491029234,fr,greysanatomy
regarder,0.0356654745594275,fr,greysanatomy
sortir,0.0353046097240876,fr,greysanatomy
interne,0.0349331137780343,fr,greysanatomy
aujourd,0.0345828800534078,fr,greysanatomy
essayer,0.0328988441551549,fr,greysanatomy
addison,0.0328768003985077,fr,greysanatomy
steven,0.0325071726455737,fr,greysanatomy
quelqu,0.032357546902145,fr,greysanatomy
mal,0.0322974027629217,fr,greysanatomy
tumeur,0.032282608402277,fr,greysanatomy
dsole,0.0318919790944691,fr,greysanatomy
dieu,0.0316358172314652,fr,greysanatomy
fille,0.0307336551431154,fr,greysanatomy
apr,0.0306133668646688,fr,greysanatomy
lexie,0.0290236588142341,fr,greysanatomy
hpital,0.0288920935878798,fr,greysanatomy
mieux,0.0286887544095226,fr,greysanatomy
meilleur,0.0285083219918527,fr,greysanatomy
ami,0.028388033713406,fr,greysanatomy
denny,0.0283171350157944,fr,greysanatomy
dsol,0.0281474571565128,fr,greysanatomy
oprer,0.0276466149061385,fr,greysanatomy
mari,0.0275871682281054,fr,greysanatomy
appeler,0.0274257274858329,fr,greysanatomy
problme,0.0274257274858329,fr,greysanatomy
coeur,0.0273971633774147,fr,greysanatomy
main,0.0263431329798132,fr,greysanatomy
alex,0.0261382475508544,fr,greysanatomy
sang,0.0261025564229199,fr,greysanatomy
air,0.0255612591699101,fr,greysanatomy
bloc,0.0253842379802017,fr,greysanatomy
fait,0.0252003943345702,fr,greysanatomy
torre,0.0251516505780933,fr,greysanatomy
tai,0.0251012915306278,fr,greysanatomy
finir,0.0248395294992303,fr,greysanatomy
pre,0.0241779439677738,fr,greysanatomy
enfant,0.0236366467147639,fr,greysanatomy
aider,0.0236366467147639,fr,greysanatomy
veux,0.0233359260186473,fr,greysanatomy
perdre,0.0230352053225307,fr,greysanatomy
anatomy,0.0226420125437593,fr,greysanatomy
pass,0.0226141963479675,fr,greysanatomy
sentir,0.0223134756518509,fr,greysanatomy
chance,0.0220127549557343,fr,greysanatomy
callie,0.0220084700355619,fr,greysanatomy
raison,0.0216518901203944,fr,greysanatomy
revenir,0.0211707370066079,fr,greysanatomy
hunt,0.0210195936974065,fr,greysanatomy
rsident,0.020658702333126,fr,greysanatomy
arrte,0.020629439753598,fr,greysanatomy
salle,0.0203952702088783,fr,greysanatomy
sai,0.0202084307790348,fr,greysanatomy
docteur,0.0201256665851025,fr,greysanatomy
biper,0.0200649215459306,fr,greysanatomy
mort,0.0196671335260249,fr,greysanatomy
maison,0.0191859804122384,fr,greysanatomy
travailler,0.0188251155768985,fr,greysanatomy
point,0.0187649714376752,fr,greysanatomy
minute,0.0185531285226379,fr,greysanatomy
nouveau,0.0183439624631119,fr,greysanatomy
travail,0.0182838183238886,fr,greysanatomy
journe,0.0181893416888607,fr,greysanatomy
grand,0.0180432417669953,fr,greysanatomy
cest,0.0180107857347892,fr,greysanatomy
occuper,0.0176823769316554,fr,greysanatomy
nuit,0.0176222327924321,fr,greysanatomy
soir,0.0169160877706404,fr,greysanatomy
voil,0.0169005031217523,fr,greysanatomy
famille,0.0167802148433057,fr,greysanatomy
coup,0.016673563214789,fr,greysanatomy
laisse,0.0165997824256357,fr,greysanatomy
devenir,0.0165396382864124,fr,greysanatomy
peur,0.0164193500079658,fr,greysanatomy
aide,0.0164193500079658,fr,greysanatomy
vrai,0.0164193500079658,fr,greysanatomy
bonjour,0.0162990617295191,fr,greysanatomy
preston,0.0161689182287743,fr,greysanatomy
pler,0.016100049511859,fr,greysanatomy
mdecin,0.0160396396342622,fr,greysanatomy
semaine,0.0159381968941792,fr,greysanatomy
douleur,0.0159053672406448,fr,greysanatomy
tte,0.0158179086157326,fr,greysanatomy
arrter,0.0157577644765093,fr,greysanatomy
infirmire,0.0157216455577048,fr,greysanatomy
sauver,0.0155773320588393,fr,greysanatomy
salut,0.0155773320588393,fr,greysanatomy
titulaire,0.0155628982932919,fr,greysanatomy
plat,0.0154003092965687,fr,greysanatomy
commencer,0.0152164672234994,fr,greysanatomy
cerveau,0.01520479058507,fr,greysanatomy
choisir,0.0151577847407172,fr,greysanatomy
cancer,0.0151279383934165,fr,greysanatomy
mec,0.0149660738996618,fr,greysanatomy
apprendre,0.0149157465273828,fr,greysanatomy
demande,0.0147353141097129,fr,greysanatomy
donne,0.0146751699704895,fr,greysanatomy
aime,0.0146150258312662,fr,greysanatomy
heureux,0.0144248189640558,fr,greysanatomy
vivre,0.0143744492743729,fr,greysanatomy
question,0.014194016856703,fr,greysanatomy
mois,0.0138932961605864,fr,greysanatomy
mauvais,0.0138331520213631,fr,greysanatomy
scan,0.0137154076204145,fr,greysanatomy
examen,0.0136993576677366,fr,greysanatomy
oeil,0.0136527196036931,fr,greysanatomy
hmorragie,0.0134978107859527,fr,greysanatomy
rentrer,0.0134722871860232,fr,greysanatomy
merde,0.0132634987932208,fr,greysanatomy
mariage,0.0132566919568135,fr,greysanatomy
attend,0.0132175882939054,fr,greysanatomy
continuer,0.0132175882939054,fr,greysanatomy
amie,0.0132023766789663,fr,greysanatomy
cardiologie,0.0131551472387227,fr,greysanatomy
super,0.013124448805109,fr,greysanatomy
matin,0.0130356948770168,fr,greysanatomy
chercher,0.0129911340722366,fr,greysanatomy
intervention,0.0129232409729593,fr,greysanatomy
droit,0.0128107016545667,fr,greysanatomy
cause,0.0127505575153434,fr,greysanatomy
dur,0.0126719080432396,fr,greysanatomy
mercy,0.0125711263539539,fr,greysanatomy
clamp,0.0124825607572513,fr,greysanatomy
train,0.0124293834873881,fr,greysanatomy
important,0.0123896926800035,fr,greysanatomy
bipe,0.0123602854147299,fr,greysanatomy
boulot,0.0122855449651492,fr,greysanatomy
cardiaque,0.0122109446409072,fr,greysanatomy
garder,0.0122092602623335,fr,greysanatomy
partie,0.0122092602623335,fr,greysanatomy
organe,0.0121375382514754,fr,greysanatomy
pression,0.0121126697039969,fr,greysanatomy
place,0.0120889719838869,fr,greysanatomy
test,0.0120572769702447,fr,greysanatomy
suture,0.0119908057945889,fr,greysanatomy
vite,0.0119085395662169,fr,greysanatomy
seattle,0.0118685238318937,fr,greysanatomy
dispensaire,0.0118572067011011,fr,greysanatomy
jambe,0.0118357018268951,fr,greysanatomy
nom,0.0116679630093236,fr,greysanatomy
transplantation,0.0116550845320726,fr,greysanatomy
souvenir,0.0116078188701003,fr,greysanatomy
tuer,0.0116078188701003,fr,greysanatomy
ensuite,0.0115520795940955,fr,greysanatomy
miranda,0.0115192493972018,fr,greysanatomy
doi,0.0114592852639822,fr,greysanatomy
sexe,0.0114069890973112,fr,greysanatomy
ensembl,0.0113986541250193,fr,greysanatomy
gros,0.011367242313207,fr,greysanatomy
urgence,0.011327737133574,fr,greysanatomy
blessure,0.0112997517155696,fr,greysanatomy
tard,0.0112773918470936,fr,greysanatomy
comprend,0.0112469540347604,fr,greysanatomy
respirer,0.0112366246110134,fr,greysanatomy
corps,0.0112167607081307,fr,greysanatomy
scalpel,0.0111400499761077,fr,greysanatomy
parent,0.0111188096257202,fr,greysanatomy
prt,0.011095498430205,fr,greysanatomy
parl,0.0109462333386438,fr,greysanatomy
cur,0.0109449894594086,fr,greysanatomy
prte,0.0109062321056539,fr,greysanatomy
bip,0.0108995245193246,fr,greysanatomy
gnial,0.0108331831993368,fr,greysanatomy
dormir,0.0108259450601972,fr,greysanatomy
traumer,0.0107743142030482,fr,greysanatomy
dernire,0.0107658009209739,fr,greysanatomy
