mot,poids_tfidf,langue,serie
colonn,0.3769469119588927,fr,v
visiteur,0.2143968722658746,fr,v
vaisseau,0.1417275460168543,fr,v
anner,0.140060274613603,fr,v
taire,0.1272324737492772,fr,v
tyler,0.1100279339260141,fr,v
humain,0.0972750200071461,fr,v
tre,0.0968485994210916,fr,v
decker,0.0928821163067559,fr,v
georgie,0.0918039492462931,fr,v
ici,0.0892526308390452,fr,v
erica,0.0741007360342206,fr,v
hobbe,0.0701408187037124,fr,v
navette,0.0691864007127436,fr,v
chad,0.0632524001554717,fr,v
lisa,0.0605128848161849,fr,v
besoin,0.056969764365348,fr,v
anna,0.0566297945104017,fr,v
mme,0.052222284001569,fr,v
lzard,0.0521128738594209,fr,v
ryan,0.0520572140277559,fr,v
appeler,0.0512727879288132,fr,v
parker,0.050128793901372,fr,v
falkner,0.0486819396309154,fr,v
aider,0.0465253075650342,fr,v
fbi,0.0456606873888764,fr,v
peur,0.0455758114922784,fr,v
vivre,0.0436768193467668,fr,v
pre,0.0436768193467668,fr,v
bord,0.041525590108088,fr,v
arme,0.0408283311284994,fr,v
stre,0.0399817951167449,fr,v
entrept,0.0392416370464136,fr,v
apr,0.0389293389829878,fr,v
message,0.0389293389829878,fr,v
paix,0.0375658690361222,fr,v
confiance,0.0360808507647204,fr,v
tuer,0.0360808507647204,fr,v
ambassadeur,0.0355420547689009,fr,v
terroriste,0.0355060526220607,fr,v
ami,0.0351313546919646,fr,v
val,0.0344390228211565,fr,v
nouveau,0.033232362546453,fr,v
plan,0.0328078026977936,fr,v
programme,0.0326732821600395,fr,v
may,0.0325026978770308,fr,v
quelqu,0.0322828664736972,fr,v
pass,0.0313333704009414,fr,v
raison,0.0313333704009414,fr,v
fils,0.0313333704009414,fr,v
appel,0.0303838743281856,fr,v
famille,0.0303838743281856,fr,v
agent,0.0298506472076359,fr,v
mal,0.0294343782554298,fr,v
timbal,0.0292091637785492,fr,v
soldat,0.0290555529771916,fr,v
dal,0.0289989193935954,fr,v
centre,0.0289010570340617,fr,v
dieu,0.028484882182674,fr,v
perdre,0.028484882182674,fr,v
question,0.0265858900371624,fr,v
heure,0.0265858900371624,fr,v
paroissien,0.0263557239083965,fr,v
groupe,0.0262642554019294,fr,v
technologie,0.0261091131563649,fr,v
dsol,0.0256363939644066,fr,v
fait,0.0256363939644066,fr,v
grand,0.0256363939644066,fr,v
mort,0.0256363939644066,fr,v
scurit,0.0250883197100775,fr,v
batitude,0.0248633903806728,fr,v
nom,0.0246868978916508,fr,v
problme,0.0246868978916508,fr,v
soin,0.0245157470188147,fr,v
sutton,0.0241644793490229,fr,v
ambassade,0.0239587592159391,fr,v
motion,0.0238337602872432,fr,v
accord,0.023737401818895,fr,v
aujourd,0.023737401818895,fr,v
chercher,0.023737401818895,fr,v
traqueur,0.0236241939284444,fr,v
test,0.0229215279925317,fr,v
arrter,0.0227879057461392,fr,v
chance,0.0227879057461392,fr,v
jack,0.022657572321338,fr,v
faux,0.0221935135896839,fr,v
soir,0.0220152398676548,fr,v
hier,0.0220152398676548,fr,v
rsistance,0.0219848520657214,fr,v
trouv,0.0218384096733834,fr,v
important,0.0218384096733834,fr,v
parl,0.0218384096733834,fr,v
mourir,0.0218384096733834,fr,v
fille,0.0218384096733834,fr,v
team,0.0216440327607634,fr,v
joshuer,0.021636476030034,fr,v
inquite,0.0215738573765569,fr,v
reportage,0.0215169779021115,fr,v
brandon,0.0215054546721081,fr,v
prtre,0.0209288730914205,fr,v
cause,0.0208889136006276,fr,v
voil,0.0208889136006276,fr,v
cellule,0.020700535375973,fr,v
rebell,0.0206404702903902,fr,v
vrit,0.0204277542015006,fr,v
anvrisme,0.0202375793432422,fr,v
diplomatique,0.0201206867396206,fr,v
tard,0.0201008711835109,fr,v
alex,0.0199419396750332,fr,v
revenir,0.0199394175278718,fr,v
envoyer,0.0199394175278718,fr,v
bonjour,0.0199394175278718,fr,v
aimer,0.0199394175278718,fr,v
travailler,0.0199394175278718,fr,v
aide,0.0199394175278718,fr,v
travail,0.0199394175278718,fr,v
caruso,0.0194972540668392,fr,v
dale,0.0194735649916379,fr,v
rejoindre,0.0192987074692903,fr,v
dsole,0.019143686841439,fr,v
devenir,0.018989921455116,fr,v
porte,0.018989921455116,fr,v
malik,0.0181233595117672,fr,v
attendre,0.0180404253823602,fr,v
sauver,0.0180404253823602,fr,v
regarder,0.0180404253823602,fr,v
coeur,0.01793858712459,fr,v
vaccin,0.0173524046759186,fr,v
oeuf,0.017164435242592,fr,v
aime,0.0170909293096044,fr,v
montrer,0.0170909293096044,fr,v
enfant,0.0170909293096044,fr,v
garde,0.0170909293096044,fr,v
sortir,0.0170909293096044,fr,v
donn,0.0170909293096044,fr,v
moto,0.0169718422814458,fr,v
photo,0.0169419989510016,fr,v
kyle,0.0166557989895267,fr,v
interview,0.0165667369024308,fr,v
protger,0.0165367534012148,fr,v
peuple,0.0164370944892107,fr,v
guerre,0.0164039013488968,fr,v
mdecin,0.0163366410800197,fr,v
doi,0.0162721338152231,fr,v
rponse,0.0162721338152231,fr,v
utiliser,0.0161414332368486,fr,v
semaine,0.0161414332368486,fr,v
meilleur,0.0161414332368486,fr,v
vite,0.0161414332368486,fr,v
gagner,0.0161414332368486,fr,v
agir,0.0161414332368486,fr,v
trs,0.0161414332368486,fr,v
annonce,0.0158891735248288,fr,v
tratre,0.0156958612899262,fr,v
ville,0.0154389659754323,fr,v
plat,0.0153149494731512,fr,v
apprendre,0.0151919371640928,fr,v
laisse,0.0151919371640928,fr,v
uniforme,0.0151227210852893,fr,v
adresse,0.0150700356000668,fr,v
dangereux,0.0147094482112888,fr,v
gouvernement,0.0146338077114249,fr,v
dcapeur,0.0146045818892746,fr,v
battre,0.0145912530010719,fr,v
image,0.0144740306019677,fr,v
revoir,0.0143577651310792,fr,v
retrouver,0.0143577651310792,fr,v
contact,0.0143577651310792,fr,v
dur,0.0143577651310792,fr,v
suspect,0.0142794259852359,fr,v
sai,0.014242441091337,fr,v
donne,0.014242441091337,fr,v
assurer,0.014242441091337,fr,v
air,0.014242441091337,fr,v
phosphore,0.0141810477270712,fr,v
vitamine,0.0140649315295252,fr,v
direct,0.0137105027566528,fr,v
pearlman,0.0134496193059099,fr,v
nemone,0.0134496193059099,fr,v
crason,0.0134496193059099,fr,v
erreur,0.0134005807890073,fr,v
matin,0.0134005807890073,fr,v
minute,0.0134005807890073,fr,v
essayer,0.0132929450185812,fr,v
prend,0.0132929450185812,fr,v
arrte,0.0132929450185812,fr,v
cabl,0.0131778619541982,fr,v
enqute,0.0130740223427198,fr,v
nergie,0.0129680313191186,fr,v
membre,0.0129556462566483,fr,v
mentir,0.0126457526009289,fr,v
exister,0.0126457526009289,fr,v
public,0.0126457526009289,fr,v
heureux,0.0125441598550387,fr,v
empreinte,0.0124843506266512,fr,v
recherche,0.0124433964469353,fr,v
continuer,0.0124433964469353,fr,v
tai,0.0124433964469353,fr,v
marcus,0.0124347642954234,fr,v
sentir,0.0123434489458254,fr,v
long,0.0123434489458254,fr,v
mieux,0.0123434489458254,fr,v
rentrer,0.0123434489458254,fr,v
coute,0.0123434489458254,fr,v
souvenir,0.0123434489458254,fr,v
humaine,0.0122959053648417,fr,v
scanner,0.0122905566768671,fr,v
comb,0.0119945385350234,fr,v
attaque,0.01195905808306,fr,v
injection,0.0119392395314191,fr,v
miracle,0.0118873620425254,fr,v
manifestant,0.0118202058324114,fr,v
information,0.011767558569031,fr,v
bientt,0.0116730024008575,fr,v
disparaître,0.0116730024008575,fr,v
mdical,0.0116328623732994,fr,v
normal,0.0115792244815742,fr,v
commandant,0.0115171326879382,fr,v
enceint,0.0115075217540535,fr,v
copine,0.0115075217540535,fr,v
servir,0.0114862121048634,fr,v
coup,0.0114862121048634,fr,v
beau,0.0114862121048634,fr,v
choisir,0.0114862121048634,fr,v
choix,0.0114862121048634,fr,v
partie,0.0113939528730696,fr,v
affaire,0.0113939528730696,fr,v
oeil,0.0113939528730696,fr,v
change,0.0113939528730696,fr,v
disque,0.011379526954069,fr,v
grossesse,0.0113145615209638,fr,v
arrive,0.011051359440049,fr,v
nation,0.0108379163558271,fr,v
angelo,0.0107275938404305,fr,v
thompson,0.0107275938404305,fr,v
plante,0.0107191809876715,fr,v
danger,0.010700252200786,fr,v
kendrick,0.010655738734574,fr,v
agression,0.0106453014851059,fr,v
appareil,0.0106324684148931,fr,v
mre,0.0106142891081097,fr,v
offrir,0.0106142891081097,fr,v
partenaire,0.0105465405820406,fr,v
regard,0.0105290277627914,fr,v
cherche,0.0105290277627914,fr,v
expliquer,0.0105290277627914,fr,v
