mot,poids_tfidf,langue,serie
s,0.4720582940088185,en,traveler
drexler,0.3958817704442199,en,traveler
know,0.25028594111876956,en,traveler
go,0.19220270583804244,en,traveler
burchell,0.1898063282951739,en,traveler
t,0.18269817642846892,en,traveler
get,0.17952999995861108,en,traveler
marlow,0.16482981722916934,en,traveler
traveler,0.14911831780570026,en,traveler
come,0.14468005879017481,en,traveler
right,0.14151188232031697,en,traveler
tyler,0.13450390616648106,en,traveler
fog,0.12573580503602733,en,traveler
think,0.12355888232445585,en,traveler
tell,0.120390705854598,en,traveler
want,0.120390705854598,en,traveler
look,0.11194223526831043,en,traveler
m,0.10138164703545095,en,traveler
guy,0.09367963167877522,en,traveler
good,0.08448470586287579,en,traveler
bombing,0.0818020393077487,en,traveler
time,0.08131652939301795,en,traveler
taft,0.08019685870559717,en,traveler
find,0.07709229409987417,en,traveler
need,0.07498017645330227,en,traveler
say,0.07181199998344442,en,traveler
man,0.07075594116015849,en,traveler
let,0.06864382351358658,en,traveler
doherty,0.06820542000755772,en,traveler
help,0.06653170586701469,en,traveler
thing,0.060195352927299,en,traveler
agent,0.059727543610824364,en,traveler
work,0.05913929410401306,en,traveler
way,0.05913929410401306,en,traveler
leave,0.05808323528072711,en,traveler
father,0.05687389716751896,en,traveler
dad,0.055800804768131804,en,traveler
wait,0.05491505881086927,en,traveler
friend,0.05385899998758332,en,traveler
jay,0.050378946457322535,en,traveler
whaley,0.04994842946338465,en,traveler
sir,0.04975881343828356,en,traveler
kill,0.04963476469443953,en,traveler
borjes,0.04880734156161615,en,traveler
people,0.04857870587115359,en,traveler
maybe,0.04329841175472385,en,traveler
run,0.042242352931437896,en,traveler
try,0.042242352931437896,en,traveler
talk,0.042242352931437896,en,traveler
thank,0.042242352931437896,en,traveler
take,0.04118629410815195,en,traveler
suspect,0.040692488553889,en,traveler
son,0.040452568224925656,en,traveler
sure,0.040130235284866006,en,traveler
holloway,0.04009842935279859,en,traveler
car,0.04002339341774981,en,traveler
mean,0.03801811763829411,en,traveler
sorry,0.03801811763829411,en,traveler
fallbrook,0.0375282700433966,en,traveler
freed,0.0375282700433966,en,traveler
museum,0.036049885474279945,en,traveler
happen,0.03484994116843627,en,traveler
call,0.03484994116843627,en,traveler
d,0.03484994116843627,en,traveler
day,0.033793882345150315,en,traveler
job,0.031681764698578425,en,traveler
shear,0.03102639549654032,en,traveler
head,0.030625705875292477,en,traveler
hour,0.02956964705200653,en,traveler
hell,0.02956964705200653,en,traveler
place,0.02956964705200653,en,traveler
check,0.02851358822872058,en,traveler
ask,0.02851358822872058,en,traveler
question,0.02851358822872058,en,traveler
evidence,0.027458752970539454,en,traveler
idea,0.027457529405434635,en,traveler
believe,0.027457529405434635,en,traveler
see,0.026401470582148687,en,traveler
hear,0.026401470582148687,en,traveler
city,0.025961120054756637,en,traveler
minute,0.02554899045784778,en,traveler
country,0.025484152137713656,en,traveler
lie,0.025345411758862738,en,traveler
plan,0.024484449188770793,en,traveler
chamber,0.024437828091766575,en,traveler
kind,0.024289352935576793,en,traveler
year,0.024289352935576793,en,traveler
stay,0.024289352935576793,en,traveler
new,0.024289352935576793,en,traveler
haven,0.024289352935576793,en,traveler
deer,0.023546164089950694,en,traveler
painting,0.023515921571563063,en,traveler
trust,0.023419907919693804,en,traveler
dead,0.023233294112290845,en,traveler
listen,0.023233294112290845,en,traveler
long,0.023233294112290845,en,traveler
lead,0.022534940387130154,en,traveler
pull,0.022355366650616812,en,traveler
contact,0.022338371127504374,en,traveler
harbor,0.02229031229416757,en,traveler
elysium,0.022276905195999213,en,traveler
case,0.022177235289004896,en,traveler
hand,0.022177235289004896,en,traveler
life,0.022177235289004896,en,traveler
phone,0.021808104536960488,en,traveler
sellar,0.02169215180516273,en,traveler
sell,0.02129082538153982,en,traveler
hold,0.02129082538153982,en,traveler
die,0.021121176465718948,en,traveler
win,0.021121176465718948,en,traveler
frame,0.021008748589241746,en,traveler
lawyer,0.020760083764138258,en,traveler
involve,0.02038875558835585,en,traveler
give,0.020065117642433003,en,traveler
clear,0.020065117642433003,en,traveler
federal,0.02002842646572505,en,traveler
stuff,0.01916174284338584,en,traveler
start,0.019009058819147055,en,traveler
live,0.019009058819147055,en,traveler
bring,0.019009058819147055,en,traveler
close,0.019009058819147055,en,traveler
trip,0.01883611244961444,en,traveler
cover,0.018242570789581553,en,traveler
order,0.018242570789581553,en,traveler
street,0.018097201574308844,en,traveler
picture,0.018097201574308844,en,traveler
okay,0.018014501524660196,en,traveler
problem,0.017952999995861106,en,traveler
bad,0.017952999995861106,en,traveler
ago,0.017952999995861106,en,traveler
make,0.017952999995861106,en,traveler
watch,0.017952999995861106,en,traveler
bomb,0.017865875747690278,en,traveler
school,0.01730741336983776,en,traveler
boat,0.017083640375456264,en,traveler
free,0.017032660305231855,en,traveler
fine,0.017032660305231855,en,traveler
cop,0.01702456925330072,en,traveler
today,0.016896941172575158,en,traveler
well,0.016896941172575158,en,traveler
week,0.016896941172575158,en,traveler
stop,0.016896941172575158,en,traveler
tv,0.016888595179368932,en,traveler
maya,0.016840211845295733,en,traveler
prank,0.016802779314775404,en,traveler
gun,0.016620099220248038,en,traveler
firm,0.01628466726661855,en,traveler
murden,0.01626911385387205,en,traveler
pay,0.015968119036154863,en,traveler
different,0.015840882349289213,en,traveler
second,0.015840882349289213,en,traveler
truth,0.015840882349289213,en,traveler
recording,0.015815329918487872,en,traveler
terrorist,0.015815329918487872,en,traveler
police,0.015762688834077672,en,traveler
kid,0.015143986698608038,en,traveler
name,0.015023293591420102,en,traveler
set,0.015023293591420102,en,traveler
carrel,0.014984528839015396,en,traveler
news,0.014903577767077873,en,traveler
number,0.014903577767077873,en,traveler
turn,0.014784823526003264,en,traveler
morning,0.014784823526003264,en,traveler
lot,0.014784823526003264,en,traveler
like,0.014784823526003264,en,traveler
answer,0.014784823526003264,en,traveler
maine,0.014775146917104492,en,traveler
area,0.01475462668619396,en,traveler
protect,0.014062273362993177,en,traveler
insurance,0.01386545276157505,en,traveler
face,0.013839036498000883,en,traveler
blood,0.013839036498000883,en,traveler
house,0.013728764702717318,en,traveler
room,0.013728764702717318,en,traveler
girl,0.013728764702717318,en,traveler
actually,0.013728764702717318,en,traveler
understand,0.013728764702717318,en,traveler
old,0.013728764702717318,en,traveler
change,0.013728764702717318,en,traveler
wasn,0.013728764702717318,en,traveler
drive,0.013728764702717318,en,traveler
meet,0.013728764702717318,en,traveler
match,0.013510876143495146,en,traveler
docent,0.01336614311759953,en,traveler
security,0.013296079376198429,en,traveler
video,0.012996513469821816,en,traveler
book,0.012877108792645803,en,traveler
office,0.012877108792645803,en,traveler
fervor,0.012788516251417071,en,traveler
course,0.01277449522892389,en,traveler
drop,0.012672705879431369,en,traveler
fire,0.012672705879431369,en,traveler
reason,0.012672705879431369,en,traveler
walk,0.012672705879431369,en,traveler
stand,0.012672705879431369,en,traveler
miss,0.012672705879431369,en,traveler
guess,0.012672705879431369,en,traveler
little,0.012672705879431369,en,traveler
otis,0.012652008787658956,en,traveler
unit,0.012502921593295892,en,traveler
stock,0.012401862561499806,en,traveler
interview,0.012202600268183048,en,traveler
law,0.012090861758615129,en,traveler
corner,0.012090861758615129,en,traveler
handle,0.011994457495328268,en,traveler
town,0.01189884669176346,en,traveler
subway,0.011893778131174185,en,traveler
tonight,0.011804016393258652,en,traveler
worry,0.011709953959846902,en,traveler
follow,0.011709953959846902,en,traveler
night,0.011616647056145422,en,traveler
chance,0.011616647056145422,en,traveler
move,0.011616647056145422,en,traveler
step,0.011616647056145422,en,traveler
hard,0.011616647056145422,en,traveler
end,0.011616647056145422,en,traveler
cause,0.011616647056145422,en,traveler
home,0.011616647056145422,en,traveler
family,0.011616647056145422,en,traveler
month,0.011616647056145422,en,traveler
easy,0.011616647056145422,en,traveler
subtitle,0.011573810165146962,en,traveler
innocent,0.0115333798689657,en,traveler
camera,0.011259063452912622,en,traveler
destroy,0.011080066146832025,en,traveler
building,0.010991692507831937,en,traveler
counterterrorism,0.010868171061007223,en,traveler
blast,0.010856444844412365,en,traveler
palmitate,0.010846075902581366,en,traveler
yesterday,0.0108171333561486,en,traveler
company,0.0108171333561486,en,traveler
road,0.0107309239938715,en,traveler
charge,0.0107309239938715,en,traveler
report,0.0107309239938715,en,traveler
safe,0.0107309239938715,en,traveler
yale,0.010697778178807259,en,traveler
deputy,0.010677888979731617,en,traveler
continent,0.010674913187815958,en,traveler
figure,0.01064541269076991,en,traveler
key,0.01064541269076991,en,traveler
alive,0.01064541269076991,en,traveler
rest,0.01064541269076991,en,traveler
big,0.01064541269076991,en,traveler
wrong,0.010560588232859474,en,traveler
away,0.010560588232859474,en,traveler
catch,0.010560588232859474,en,traveler
door,0.010560588232859474,en,traveler
lose,0.010560588232859474,en,traveler
special,0.010560588232859474,en,traveler
late,0.010560588232859474,en,traveler
nice,0.010560588232859474,en,traveler
suppose,0.010560588232859474,en,traveler
boyfriend,0.0105482680331474,en,traveler
photographer,0.010479861833825793,en,traveler
girlfriend,0.010463782771000029,en,traveler
investigation,0.010418602282926051,en,traveler
hometown,0.010395918701142388,en,traveler
escapee,0.01033891424078374,en,traveler
hire,0.010297032363952296,en,traveler
proof,0.010297032363952296,en,traveler
border,0.01024338762270454,en,traveler
swat,0.010118578676883937,en,traveler
grad,0.010118578676883937,en,traveler
taggant,0.00998968589267693,en,traveler
upstate,0.009980084671305003,en,traveler
location,0.009921490049199845,en,traveler
chemical,0.009903446730652724,en,traveler
box,0.009892523257048744,en,traveler
manifesto,0.009885545515144551,en,traveler
queen,0.009841409159704932,en,traveler
print,0.009683489223756786,en,traveler
government,0.009683489223756786,en,traveler
east,0.0096583719633138,en,traveler
wanna,0.009657831594484353,en,traveler
high,0.009657831594484353,en,traveler
homeland,0.0096153128952273,en,traveler
cut,0.00958087142169292,en,traveler
swear,0.00958087142169292,en,traveler
forget,0.00958087142169292,en,traveler
break,0.00958087142169292,en,traveler
tape,0.009528467065434816,en,traveler
line,0.009504529409573527,en,traveler
excuse,0.009504529409573527,en,traveler
speak,0.009504529409573527,en,traveler
use,0.009504529409573527,en,traveler
point,0.009504529409573527,en,traveler
person,0.009504529409573527,en,traveler
previously,0.009499389238860819,en,traveler
authority,0.009452009796234048,en,traveler
explode,0.009421161929368389,en,traveler
transit,0.009366801701390327,en,traveler
alright,0.009324608101460878,en,traveler
farmhouse,0.009307918648962094,en,traveler
housing,0.00906858765740484,en,traveler
mile,0.009007250762330098,en,traveler
spot,0.009007250762330098,en,traveler
forensic,0.008982727324715495,en,traveler
search,0.00893534845100175,en,traveler
press,0.00893534845100175,en,traveler
store,0.00893534845100175,en,traveler
option,0.00893534845100175,en,traveler
com,0.00886405291746562,en,traveler
hampton,0.008819542092320784,en,traveler
unthinkable,0.008819542092320784,en,traveler
list,0.008793354006265549,en,traveler
train,0.008793354006265549,en,traveler
ass,0.008723241814784195,en,traveler
promise,0.00865370668491888,en,traveler
luck,0.008584739195097202,en,traveler
choice,0.008584739195097202,en,traveler
information,0.008584739195097202,en,traveler
trouble,0.008516330152615928,en,traveler
wake,0.008516330152615928,en,traveler
send,0.008516330152615928,en,traveler
wouldn,0.008516330152615928,en,traveler
shut,0.008516330152615928,en,traveler
mention,0.008516330152615928,en,traveler
north,0.008473053070787188,en,traveler
apartment,0.008473053070787188,en,traveler
fight,0.008448470586287579,en,traveler
shoot,0.008448470586287579,en,traveler
ready,0.008448470586287579,en,traveler
remember,0.008448470586287579,en,traveler
hit,0.008448470586287579,en,traveler
exactly,0.008448470586287579,en,traveler
learn,0.008448470586287579,en,traveler
word,0.008448470586287579,en,traveler
manhattan,0.008396491076220423,en,traveler
pike,0.008396491076220423,en,traveler
south,0.008337408682255463,en,traveler
library,0.008278604539983254,en,traveler
director,0.008278604539983254,en,traveler
photo,0.008270508571704792,en,traveler
