mot,poids_tfidf,langue,serie
c,0.590274397990507,fr,garyunmarried
j,0.29209454745922,fr,garyunmarried
savoir,0.1951643628112943,fr,garyunmarried
allison,0.19007317815040764,fr,garyunmarried
gary,0.1831541471753658,fr,garyunmarried
bien,0.18168976315171717,fr,garyunmarried
vouloir,0.1677804989869924,fr,garyunmarried
taire,0.1569138863583012,fr,garyunmarried
faire,0.1560445573480059,fr,garyunmarried
non,0.15539256059028442,fr,garyunmarried
t,0.13170334505973758,fr,garyunmarried
aller,0.11388210034868397,fr,garyunmarried
krandall,0.11365774984535706,fr,garyunmarried
oui,0.10757946502404306,fr,garyunmarried
ok,0.10486217718021787,fr,garyunmarried
devoir,0.08997555256556329,fr,garyunmarried
vraiment,0.08345558498834856,fr,garyunmarried
bon,0.08302092048320091,fr,garyunmarried
n,0.08215159147290561,fr,garyunmarried
tre,0.08171692696775797,fr,garyunmarried
accord,0.08063026570488885,fr,garyunmarried
voir,0.07954360444201972,fr,garyunmarried
chose,0.0775876141688553,fr,garyunmarried
heure,0.07280630461223117,fr,garyunmarried
ici,0.07280630461223117,fr,garyunmarried
croire,0.06715566604531173,fr,garyunmarried
mec,0.061773683566258786,fr,garyunmarried
venir,0.06128769522581847,fr,garyunmarried
enfant,0.05998370171037553,fr,garyunmarried
passer,0.05998370171037553,fr,garyunmarried
brook,0.05705889831847642,fr,garyunmarried
truc,0.05586846956587706,fr,garyunmarried
papa,0.05563705665889904,fr,garyunmarried
super,0.054327805633294125,fr,garyunmarried
prendre,0.05324640188058697,fr,garyunmarried
dieu,0.05281173737543932,fr,garyunmarried
femme,0.05063841484970108,fr,garyunmarried
dsol,0.04911708908168431,fr,garyunmarried
mme,0.048899756829110484,fr,garyunmarried
addicts,0.04823003793367018,fr,garyunmarried
plummer,0.048182421351713564,fr,garyunmarried
petit,0.04781309556624136,fr,garyunmarried
veen,0.047203866913804855,fr,garyunmarried
fois,0.04672643430337224,fr,garyunmarried
veux,0.04672643430337224,fr,garyunmarried
mettre,0.04585710529307694,fr,garyunmarried
falloir,0.04542244078792929,fr,garyunmarried
jamais,0.04542244078792929,fr,garyunmarried
aimer,0.04477044403020782,fr,garyunmarried
regarder,0.043031786009617226,fr,garyunmarried
trs,0.04259712150446958,fr,garyunmarried
trop,0.04172779249417428,fr,garyunmarried
sub,0.041574315109794244,fr,garyunmarried
