mot,poids_tfidf,langue,serie
jerry,0.3460564675126649,fr,mastersofscifi
c,0.3366999043766861,fr,mastersofscifi
n,0.29792840023634043,fr,mastersofscifi
vouloir,0.20814175906922416,fr,mastersofscifi
bedzyk,0.18832425350957474,fr,mastersofscifi
havelmann,0.17786179498126506,fr,mastersofscifi
non,0.16937025492887847,fr,mastersofscifi
skynner,0.16739933645295532,fr,mastersofscifi
bien,0.14284238367495775,fr,mastersofscifi
joe,0.1332614226840121,fr,mastersofscifi
faire,0.1224363288642495,fr,mastersofscifi
savoir,0.11631451242103703,fr,mastersofscifi
sigrett,0.11508704381140679,fr,mastersofscifi
chose,0.1142739069399662,fr,mastersofscifi
j,0.1142739069399662,fr,mastersofscifi
tre,0.10407087953461208,fr,mastersofscifi
oui,0.10407087953461208,fr,mastersofscifi
ici,0.09998966857247042,fr,mastersofscifi
aller,0.09590845761032878,fr,mastersofscifi
Monsieur,0.09539419229799494,fr,mastersofscifi
sigrette,0.09416212675478737,fr,mastersofscifi
devoir,0.08774603568604547,fr,mastersofscifi
mme,0.08570543020497465,fr,mastersofscifi
taire,0.08570543020497465,fr,mastersofscifi
samswope,0.08369966822647766,fr,mastersofscifi
venir,0.08366482472390382,fr,mastersofscifi
voir,0.081624219242833,fr,mastersofscifi
bon,0.081624219242833,fr,mastersofscifi
vaisseau,0.07871508575117278,fr,mastersofscifi
curran,0.07733403574733619,fr,mastersofscifi
riggum,0.07323720969816797,fr,mastersofscifi
cargrew,0.07323720969816797,fr,mastersofscifi
dire,0.07142119183747887,fr,mastersofscifi
vraiment,0.06733998087533723,fr,mastersofscifi
pouvoir,0.0652993753942664,fr,mastersofscifi
deanna,0.06333613014729206,fr,mastersofscifi
monde,0.06325876991319558,fr,mastersofscifi
controlled,0.06277475116985824,fr,mastersofscifi
penser,0.06121816443212475,fr,mastersofscifi
croire,0.06121816443212475,fr,mastersofscifi
teckel,0.05914583958794644,fr,mastersofscifi
maison,0.0571369534699831,fr,mastersofscifi
bonbon,0.056706988376175355,fr,mastersofscifi
terre,0.055542474701628056,fr,mastersofscifi
petit,0.055096347988912275,fr,mastersofscifi
genetic,0.05428811155482177,fr,mastersofscifi
aimer,0.05305574250784145,fr,mastersofscifi
heure,0.05305574250784145,fr,mastersofscifi
pgase,0.051752609639453134,fr,mastersofscifi
temps,0.0489745315456998,fr,mastersofscifi
tagne,0.04888618159210061,fr,mastersofscifi
prsident,0.04711169588579955,fr,mastersofscifi
jamais,0.04693392606462898,fr,mastersofscifi
major,0.046584524472858733,fr,mastersofscifi
deanner,0.04524009296235147,fr,mastersofscifi
avoir,0.044893320583558154,fr,mastersofscifi
an,0.042852715102487324,fr,mastersofscifi
brownie,0.04249789354648181,fr,mastersofscifi
nappy,0.04184983411323883,fr,mastersofscifi
jinger,0.04184983411323883,fr,mastersofscifi
ok,0.041024424388775835,fr,mastersofscifi
arrter,0.0408121096214165,fr,mastersofscifi
travailler,0.0408121096214165,fr,mastersofscifi
s,0.0408121096214165,fr,mastersofscifi
être,0.0408121096214165,fr,mastersofscifi
euh,0.0404184328064652,fr,mastersofscifi
boom,0.03989288475431149,fr,mastersofscifi
ouai,0.0397210578239986,fr,mastersofscifi
martha,0.03935228632481883,fr,mastersofscifi
vie,0.03877150414034568,fr,mastersofscifi
sr,0.03877150414034568,fr,mastersofscifi
rentrer,0.03877150414034568,fr,mastersofscifi
dieu,0.03877150414034568,fr,mastersofscifi
lpher,0.038535935273970964,fr,mastersofscifi
grand,0.03673089865927485,fr,mastersofscifi
regarder,0.03673089865927485,fr,mastersofscifi
trs,0.03673089865927485,fr,mastersofscifi
chien,0.03582778174519495,fr,mastersofscifi
annie,0.035046025894775554,fr,mastersofscifi
prendre,0.034690293178204025,fr,mastersofscifi
femme,0.034690293178204025,fr,mastersofscifi
beaucoup,0.034690293178204025,fr,mastersofscifi
demander,0.034690293178204025,fr,mastersofscifi
champ,0.03318278926374265,fr,mastersofscifi
appeler,0.0326496876971332,fr,mastersofscifi
homme,0.0326496876971332,fr,mastersofscifi
arme,0.0326496876971332,fr,mastersofscifi
ami,0.0326496876971332,fr,mastersofscifi
fait,0.0326496876971332,fr,mastersofscifi
arriver,0.0326496876971332,fr,mastersofscifi
glowboy,0.03138737558492912,fr,mastersofscifi
teat,0.03138737558492912,fr,mastersofscifi
