mot,poids_tfidf,langue,serie
s,0.5740885624681065,en,leverage
know,0.27206539967870863,en,leverage
go,0.25596564943554906,en,leverage
right,0.23721657320300885,en,leverage
get,0.20807398731982132,en,leverage
t,0.1978842719760495,en,leverage
eliot,0.1459237728382524,en,leverage
m,0.14184083758530427,en,leverage
nate,0.13866621471985635,en,leverage
want,0.1310397393209061,en,leverage
come,0.1300207677865289,en,leverage
think,0.12492591011464298,en,leverage
guy,0.12058812481290196,en,leverage
good,0.11310584031586762,en,leverage
parker,0.11205675274110832,en,leverage
look,0.10617683388210276,en,leverage
need,0.10006300467583965,en,leverage
let,0.0976174729933344,en,leverage
man,0.09537573561770459,en,leverage
tell,0.09028087794581865,en,leverage
sophie,0.08587922044925356,en,leverage
time,0.08314807720517836,en,leverage
money,0.07927598537454505,en,leverage
work,0.07907219106766962,en,leverage
mean,0.07356974478203282,en,leverage
find,0.06602935542764164,en,leverage
way,0.06541797250701532,en,leverage
thank,0.06521417820013989,en,leverage
thing,0.0625648522107592,en,leverage
people,0.06011932052825396,en,leverage
little,0.05828517176637503,en,leverage
say,0.056858611618246964,en,leverage
talk,0.050337193798232975,en,leverage
help,0.048503045036354046,en,leverage
listen,0.04768786780885229,en,leverage
try,0.046872690581350546,en,leverage
wait,0.04646510196759967,en,leverage
sorry,0.043408187364468116,en,leverage
take,0.041370244295713746,en,leverage
run,0.041370244295713746,en,leverage
bad,0.039739889840710245,en,leverage
year,0.039739889840710245,en,leverage
steal,0.039648225023662824,en,leverage
sure,0.03872091830633306,en,leverage
car,0.03799159351618243,en,leverage
company,0.03673912340026433,en,leverage
day,0.036682975237578686,en,leverage
happen,0.03505262078257519,en,leverage
check,0.03342226632757169,en,leverage
play,0.03240329479319451,en,leverage
pay,0.03225270118505214,en,leverage
job,0.03219950048631907,en,leverage
sterling,0.031538956689320496,en,leverage
leave,0.030976734645066447,en,leverage
kill,0.030365351724440135,en,leverage
hear,0.0301615574175647,en,leverage
big,0.029787526572181918,en,leverage
d,0.029753968803813823,en,leverage
okay,0.02954915820338717,en,leverage
minute,0.028144076830268427,en,leverage
call,0.028123614348810326,en,leverage
security,0.0280102888159881,en,leverage
moscone,0.027952700625112528,en,leverage
well,0.02791982004193489,en,leverage
room,0.027512231428184018,en,leverage
hell,0.02730843712130858,en,leverage
start,0.02710464281443314,en,leverage
second,0.02710464281443314,en,leverage
great,0.02710464281443314,en,leverage
fine,0.026911489523833317,en,leverage
business,0.02629519587061576,en,leverage
lot,0.026289465586931394,en,leverage
maybe,0.026289465586931394,en,leverage
problem,0.025678082666305082,en,leverage
meet,0.02527049405255421,en,leverage
duberman,0.02511642501890961,en,leverage
like,0.02506669974567877,en,leverage
office,0.02484976597034004,en,leverage
away,0.024659111131927897,en,leverage
stop,0.024455316825052458,en,leverage
kadjic,0.024069907309788374,en,leverage
break,0.02403545247548472,en,leverage
course,0.02403545247548472,en,leverage
buy,0.023843933904426146,en,leverage
new,0.02364013959755071,en,leverage
plan,0.023624590040006346,en,leverage
hold,0.023213727604527976,en,leverage
see,0.0230287566769244,en,leverage
place,0.0230287566769244,en,leverage
widmark,0.02302338960066714,en,leverage
bring,0.022621168063173526,en,leverage
steranko,0.02197687189154591,en,leverage
deal,0.021775709080353676,en,leverage
ask,0.021602196528796337,en,leverage
lose,0.021398402221920902,en,leverage
nice,0.021398402221920902,en,leverage
real,0.021398402221920902,en,leverage
friend,0.021398402221920902,en,leverage
bank,0.02137567988025953,en,leverage
phone,0.02125265716683132,en,leverage
long,0.021194607915045464,en,leverage
kid,0.021083246951288052,en,leverage
use,0.02099081360817003,en,leverage
kerrity,0.020930354182424674,en,leverage
kirkwood,0.020820939977616193,en,leverage
maggie,0.020600050736732142,en,leverage
sir,0.020457011893328998,en,leverage
stay,0.02017563638066828,en,leverage
thief,0.0201604707737028,en,leverage
cop,0.01993105115635386,en,leverage
foss,0.019915681717719836,en,leverage
castleman,0.01988383647330344,en,leverage
blackpoole,0.01988383647330344,en,leverage
vioplex,0.01988383647330344,en,leverage
police,0.019771863209619357,en,leverage
kind,0.019768047766917405,en,leverage
win,0.019564253460041967,en,leverage
haldeman,0.01927772456904312,en,leverage
door,0.019156664846291093,en,leverage
case,0.018952870539415655,en,leverage
set,0.018637324477755034,en,leverage
hoffman,0.01856081132933303,en,leverage
clear,0.01854528192566478,en,leverage
head,0.01854528192566478,en,leverage
believe,0.018341487618789343,en,leverage
love,0.018341487618789343,en,leverage
feel,0.018341487618789343,en,leverage
actually,0.018137693311913908,en,leverage
hour,0.018137693311913908,en,leverage
rucker,0.018105165197927122,en,leverage
hand,0.01793389900503847,en,leverage
life,0.01793389900503847,en,leverage
excuse,0.01793389900503847,en,leverage
camera,0.017816404210865795,en,leverage
wrong,0.017730104698163034,en,leverage
sensor,0.017653817480824924,en,leverage
diamond,0.017640411926989952,en,leverage
system,0.017605428547179135,en,leverage
old,0.017322516084412157,en,leverage
horse,0.01718922030472761,en,leverage
care,0.017118721777536722,en,leverage
hit,0.017118721777536722,en,leverage
exactly,0.016914927470661284,en,leverage
bonanno,0.01674428334593974,en,leverage
turn,0.016711133163785846,en,leverage
month,0.016711133163785846,en,leverage
make,0.016711133163785846,en,leverage
give,0.016711133163785846,en,leverage
home,0.016711133163785846,en,leverage
school,0.016699601545574694,en,leverage
state,0.016699601545574694,en,leverage
