mot,poids_tfidf,langue,serie
c,0.6608935169278325,fr,breakingbad
j,0.24641791574655308,fr,breakingbad
bien,0.20873831563916406,fr,breakingbad
savoir,0.16438975976055573,fr,breakingbad
vouloir,0.1637228641834338,fr,breakingbad
bon,0.15371943052660483,fr,breakingbad
walt,0.1397510118904271,fr,breakingbad
n,0.13437945879006888,fr,breakingbad
faire,0.12904429417309343,fr,breakingbad
non,0.12704360744172766,fr,breakingbad
taire,0.12237533840187413,fr,breakingbad
ampht,0.11756295286302099,fr,breakingbad
tuco,0.11625495031967548,fr,breakingbad
falloir,0.09503261973987501,fr,breakingbad
oui,0.09503261973987501,fr,breakingbad
voir,0.09236503743138728,fr,breakingbad
tre,0.08869711175721667,fr,breakingbad
aller,0.08869711175721667,fr,breakingbad
vraiment,0.0846957382944851,fr,breakingbad
skyler,0.0845670238398011,fr,breakingbad
t,0.08102781262031448,fr,breakingbad
tyno,0.07836067107568892,fr,breakingbad
pinkman,0.07351415976097125,fr,breakingbad
devoir,0.07002403559780264,fr,breakingbad
mme,0.06735645328931492,fr,breakingbad
hank,0.06359984691600461,fr,breakingbad
croire,0.062354736460900444,fr,breakingbad
accord,0.061687840883778516,fr,breakingbad
chose,0.06135439309521755,fr,breakingbad
mec,0.05936638751542603,fr,breakingbad
prendre,0.058353362998168866,fr,breakingbad
jesse,0.05668410991845542,fr,breakingbad
ici,0.05301819838119343,fr,breakingbad
avoir,0.05201785501551053,fr,breakingbad
trs,0.05201785501551053,fr,breakingbad
heisenberg,0.051676023236492744,fr,breakingbad
dollar,0.05127048714084079,fr,breakingbad
truc,0.048405281098542495,fr,breakingbad
venir,0.048016481552778954,fr,breakingbad
petit,0.048016481552778954,fr,breakingbad
passer,0.046015794821413165,fr,breakingbad
trop,0.04334821251292544,fr,breakingbad
voil,0.04334821251292544,fr,breakingbad
besoin,0.043014764724364475,fr,breakingbad
pouvoir,0.04201442135868158,fr,breakingbad
jamais,0.04201442135868158,fr,breakingbad
temps,0.041014077992998686,fr,breakingbad
dire,0.040680630204437726,fr,breakingbad
argent,0.04034718241587676,fr,breakingbad
veux,0.04001373462731579,fr,breakingbad
m,0.03968028683875483,fr,breakingbad
appeler,0.03968028683875483,fr,breakingbad
fois,0.03867994347307193,fr,breakingbad
