mot,poids_tfidf,langue,serie
rigsby,0.1393796723731197,en,thementalist
lisbon,0.1318405540245619,en,thementalist
kill,0.0882547977038551,en,thementalist
cho,0.0867786179807456,en,thementalist
talk,0.0798902230665458,en,thementalist
work,0.0764761109696848,en,thementalist
sure,0.0522359150819722,en,thementalist
pelt,0.0521831199971927,en,thementalist
jane,0.0516308548763778,en,thementalist
help,0.04762686375121,en,thementalist
night,0.0455783964930934,en,thementalist
little,0.0455783964930934,en,thementalist
agent,0.0451917488587154,en,thementalist
money,0.040457228347802,en,thementalist
love,0.0397744059284298,en,thementalist
hear,0.0390915835090576,en,thementalist
murder,0.0389106384357672,en,thementalist
case,0.0373845274606272,en,thementalist
happen,0.036872410646098,en,thementalist
like,0.036701705041255,en,thementalist
life,0.0343118265734523,en,thementalist
cbi,0.0333108650954625,en,thementalist
friend,0.0322633593153358,en,thementalist
guess,0.0314098312911205,en,thementalist
nice,0.0300441864523762,en,thementalist
bad,0.0300441864523762,en,thementalist
mcteer,0.0298044582433086,en,thementalist
hand,0.0290199528233179,en,thementalist
dead,0.0286785416136318,en,thementalist
check,0.0285078360087887,en,thementalist
house,0.0283371304039457,en,thementalist
die,0.0283371304039457,en,thementalist
question,0.0278250135894166,en,thementalist
win,0.0278250135894166,en,thementalist
run,0.0271421911700444,en,thementalist
kid,0.0269272855576819,en,thementalist
place,0.0268007799603583,en,thementalist
believe,0.0261179575409861,en,thementalist
long,0.025947251936143,en,thementalist
mind,0.0257765463313,en,thementalist
close,0.0252644295167709,en,thementalist
stop,0.0245816070973987,en,thementalist
lie,0.0245816070973987,en,thementalist
car,0.0239547929961196,en,thementalist
understand,0.0237280790731834,en,thementalist
real,0.0235573734683404,en,thementalist
boss,0.0232833451799012,en,thementalist
wrong,0.0232159622586543,en,thementalist
gun,0.0231042425246712,en,thementalist
husband,0.0230582833704914,en,thementalist
meet,0.0230452566538112,en,thementalist
course,0.0228862066289205,en,thementalist
ago,0.0228745510489682,en,thementalist
wife,0.0225331398392821,en,thementalist
kara,0.0223213817070249,en,thementalist
play,0.022191728629596,en,thementalist
stay,0.022191728629596,en,thementalist
fine,0.0220258229210664,en,thementalist
month,0.022021023024753,en,thementalist
start,0.022021023024753,en,thementalist
away,0.022021023024753,en,thementalist
room,0.0215089062102238,en,thementalist
big,0.021337515954783,en,thementalist
old,0.0204846725811655,en,thementalist
home,0.0204846725811655,en,thementalist
office,0.0204681597274535,en,thementalist
problem,0.0203139669763225,en,thementalist
pretty,0.020305055505358,en,thementalist
killer,0.0202968962805908,en,thementalist
mentalist,0.0201846636629033,en,thementalist
phone,0.020093354538821,en,thementalist
family,0.0199725557666364,en,thementalist
cody,0.019939936543594,en,thementalist
speak,0.0198018501617934,en,thementalist
deal,0.0197888252806456,en,thementalist
girl,0.0196311445569503,en,thementalist
head,0.0196311445569503,en,thementalist
truth,0.0196311445569503,en,thementalist
job,0.0194604389521073,en,thementalist
great,0.0194604389521073,en,thementalist
zachariah,0.0193772771163872,en,thementalist
catch,0.0192897333472642,en,thementalist
morning,0.0192897333472642,en,thementalist
sylvan,0.0192852376868467,en,thementalist
open,0.0191190277424212,en,thementalist
pay,0.0191005183143622,en,thementalist
idea,0.0189483221375781,en,thementalist
son,0.0189284415727914,en,thementalist
police,0.0189275881427136,en,thementalist
cop,0.0188965172982214,en,thementalist
stuff,0.0187563648312206,en,thementalist
live,0.018606910927892,en,thementalist
business,0.0185842880896497,en,thementalist
shoot,0.0180947941133629,en,thementalist
patrice,0.0179156233831482,en,thementalist
bring,0.0175826772988338,en,thementalist
victim,0.017570401058364,en,thementalist
couple,0.0175518276402247,en,thementalist
rosemary,0.0173723814085551,en,thementalist
nicole,0.0172439574248503,en,thementalist
exactly,0.0172412660891477,en,thementalist
arrest,0.0171076277443757,en,thementalist
body,0.0170355974155123,en,thementalist
drug,0.0169256317045419,en,thementalist
remember,0.0165584436697755,en,thementalist
door,0.0163877380649324,en,thementalist
brother,0.0162170324600894,en,thementalist
hour,0.0162170324600894,en,thementalist
blakely,0.0161477309303226,en,thementalist
charge,0.0161316852089252,en,thementalist
week,0.0160463268552463,en,thementalist
probably,0.0160463268552463,en,thementalist
hard,0.0160463268552463,en,thementalist
care,0.0158756212504033,en,thementalist
mom,0.0158129991816588,en,thementalist
beckworth,0.0157788308346928,en,thementalist
hypnotize,0.015563087858374,en,thementalist
word,0.0155342100407172,en,thementalist
brava,0.015496181782276,en,thementalist
father,0.0152643903052196,en,thementalist
mother,0.0151927988310311,en,thementalist
hurt,0.0151427532582331,en,thementalist
death,0.0151427532582331,en,thementalist
turn,0.0150220932261881,en,thementalist
miss,0.0150220932261881,en,thementalist
steal,0.0149706765166623,en,thementalist
key,0.0147985997750914,en,thementalist
set,0.0147440133629962,en,thementalist
lawyer,0.0145415556742049,en,thementalist
hector,0.01450128279299,en,thementalist
number,0.0144544462919498,en,thementalist
actually,0.0143392708068159,en,thementalist
watch,0.0143392708068159,en,thementalist
crime,0.0141686952723022,en,thementalist
walk,0.0141685652019728,en,thementalist
arlov,0.0140256274086158,en,thementalist
christine,0.0140248408326455,en,thementalist
cause,0.0138271539922867,en,thementalist
lover,0.0137960013820894,en,thementalist
westlake,0.0137255712907742,en,thementalist
suspect,0.0137191984118808,en,thementalist
hope,0.0136564483874437,en,thementalist
use,0.0136564483874437,en,thementalist
point,0.0134857427826006,en,thementalist
reason,0.0134857427826006,en,thementalist
affair,0.0133387494356,en,thementalist
break,0.013249909100954,en,thementalist
dad,0.013182882536326,en,thementalist
selby,0.0131490256955773,en,thementalist
anglet,0.0131490256955773,en,thementalist
tiegler,0.0131490256955773,en,thementalist
stutzer,0.0131490256955773,en,thementalist
seberg,0.0131490256955773,en,thementalist
boy,0.0131443315729145,en,thementalist
person,0.0131443315729145,en,thementalist
hell,0.0131443315729145,en,thementalist
trouble,0.0130778323593831,en,thementalist
bosco,0.012963343489953,en,thementalist
piller,0.0129181847442581,en,thementalist
slocombe,0.0129181847442581,en,thementalist
hightower,0.0128907192737077,en,thementalist
buy,0.0128029203632284,en,thementalist
true,0.0126322147583854,en,thementalist
state,0.0125893802607344,en,thementalist
hide,0.0124890466133615,en,thementalist
hanson,0.0124724789599883,en,thementalist
patrick,0.012417256393343,en,thementalist
red,0.0123580832108706,en,thementalist
end,0.0122908035486993,en,thementalist
renfrew,0.0122724239825388,en,thementalist
clear,0.0121200979438563,en,thementalist
town,0.0120648227498704,en,thementalist
change,0.0119493923390132,en,thementalist
angry,0.0119315328608861,en,thementalist
blood,0.0118732951683873,en,thementalist
suppose,0.0117786867341702,en,thementalist
pick,0.0117786867341702,en,thementalist
drop,0.0117786867341702,en,thementalist
sydney,0.0117630674111416,en,thementalist
school,0.0117151177426278,en,thementalist
send,0.0117012184268165,en,thementalist
security,0.0116416725899506,en,thementalist
safe,0.0116217517096558,en,thementalist
barney,0.0115435191250613,en,thementalist
happy,0.0114372755244841,en,thementalist
eye,0.0114372755244841,en,thementalist
read,0.0114372755244841,en,thementalist
jasper,0.0114050106612341,en,thementalist
cassie,0.0114050106612341,en,thementalist
undine,0.0113958222695003,en,thementalist
investigation,0.0113677078534764,en,thementalist
sound,0.011266569919641,en,thementalist
grace,0.0112581010729575,en,thementalist
russo,0.01112624151811,en,thementalist
easy,0.011095864314798,en,thementalist
forensic,0.0110352323103956,en,thementalist
soon,0.0110129114605332,en,thementalist
doctor,0.0109279647491833,en,thementalist
lose,0.0109251587099549,en,thementalist
trust,0.0108408347189623,en,thementalist
list,0.0108381230346201,en,thementalist
bitch,0.0108325930443835,en,thementalist
new,0.0107544531051119,en,thementalist
company,0.0106660027209,en,thementalist
hit,0.0105837475002688,en,thementalist
matter,0.0105837475002688,en,thementalist
damn,0.010580997825209,en,thementalist
tamzin,0.0105192205564618,en,thementalist
carnelian,0.0105192205564618,en,thementalist
tannen,0.0105192205564618,en,thementalist
shipp,0.0105192205564618,en,thementalist
leonard,0.0105027387599479,en,thementalist
xander,0.0104960251047097,en,thementalist
search,0.0104715066095707,en,thementalist
felix,0.0104545931061313,en,thementalist
second,0.0104130418954258,en,thementalist
crazy,0.0104075388444679,en,thementalist
record,0.0104075388444679,en,thementalist
name,0.0104075388444679,en,thementalist
follow,0.0103246044942498,en,thementalist
daughter,0.0103162977136573,en,thementalist
psychic,0.0102479871274266,en,thementalist
line,0.0102423362905827,en,thementalist
marley,0.0102392559301282,en,thementalist
plan,0.010152527752679,en,thementalist
cut,0.010152527752679,en,thementalist
team,0.010127426442186,en,thementalist
sit,0.0100716306857397,en,thementalist
clean,0.0100716306857397,en,thementalist
high,0.0100606208829856,en,thementalist
figure,0.0099804510111082,en,thementalist
sell,0.0099804510111082,en,thementalist
moment,0.0099804510111082,en,thementalist
order,0.0098871619022445,en,thementalist
child,0.0098083742695373,en,thementalist
evidence,0.009801783579978,en,thementalist
tennant,0.0096886385581936,en,thementalist
tanner,0.0096532670877125,en,thementalist
draber,0.0096426188434233,en,thementalist
asra,0.0096426188434233,en,thementalist
preciado,0.0096426188434233,en,thementalist
drive,0.0095595138712106,en,thementalist
bet,0.0095595138712106,en,thementalist
answer,0.0095595138712106,en,thementalist
lead,0.0095402439407622,en,thementalist
file,0.0095399893156069,en,thementalist
trance,0.0095006986285663,en,thementalist
flipper,0.0094702680348275,en,thementalist
game,0.0094642207863957,en,thementalist
camera,0.0094637940713568,en,thementalist
protect,0.0094420351955508,en,thementalist
hodge,0.0093893289647449,en,thementalist
harlan,0.0093694665415663,en,thementalist
ring,0.0093416472855922,en,thementalist
warrant,0.0092981067018452,en,thementalist
mcbride,0.0092977090693656,en,thementalist
unit,0.0092967041520848,en,thementalist
throw,0.0092921440448248,en,thementalist
interesting,0.0092921440448248,en,thementalist
elkin,0.0092784727388712,en,thementalist
party,0.0092671826919295,en,thementalist
fire,0.0092181026615245,en,thementalist
secret,0.0091653897896376,en,thementalist
kristin,0.009099331252029,en,thementalist
beautiful,0.0090923301883082,en,thementalist
far,0.0090473970566814,en,thementalist
baby,0.0090198669985388,en,thementalist
mad,0.0089896053166296,en,thementalist
story,0.0089479905616832,en,thementalist
later,0.0089479905616832,en,thementalist
lady,0.0089479905616832,en,thementalist
cool,0.0089174776846868,en,thementalist
wear,0.0089174776846868,en,thementalist
harken,0.0088812520116774,en,thementalist
meier,0.0088812520116774,en,thementalist
world,0.0088766914518384,en,thementalist
carman,0.0088676995778146,en,thementalist
harper,0.0088135782393679,en,thementalist
crap,0.0088061439836371,en,thementalist
local,0.008785200529182,en,thementalist
hang,0.0087759138201123,en,thementalist
face,0.0087759138201123,en,thementalist
touch,0.0087759138201123,en,thementalist
gang,0.0087743975181427,en,thementalist
sigh,0.0087688176651897,en,thementalist
haymer,0.0087660171303848,en,thementalist
langham,0.0087660171303848,en,thementalist
matigan,0.0087660171303848,en,thementalist
skelle,0.0087660171303848,en,thementalist
didrikson,0.0087660171303848,en,thementalist
rich,0.0087358099120216,en,thementalist
screw,0.0086660744355068,en,thementalist
bret,0.008642228993302,en,thementalist
stile,0.0086157246860947,en,thementalist
fact,0.0086038370785415,en,thementalist
move,0.0085352802421523,en,thementalist
fight,0.0085352802421523,en,thementalist
tough,0.0085283591092092,en,thementalist
weapon,0.0083929201738229,en,thementalist
sheriff,0.008391848247602,en,thementalist
relationship,0.008371817832354,en,thementalist
today,0.0083645746373092,en,thementalist
painting,0.0083626583661452,en,thementalist
poor,0.0083506849611007,en,thementalist
