mot,poids_tfidf,langue,serie
allison,0.1455586418720197,en,medium
bridgette,0.0853260591926495,en,medium
talk,0.0829013286319962,en,medium
work,0.0790595597441719,en,medium
dream,0.0769788998586764,en,medium
devalo,0.0654143029486187,en,medium
sure,0.059311519671672,en,medium
night,0.0564133431422608,en,medium
ariel,0.0557361110203479,en,medium
girl,0.0546609573337796,en,medium
happen,0.0546609573337796,en,medium
hear,0.0522345769835748,en,medium
home,0.0495385988166806,en,medium
little,0.0487298053666124,en,medium
scanlon,0.048135673701457,en,medium
help,0.0458316288372011,en,medium
actually,0.0432030501244793,en,medium
car,0.0428027964029687,en,medium
kill,0.0427312539452728,en,medium
morning,0.0407766697742745,en,medium
attorney,0.0374251101319951,en,medium
mom,0.0373903946932244,en,medium
guess,0.0361935068905544,en,medium
life,0.0343737216279008,en,medium
wife,0.0332953303611431,en,medium
believe,0.0329583330902814,en,medium
kid,0.0327924649861454,en,medium
fine,0.0309810130812194,en,medium
understand,0.030599352194249,en,medium
phone,0.0304810767990684,en,medium
like,0.0303297543775595,en,medium
house,0.0301949554692148,en,medium
start,0.0291165642024572,en,medium
dead,0.0290491647482848,en,medium
police,0.0290303252671322,en,medium
money,0.0288469663857677,en,medium
district,0.0288430844835762,en,medium
friend,0.028712167477423,en,medium
school,0.0283050750406728,en,medium
meet,0.0279707734815271,en,medium
today,0.0279707734815271,en,medium
second,0.0276337762106654,en,medium
sleep,0.0271619800314589,en,medium
long,0.0271619800314589,en,medium
love,0.0266901838522524,en,medium
case,0.0259487898563565,en,medium
miss,0.0258139909480118,en,medium
head,0.0257465914938394,en,medium
old,0.02547699367715,en,medium
murder,0.0254647528586125,en,medium
stop,0.0252747953146329,en,medium
office,0.0250660830500672,en,medium
bad,0.0243986024103923,en,medium
daddy,0.0243642395150366,en,medium
turn,0.0241290045937029,en,medium
husband,0.0241189904470019,en,medium
room,0.0238594067770135,en,medium
place,0.0236572084144964,en,medium
away,0.0231854122352899,en,medium
hour,0.0231854122352899,en,medium
pretty,0.0231678189927539,en,medium
die,0.0228484149644282,en,medium
nice,0.0223092193310493,en,medium
run,0.0223092193310493,en,medium
idea,0.0217026242434981,en,medium
bring,0.0217026242434981,en,medium
remember,0.0215678253351534,en,medium
great,0.0213656269726364,en,medium
body,0.0213334169024186,en,medium
daughter,0.0213323614330924,en,medium
live,0.021096029155947,en,medium
detective,0.0210383909385195,en,medium
wrong,0.0209612302476022,en,medium
suppose,0.0208264313392575,en,medium
boy,0.0205568335225681,en,medium
question,0.0204894340683958,en,medium
hope,0.0202872357058787,en,medium
win,0.0200176378891893,en,medium
dad,0.0195186712275113,en,medium
mind,0.0192762438932934,en,medium
honey,0.0192344391405455,en,medium
course,0.0192272515394409,en,medium
mommy,0.0190826916855467,en,medium
death,0.0190234290849592,en,medium
sit,0.0189392466224316,en,medium
drive,0.0189392466224316,en,medium
family,0.0183326515348804,en,medium
sound,0.0182652520807081,en,medium
tomorrow,0.0182081392670324,en,medium
ago,0.0179956542640186,en,medium
fact,0.017800494358069,en,medium
new,0.0177934559015016,en,medium
baby,0.0177380205190366,en,medium
big,0.0177325535399084,en,medium
bed,0.0177325535399084,en,medium
week,0.0177260564473292,en,medium
figure,0.0176646127217479,en,medium
doctor,0.0176066493839368,en,medium
door,0.017119461359778,en,medium
mother,0.0169846624514333,en,medium
person,0.0169846624514333,en,medium
check,0.0169846624514333,en,medium
matter,0.016917262997261,en,medium
wake,0.0167813820856605,en,medium
job,0.0167150646347439,en,medium
father,0.0165052623362464,en,medium
watch,0.0164454668180545,en,medium
couple,0.0162378555403759,en,medium
phoenix,0.0161952451393485,en,medium
happy,0.0159062711846756,en,medium
hand,0.0157714722763309,en,medium
number,0.0156263881769308,en,medium
killer,0.0155823792594039,en,medium
pick,0.0155692739138139,en,medium
pay,0.0155584473587702,en,medium
sense,0.0154225657224491,en,medium
stay,0.0153670755512968,en,medium
victim,0.0152318907318736,en,medium
change,0.0151648771887797,en,medium
child,0.0151508024498068,en,medium
point,0.0146930810095733,en,medium
speak,0.0146256815554009,en,medium
lie,0.0145582821012286,en,medium
problem,0.0145582821012286,en,medium
reason,0.0144908826470562,en,medium
late,0.0142886842845391,en,medium
buy,0.0141538853761944,en,medium
close,0.0141538853761944,en,medium
month,0.0140864859220221,en,medium
care,0.0140864859220221,en,medium
young,0.0140637493592377,en,medium
open,0.0140190864678497,en,medium
cause,0.0139516870136774,en,medium
shoot,0.0136820891969879,en,medium
send,0.0136561044502743,en,medium
exactly,0.0135472902886432,en,medium
real,0.0135472902886432,en,medium
gun,0.0135065363082507,en,medium
answer,0.0134798908344709,en,medium
crazy,0.0134233668792709,en,medium
son,0.013384341177632,en,medium
soon,0.013384341177632,en,medium
news,0.0133164003594715,en,medium
read,0.0132776924719538,en,medium
play,0.0132102930177815,en,medium
walk,0.0131428935636091,en,medium
tonight,0.0130124474850075,en,medium
crime,0.0128813955139921,en,medium
break,0.0125011105415446,en,medium
deal,0.0125011105415446,en,medium
sister,0.0124266183105393,en,medium
eye,0.0122667006593685,en,medium
hard,0.0122667006593685,en,medium
end,0.0121993012051961,en,medium
early,0.0121221221307702,en,medium
yesterday,0.0120123977001879,en,medium
parent,0.0118800947632781,en,medium
stand,0.0118623039343344,en,medium
hurt,0.0117537615417784,en,medium
company,0.0117362506266204,en,medium
able,0.0116601055718173,en,medium
use,0.0116601055718173,en,medium
face,0.0116178799054572,en,medium
probably,0.0115253066634726,en,medium
funny,0.0114140574509755,en,medium
apparently,0.011391066784661,en,medium
spend,0.011346116632815,en,medium
business,0.0112781758146544,en,medium
ready,0.0112557088467832,en,medium
court,0.0110660150770751,en,medium
truth,0.0110535104842661,en,medium
cell,0.0110458829427016,en,medium
