mot,poids_tfidf,langue,serie
c,0.5701372811416021,fr,trueblood
j,0.3052250090960092,fr,trueblood
sookie,0.26955464556548314,fr,trueblood
vampire,0.20300654555000286,fr,trueblood
savoir,0.18503796695812208,fr,trueblood
bien,0.17026497636200677,fr,trueblood
vouloir,0.16225250688614765,fr,trueblood
taire,0.15348886839692671,fr,trueblood
n,0.14823068530339414,fr,trueblood
faire,0.13220574635167587,fr,trueblood
t,0.12093821115124893,fr,trueblood
non,0.11843431444004296,fr,trueblood
tre,0.10967067595082201,fr,trueblood
stackhous,0.09700036168611108,fr,trueblood
bon,0.09439690601246553,fr,trueblood
putain,0.09214553334452598,fr,trueblood
voir,0.09114184028789775,fr,trueblood
devoir,0.08913872291893296,fr,trueblood
aller,0.08663482620772699,fr,trueblood
merlotte,0.08344579701006583,fr,trueblood
jamais,0.08162703278531501,fr,trueblood
ici,0.08062547410083262,fr,trueblood
venir,0.07787118771850604,fr,trueblood
chose,0.07461612199393827,fr,trueblood
mme,0.07236261495385288,fr,trueblood
croire,0.07211222528273228,fr,trueblood
vraiment,0.06485092482023494,fr,trueblood
jason,0.05782358572018524,fr,trueblood
bill,0.05698456604364889,fr,trueblood
dieu,0.05533611731765221,fr,trueblood
sang,0.05408416896204921,fr,trueblood
aimer,0.05358338961980802,fr,trueblood
godric,0.05263504119096459,fr,trueblood
m,0.052581830935325626,fr,trueblood
compton,0.05235517207258796,fr,trueblood
maryann,0.05166323611542873,fr,trueblood
oui,0.05158027225084323,fr,trueblood
vie,0.050077934224119644,fr,trueblood
merde,0.04961992183081692,fr,trueblood
trop,0.04882598586851665,fr,trueblood
avoir,0.048325206526275456,fr,trueblood
prendre,0.048325206526275456,fr,trueblood
temps,0.04757403751291366,fr,trueblood
pouvoir,0.04381819244610469,fr,trueblood
lafayette,0.042846508915175226,fr,trueblood
arriver,0.04256624409050169,fr,trueblood
veux,0.041564685406019306,fr,trueblood
petit,0.040813516392657505,fr,trueblood
monde,0.04031273705041631,fr,trueblood
partir,0.03981195770817512,fr,trueblood
mal,0.038560009352572124,fr,trueblood
falloir,0.03830961968145152,fr,trueblood
besoin,0.03805923001033093,fr,trueblood
sr,0.03780884033921033,fr,trueblood
humain,0.03745220755661897,fr,trueblood
tuer,0.037057671325848536,fr,trueblood
soir,0.036600483694522026,fr,trueblood
femme,0.034553774614642555,fr,trueblood
sam,0.03444285497232953,fr,trueblood
passer,0.034303384943521954,fr,trueblood
mourir,0.034052995272401354,fr,trueblood
penser,0.034052995272401354,fr,trueblood
grand,0.03380260560128076,fr,trueblood
quelqu,0.03380260560128076,fr,trueblood
eric,0.03359182260528799,fr,trueblood
appeler,0.03330182625903956,fr,trueblood
fois,0.03305143658791897,fr,trueblood
sortir,0.032300267574557166,fr,trueblood
laisse,0.032300267574557166,fr,trueblood
mieux,0.03204987790343657,fr,trueblood
shrif,0.03155308922287197,fr,trueblood
