mot,poids_tfidf,langue,serie
s,0.4934975364102215,en,theriches
know,0.29294999387458365,en,theriches
go,0.24298422389130184,en,theriches
t,0.23305951615489656,en,theriches
doug,0.2326177630180254,en,theriches
get,0.22792604663606625,en,theriches
shit,0.2022509375406341,en,theriches
want,0.18856944699170045,en,theriches
m,0.16119094289127206,en,theriches
wayne,0.14877284793787285,en,theriches
think,0.1451060717322704,en,theriches
right,0.13791921440590796,en,theriches
come,0.13552359529712046,en,theriches
panco,0.13004869023289176,en,theriches
good,0.10540724078664925,en,theriches
pete,0.09926167084726875,en,theriches
tell,0.0944558391464779,en,theriches
mean,0.09274468264020112,en,theriches
look,0.08863790702513687,en,theriches
cal,0.08212205607370136,en,theriches
hugh,0.07981616690272582,en,theriches
thing,0.07015741675734771,en,theriches
let,0.06913072285358166,en,theriches
rich,0.06895975185500763,en,theriches
little,0.0657084098410281,en,theriches
malloy,0.06543205189714264,en,theriches
dahlia,0.06510532156820703,en,theriches
dale,0.06297778616386289,en,theriches
need,0.06160163422596385,en,theriches
thank,0.05749485861089959,en,theriches
talk,0.05715262730964424,en,theriches
money,0.05646816470713353,en,theriches
edenfall,0.05447985671918439,en,theriches
time,0.054072545598346046,en,theriches
goddamn,0.05346714314271488,en,theriches
say,0.05167692648955856,en,theriches
love,0.051334695188303206,en,theriches
buffer,0.04925809149065101,en,theriches
dad,0.04833742800641122,en,theriches
work,0.04791238217574966,en,theriches
guy,0.047607262332155786,en,theriches
hell,0.045516763066962174,en,theriches
people,0.04483230046445147,en,theriches
life,0.04449006916319611,en,theriches
man,0.04449006916319611,en,theriches
kid,0.04381812763053188,en,theriches
sorry,0.043463375259430045,en,theriches
friend,0.04312114395817469,en,theriches
house,0.041752218753153277,en,theriches
baby,0.04173015367459961,en,theriches
way,0.04072552484938721,en,theriches
real,0.04072552484938721,en,theriches
bullshit,0.0401495953171346,en,theriches
home,0.03969883094562115,en,theriches
asshole,0.039585155959170996,en,theriches
live,0.03798767443934437,en,theriches
day,0.03730321183683366,en,theriches
try,0.036618749234322956,en,theriches
sure,0.035934286631812244,en,theriches
like,0.03559205533055689,en,theriches
find,0.03490759272804618,en,theriches
maybe,0.03456536142679083,en,theriches
mom,0.03455158095930648,en,theriches
okay,0.03393257630960693,en,theriches
rudy,0.03355637517856643,en,theriches
kind,0.03285420492051405,en,theriches
leave,0.03285420492051405,en,theriches
big,0.03277311537358551,en,theriches
didi,0.031924159497560514,en,theriches
school,0.031899596915027216,en,theriches
happen,0.03182751101674799,en,theriches
job,0.031485279715492635,en,theriches
bad,0.03114304841423728,en,theriches
great,0.030800817112981924,en,theriches
cherien,0.02987605045890757,en,theriches
rosemere,0.02987605045890757,en,theriches
ginny,0.029508572424201587,en,theriches
feel,0.029431891907960504,en,theriches
ain,0.02938816215697353,en,theriches
help,0.028747429305449795,en,theriches
year,0.028747429305449795,en,theriches
wait,0.028062966702939087,en,theriches
take,0.02772073540168373,en,theriches
family,0.027036272799173023,en,theriches
stop,0.027036272799173023,en,theriches
lot,0.027036272799173023,en,theriches
car,0.026991966620407645,en,theriches
cause,0.026694041497917667,en,theriches
aubrey,0.0265736006400845,en,theriches
cicatrice,0.026361220993153734,en,theriches
traveler,0.02635852963269136,en,theriches
well,0.02635181019666231,en,theriches
hear,0.02635181019666231,en,theriches
ask,0.02600957889540696,en,theriches
alpaca,0.025988964540829242,en,theriches
call,0.025667347594151603,en,theriches
lawyer,0.025415410478177452,en,theriches
dead,0.025325116292896247,en,theriches
lie,0.024298422389130183,en,theriches
nice,0.024298422389130183,en,theriches
d,0.02395619108787483,en,theriches
problem,0.02395619108787483,en,theriches
new,0.023613959786619475,en,theriches
away,0.023613959786619475,en,theriches
deal,0.023458651004250677,en,theriches
win,0.02327172848536412,en,theriches
chunky,0.02300682446003446,en,theriches
fedley,0.022846391527399906,en,theriches
meet,0.02258726588285341,en,theriches
parole,0.02195648550360173,en,theriches
ass,0.020848343572949825,en,theriches
steal,0.02069880970963295,en,theriches
long,0.020533878075321282,en,theriches
night,0.020533878075321282,en,theriches
old,0.020533878075321282,en,theriches
honey,0.020466747324428377,en,theriches
wrong,0.020191646774065927,en,theriches
sammy,0.02006429777669405,en,theriches
kill,0.019849415472810574,en,theriches
place,0.019849415472810574,en,theriches
guess,0.01950718417155522,en,theriches
stay,0.01882272156904451,en,theriches
care,0.01882272156904451,en,theriches
shut,0.018628928738669656,en,theriches
idea,0.018480490267789154,en,theriches
wife,0.0181382589665338,en,theriches
geegee,0.017574147328769156,en,theriches
run,0.01745379636402309,en,theriches
nina,0.01744916472450687,en,theriches
wanna,0.017387564031083172,en,theriches
son,0.017249008091360794,en,theriches
pay,0.017249008091360794,en,theriches
plan,0.017249008091360794,en,theriches
make,0.017111565062767734,en,theriches
lose,0.017111565062767734,en,theriches
start,0.017111565062767734,en,theriches
com,0.016517024156556235,en,theriches
mother,0.016427102460257026,en,theriches
mind,0.016427102460257026,en,theriches
synchro,0.016315358184330598,en,theriches
screw,0.01628792043892328,en,theriches
fine,0.016214067605879148,en,theriches
prison,0.01620116631730592,en,theriches
give,0.01608487115900167,en,theriches
break,0.01586908744405193,en,theriches
dannegan,0.015816732595892242,en,theriches
panetta,0.015816732595892242,en,theriches
head,0.015742639857746318,en,theriches
listen,0.015742639857746318,en,theriches
see,0.015742639857746318,en,theriches
law,0.01567288208463387,en,theriches
seriessub,0.015563481660448205,en,theriches
phone,0.015547917240843936,en,theriches
hold,0.015524107282224713,en,theriches
hand,0.015400408556490962,en,theriches
delilah,0.015195787417259956,en,theriches
turn,0.015058177255235608,en,theriches
nothin,0.01499450275654967,en,theriches
trust,0.014834146958570283,en,theriches
world,0.014715945953980252,en,theriches
understand,0.014715945953980252,en,theriches
bitch,0.014478151501265139,en,theriches
believe,0.014373714652724898,en,theriches
month,0.014373714652724898,en,theriches
girl,0.014373714652724898,en,theriches
buy,0.014373714652724898,en,theriches
damn,0.014257802505488202,en,theriches
investor,0.014216797784343201,en,theriches
pretty,0.01414418663491585,en,theriches
course,0.01414418663491585,en,theriches
