mot,poids_tfidf,langue,serie
lizzie,0.2075263097809456,en,thenine
franny,0.1701837219016592,en,thenine
randall,0.1279491969947118,en,thenine
bank,0.093415900984216,en,thenine
egan,0.0858848093262303,en,thenine
ricky,0.0762756463183827,en,thenine
talk,0.0756599643044565,en,thenine
happen,0.0692885988893444,en,thenine
nick,0.0668074712885684,en,thenine
jeremy,0.0635752758097823,en,thenine
hear,0.0621208127973432,en,thenine
malcolm,0.0554267237782091,en,thenine
work,0.053360185351564,en,thenine
eva,0.0507997949396549,en,thenine
fine,0.0505775128640695,en,thenine
cavanaugh,0.0467821956299091,en,thenine
rio,0.0416354478277572,en,thenine
help,0.0406174545213398,en,thenine
sure,0.0398210338444508,en,thenine
life,0.0382281924906727,en,thenine
mother,0.0358389304600057,en,thenine
cop,0.0342372821651972,en,thenine
great,0.0334496684293386,en,thenine
night,0.0326532477524496,en,thenine
long,0.0326532477524496,en,thenine
hour,0.0326532477524496,en,thenine
foote,0.0318394447049998,en,thenine
bad,0.0310604063986716,en,thenine
little,0.0310604063986716,en,thenine
today,0.0294675650448935,en,thenine
phone,0.0287812986734612,en,thenine
home,0.0286711443680045,en,thenine
money,0.0286711443680045,en,thenine
friend,0.0262818823373375,en,thenine
robbery,0.0262394878567179,en,thenine
guess,0.0254854616604485,en,thenine
die,0.0254854616604485,en,thenine
change,0.0254854616604485,en,thenine
job,0.0246890409835595,en,thenine
remember,0.0246890409835595,en,thenine
stay,0.0246890409835595,en,thenine
win,0.0246890409835595,en,thenine
kill,0.0238926203066704,en,thenine
place,0.0238926203066704,en,thenine
away,0.0222997789528924,en,thenine
love,0.0222997789528924,en,thenine
shoot,0.0222997789528924,en,thenine
week,0.0222997789528924,en,thenine
hurt,0.021676076941744,en,thenine
tom,0.0216585497869376,en,thenine
corcoran,0.021644185455956,en,thenine
mom,0.0215522360923167,en,thenine
hand,0.0215033582760034,en,thenine
big,0.020873259277235,en,thenine
hell,0.0207069375991144,en,thenine
pregnant,0.0202455455060141,en,thenine
evie,0.0201599996409134,en,thenine
sit,0.0199105169222254,en,thenine
stop,0.0199105169222254,en,thenine
door,0.0199105169222254,en,thenine
reese,0.0198803391805807,en,thenine
kate,0.0193335646577088,en,thenine
course,0.0192676239482169,en,thenine
pretty,0.0192676239482169,en,thenine
security,0.0192187265026666,en,thenine
wife,0.0191140962453363,en,thenine
easy,0.0191140962453363,en,thenine
hostage,0.0190448659488182,en,thenine
felicia,0.0187187019191943,en,thenine
plan,0.0184648062837079,en,thenine
send,0.0184648062837079,en,thenine
later,0.0184648062837079,en,thenine
honey,0.0183831296982028,en,thenine
start,0.0183176755684473,en,thenine
problem,0.0183176755684473,en,thenine
actually,0.0183176755684473,en,thenine
believe,0.0183176755684473,en,thenine
bring,0.0183176755684473,en,thenine
card,0.0178310114465488,en,thenine
father,0.0178038619035951,en,thenine
run,0.0175212548915583,en,thenine
head,0.0175212548915583,en,thenine
second,0.0175212548915583,en,thenine
month,0.0175212548915583,en,thenine
end,0.0167248342146693,en,thenine
girl,0.0167248342146693,en,thenine
new,0.0167248342146693,en,thenine
check,0.0167248342146693,en,thenine
gun,0.0167119360892753,en,thenine
hearing,0.0165535537636199,en,thenine
doctor,0.0164464563848349,en,thenine
cheast,0.0163590113002343,en,thenine
car,0.0163153575909662,en,thenine
sister,0.0163153575909662,en,thenine
baby,0.0161853290032683,en,thenine
teller,0.0160902089385662,en,thenine
negotiator,0.0160902089385662,en,thenine
break,0.0160563532901808,en,thenine
understand,0.0159284135377803,en,thenine
morning,0.0159284135377803,en,thenine
stand,0.0159284135377803,en,thenine
hero,0.0157824029751854,en,thenine
hospital,0.0157497109905391,en,thenine
school,0.0154995897114179,en,thenine
synchronise,0.01546013246854,en,thenine
tagne,0.01546013246854,en,thenine
guard,0.0154067769743387,en,thenine
suppose,0.0151319928608913,en,thenine
hope,0.0151319928608913,en,thenine
matter,0.0151319928608913,en,thenine
point,0.0151319928608913,en,thenine
idea,0.0151319928608913,en,thenine
move,0.0151319928608913,en,thenine
hard,0.0151319928608913,en,thenine
ready,0.0151319928608913,en,thenine
word,0.0151319928608913,en,thenine
kaile,0.0150673281168168,en,thenine
kid,0.0146838218318696,en,thenine
soon,0.0144507179611627,en,thenine
message,0.0144507179611627,en,thenine
mind,0.0143355721840022,en,thenine
boy,0.0143355721840022,en,thenine
luca,0.0140390264393957,en,thenine
detective,0.0138703078266106,en,thenine
charge,0.013757529652778,en,thenine
tonight,0.013757529652778,en,thenine
couple,0.0136479002966536,en,thenine
stuff,0.0136479002966536,en,thenine
face,0.0136479002966536,en,thenine
tomorrow,0.0136479002966536,en,thenine
forget,0.0136479002966536,en,thenine
bathroom,0.0135825467384559,en,thenine
close,0.0135391515071132,en,thenine
meet,0.0135391515071132,en,thenine
miss,0.0135391515071132,en,thenine
case,0.0135391515071132,en,thenine
old,0.0135391515071132,en,thenine
nice,0.0135391515071132,en,thenine
dead,0.0135391515071132,en,thenine
chance,0.0135391515071132,en,thenine
turn,0.0135391515071132,en,thenine
walk,0.0135391515071132,en,thenine
