mot,poids_tfidf,langue,serie
c,0.4951094280220831,fr,heroes
j,0.24485114923820303,fr,heroes
n,0.24444306398947271,fr,heroes
savoir,0.21220432933977598,fr,heroes
sylar,0.1955746235020721,fr,heroes
vouloir,0.18251612749464385,fr,heroes
hiro,0.1821486170342958,fr,heroes
faire,0.17996559469007925,fr,heroes
bien,0.1614997371850314,fr,heroes
pouvoir,0.15282792564951173,fr,heroes
taire,0.15037941415712971,fr,heroes
non,0.14782888135256508,fr,heroes
devoir,0.12609834185767457,fr,heroes
tre,0.1238538729896577,fr,heroes
petrelli,0.120286822569818,fr,heroes
chose,0.1146719548932251,fr,heroes
ici,0.10436780236278405,fr,heroes
aller,0.09457375639325592,fr,heroes
linderman,0.09310770203037737,fr,heroes
nathan,0.08907257976105565,fr,heroes
voir,0.0841675825506323,fr,heroes
micah,0.08129047188397377,fr,heroes
oui,0.08039279399987667,fr,heroes
croire,0.07865843169277273,fr,heroes
bon,0.07794428250749463,fr,heroes
clair,0.07672416054586888,fr,heroes
pre,0.07672002676130361,fr,heroes
suresh,0.07466518877542162,fr,heroes
vie,0.07294523821054799,fr,heroes
ando,0.07061539198933114,fr,heroes
besoin,0.0701906627816182,fr,heroes
venir,0.06968055622070528,fr,heroes
peter,0.06960056473492626,fr,heroes
heroes,0.06561456366265092,fr,heroes
monde,0.06549768242121931,fr,heroes
trouver,0.06284512830447211,fr,heroes
mme,0.05988651025117716,fr,heroes
vraiment,0.05988651025117716,fr,heroes
jamais,0.05947842500244682,fr,heroes
temps,0.0589683184415339,fr,heroes
mohinder,0.05858462150225992,fr,heroes
prendre,0.0563157643247867,fr,heroes
avoir,0.056009700388238944,fr,heroes
aider,0.05447938070550018,fr,heroes
t,0.05294906102276141,fr,heroes
kensei,0.05283077474757367,fr,heroes
arriver,0.05162278396438781,fr,heroes
sauver,0.05141874134002264,fr,heroes
bennet,0.049214658781467996,fr,heroes
tuer,0.04795001672581476,fr,heroes
niki,0.04704556405144593,fr,heroes
mourir,0.04672576097962375,fr,heroes
homme,0.04672576097962375,fr,heroes
penser,0.043359057677598456,fr,heroes
partir,0.04162469537049452,fr,heroes
fille,0.041522674058311934,fr,heroes
isaac,0.04136179636921537,fr,heroes
passer,0.0411145888095816,fr,heroes
falloir,0.03989033306339058,fr,heroes
accord,0.03917618387811249,fr,heroes
dsol,0.03917618387811249,fr,heroes
fois,0.03815597075628664,fr,heroes
m,0.03815597075628664,fr,heroes
arrter,0.03733980025882597,fr,heroes
quelqu,0.03703373632227821,fr,heroes
mal,0.03601352320045236,fr,heroes
dire,0.03591150188826978,fr,heroes
famille,0.035809480576087196,fr,heroes
ouai,0.035536772181377095,fr,heroes
papa,0.03478926745426135,fr,heroes
pass,0.03346299039588775,fr,heroes
trs,0.033054905147157414,fr,heroes
dieu,0.03264681989842707,fr,heroes
appeler,0.03223873464969673,fr,heroes
futur,0.03192519114688341,fr,heroes
jour,0.03162660677660123,fr,heroes
sr,0.03142256415223606,fr,heroes
muggle,0.03138461866192495,fr,heroes
s,0.03132054284005347,fr,heroes
connaître,0.03101447890350572,fr,heroes
petit,0.030504372342592796,fr,heroes
veux,0.03009628709386246,fr,heroes
trop,0.03009628709386246,fr,heroes
ami,0.029994265781679873,fr,heroes
aimer,0.029790223157314704,fr,heroes
sortir,0.029382137908584367,fr,heroes
apr,0.028974052659854026,fr,heroes
parkman,0.028246156795732457,fr,heroes
heure,0.028055860850210765,fr,heroes
mort,0.027953839538028182,fr,heroes
l,0.02774979691366301,fr,heroes
hro,0.027097488176329624,fr,heroes
pom,0.02698958717120974,fr,heroes
mettre,0.02683160510401975,fr,heroes
attendre,0.026219477230924243,fr,heroes
laisse,0.026219477230924243,fr,heroes
raison,0.026117455918741657,fr,heroes
mr,0.026117455918741657,fr,heroes
an,0.026015434606559074,fr,heroes
doi,0.02571185004888367,fr,heroes
sai,0.02570937067001132,fr,heroes
samuel,0.025329917867159567,fr,heroes
peur,0.025199264109098396,fr,heroes
regarder,0.024995221484733227,fr,heroes
tai,0.02488907084731939,fr,heroes
devenir,0.02479117886036806,fr,heroes
revenir,0.024689157548185472,fr,heroes
grand,0.024485114923820304,fr,heroes
aide,0.02438309361163772,fr,heroes
essayer,0.02417905098727255,fr,heroes
souvenir,0.024077029675089966,fr,heroes
takezo,0.024061540974142464,fr,heroes
tr,0.02397500836290738,fr,heroes
matt,0.023878958136005646,fr,heroes
girl,0.0237108428430757,fr,heroes
euh,0.023710064480283573,fr,heroes
beaucoup,0.02366894442635963,fr,heroes
entendre,0.023464901801994457,fr,heroes
maison,0.023362880489811874,fr,heroes
arrte,0.023362880489811874,fr,heroes
nom,0.023260859177629288,fr,heroes
frre,0.02305681655326412,fr,heroes
moment,0.02305681655326412,fr,heroes
femme,0.022954795241081537,fr,heroes
pense,0.02285277392889895,fr,heroes
fils,0.022444688680168613,fr,heroes
tte,0.02213862474362086,fr,heroes
perdre,0.022036603431438272,fr,heroes
problme,0.02193458211925569,fr,heroes
danko,0.021446156085648718,fr,heroes
plat,0.021289411840475676,fr,heroes
vien,0.020914368997429843,fr,heroes
mieux,0.020710326373064674,fr,heroes
ok,0.020618360024744632,fr,heroes
trouv,0.020608305060882088,fr,heroes
finir,0.020608305060882088,fr,heroes
primatech,0.02040000213025122,fr,heroes
changer,0.02026093783852033,fr,heroes
molly,0.01992690985419649,fr,heroes
fait,0.019792134563421413,fr,heroes
comprendre,0.01948607062687366,fr,heroes
comprend,0.019384049314691076,fr,heroes
rester,0.019335311236760522,fr,heroes
rentrer,0.019180006690325904,fr,heroes
chercher,0.018873942753778152,fr,heroes
type,0.01875524998211327,fr,heroes
être,0.018669900129412983,fr,heroes
scurit,0.018455081270847877,fr,heroes
question,0.018261814880682643,fr,heroes
gabriel,0.018258966148151524,fr,heroes
vrit,0.018186465763410632,fr,heroes
arriv,0.018057772256317474,fr,heroes
hatien,0.01803391813455655,fr,heroes
voler,0.01788256995204358,fr,heroes
part,0.017853729631952305,fr,heroes
chance,0.017853729631952305,fr,heroes
attend,0.01758690543343643,fr,heroes
truc,0.017278363232849824,fr,heroes
kaito,0.01726154026405872,fr,heroes
confiance,0.0172416017588568,fr,heroes
nouveau,0.017037559134491627,fr,heroes
noah,0.016991195311756132,fr,heroes
main,0.016935537822309044,fr,heroes
nakamura,0.016737364133687493,fr,heroes
travailler,0.01662947388576129,fr,heroes
spcial,0.016618666990702816,fr,heroes
destin,0.01652316217023598,fr,heroes
www,0.01647006729155318,fr,heroes
important,0.01642543126139612,fr,heroes
donner,0.016147041830698945,fr,heroes
protger,0.016096067399800216,fr,heroes
essay,0.015915324700483197,fr,heroes
semaine,0.015915324700483197,fr,heroes
vrai,0.015915324700483197,fr,heroes
meilleur,0.015609260763935444,fr,heroes
travail,0.015609260763935444,fr,heroes
vivre,0.01550723945175286,fr,heroes
parler,0.015405218139570276,fr,heroes
histoire,0.015405218139570276,fr,heroes
dsole,0.015324262629134668,fr,heroes
helixteam,0.015169232353263727,fr,heroes
argent,0.01509915420302252,fr,heroes
soir,0.015015720428548065,fr,heroes
peindre,0.014874120095931203,fr,heroes
train,0.014810025628156994,fr,heroes
rponse,0.01470717822796146,fr,heroes
personne,0.01470717822796146,fr,heroes
salut,0.014691068954292183,fr,heroes
simone,0.014612983592461343,fr,heroes
aime,0.014589047642109597,fr,heroes
apprendre,0.014487026329927013,fr,heroes
voiture,0.014455969721711879,fr,heroes
compagnie,0.014435220491851223,fr,heroes
formule,0.014140488498836836,fr,heroes
virus,0.014105160312589174,fr,heroes
cheerleader,0.013951452346833799,fr,heroes
laisser,0.013874898456831505,fr,heroes
faon,0.013874898456831505,fr,heroes
ville,0.013789470837206561,fr,heroes
enfant,0.01377287714464892,fr,heroes
oublier,0.013678704226006113,fr,heroes
cest,0.013667704347698886,fr,heroes
sauv,0.013385741586745208,fr,heroes
aujourd,0.013364791895918583,fr,heroes
jessica,0.013347718557058304,fr,heroes
chandra,0.013317469641658421,fr,heroes
suite,0.013267314625223974,fr,heroes
porte,0.013160749271553413,fr,heroes
point,0.013160749271553413,fr,heroes
bonjour,0.013058727959370828,fr,heroes
ide,0.013058727959370828,fr,heroes
air,0.013058727959370828,fr,heroes
appel,0.013058727959370828,fr,heroes
parent,0.012960088470786134,fr,heroes
sang,0.012956706647188244,fr,heroes
